aab4b40991a26999289a0e78e3d4442b9b9124ac3fca510f2e7bb5c7c47843c1,b444fadc213433adeacadea4cb23abc2e23ca59c53587eda2620a4dd6f26f988,2ae146ec17e56f4769c460ee8abd7f5dd6d973185a33d87df23de9f6d4a445b0,66d71326b575433c5f3f13b66e74f2b55aadc60430116db2412bb3c91675a34c,72b926b5ae492d04da1847f55d412edf05d92ed8660a8b9d0b1ec0aafb3808ef,5c598ef873ee6bcd2f2e2be325cf23593c6304d60256583072c9cfb8bc338a73
"2000101","20001201","20001","2000102","0","20001115"
"2000102","0","20001","2000103","2000101","0"
"2000103","0","20001","0","2000102","0"
"2000201","20002201","20002","2000202","0","20002115"
"2000202","0","20002","2000203","2000201","0"
"2000203","0","20002","0","2000202","0"
"2000301","20003201","20003","2000302","0","20003115"
"2000302","0","20003","2000303","2000301","0"
"2000303","0","20003","0","2000302","0"
"2000401","20004201","20004","2000402","0","20004115"
"2000402","0","20004","2000403","2000401","0"
"2000403","0","20004","0","2000402","0"
"2000501","20005201","20005","2000502","0","20005115"
"2000502","0","20005","2000503","2000501","0"
"2000503","0","20005","0","2000502","0"
"2000601","20006201","20006","2000602","0","20006115"
"2000602","0","20006","2000603","2000601","0"
"2000603","0","20006","0","2000602","0"
"2000701","20007201","20007","2000702","0","20007115"
"2000702","0","20007","2000703","2000701","0"
"2000703","0","20007","0","2000702","0"
"2000801","20008201","20008","2000802","0","20008115"
"2000802","0","20008","2000803","2000801","0"
"2000803","0","20008","0","2000802","0"
"2000901","20009201","20009","2000902","0","20009115"
"2000902","0","20009","2000903","2000901","0"
"2000903","0","20009","0","2000902","0"
"2001001","20010201","20010","2001002","0","20010115"
"2001002","0","20010","2001003","2001001","0"
"2001003","0","20010","0","2001002","0"
"2001101","20011201","20011","2001102","0","20011115"
"2001102","0","20011","2001103","2001101","0"
"2001103","0","20011","0","2001102","0"
"2001201","20012201","20012","2001202","0","20012115"
"2001202","0","20012","2001203","2001201","0"
"2001203","0","20012","0","2001202","0"
"2001301","20013201","20013","2001302","0","20013115"
"2001302","0","20013","2001303","2001301","0"
"2001303","0","20013","0","2001302","0"
"2001401","20014201","20014","2001402","0","20014115"
"2001402","0","20014","2001403","2001401","0"
"2001403","0","20014","0","2001402","0"
"2001501","20015201","20015","2001502","0","20015115"
"2001502","0","20015","2001503","2001501","0"
"2001503","0","20015","0","2001502","0"
"2001601","20016201","20016","2001602","0","20016115"
"2001602","0","20016","2001603","2001601","0"
"2001603","0","20016","0","2001602","0"
"2001701","20017201","20017","2001702","0","20017115"
"2001702","0","20017","2001703","2001701","0"
"2001703","0","20017","0","2001702","0"
"2001801","20018201","20018","2001802","0","20018115"
"2001802","0","20018","2001803","2001801","0"
"2001803","0","20018","0","2001802","0"
"2001901","20019201","20019","2001902","0","20019115"
"2001902","0","20019","2001903","2001901","0"
"2001903","0","20019","0","2001902","0"
"2002001","20020201","20020","2002002","0","20020115"
"2002002","0","20020","2002003","2002001","0"
"2002003","0","20020","0","2002002","0"
"2002101","20021201","20021","2002102","0","20021115"
"2002102","0","20021","2002103","2002101","0"
"2002103","0","20021","0","2002102","0"
"2002201","20022201","20022","2002202","0","20022115"
"2002202","0","20022","2002203","2002201","0"
"2002203","0","20022","0","2002202","0"
"2002301","20023201","20023","2002302","0","20023115"
"2002302","0","20023","2002303","2002301","0"
"2002303","0","20023","0","2002302","0"
"2002401","20024201","20024","2002402","0","20024115"
"2002402","0","20024","2002403","2002401","0"
"2002403","0","20024","0","2002402","0"
"2002501","20025201","20025","2002502","0","20025115"
"2002502","0","20025","2002503","2002501","0"
"2002503","0","20025","0","2002502","0"
"2002601","20026201","20026","2002602","0","20026115"
"2002602","0","20026","2002603","2002601","0"
"2002603","0","20026","0","2002602","0"
"2002701","20027201","20027","2002702","0","20027115"
"2002702","0","20027","2002703","2002701","0"
"2002703","0","20027","0","2002702","0"
"2002801","20028201","20028","2002802","0","20028115"
"2002802","0","20028","2002803","2002801","0"
"2002803","0","20028","0","2002802","0"
"2002901","20029201","20029","2002902","0","20029115"
"2002902","0","20029","2002903","2002901","0"
"2002903","0","20029","0","2002902","0"
"2003001","20030201","20030","2003002","0","20030115"
"2003002","0","20030","2003003","2003001","0"
"2003003","0","20030","0","2003002","0"
"2003101","20031201","20031","2003102","0","20031115"
"2003102","0","20031","2003103","2003101","0"
"2003103","0","20031","0","2003102","0"
"2003201","20032201","20032","2003202","0","20032115"
"2003202","0","20032","2003203","2003201","0"
"2003203","0","20032","0","2003202","0"
"2003301","20033201","20033","2003302","0","20033115"
"2003302","0","20033","2003303","2003301","0"
"2003303","0","20033","0","2003302","0"
"2003401","20034201","20034","2003402","0","20034115"
"2003402","0","20034","2003403","2003401","0"
"2003403","0","20034","0","2003402","0"
"2003501","20035201","20035","2003502","0","20035115"
"2003502","0","20035","2003503","2003501","0"
"2003503","0","20035","0","2003502","0"
"2003601","20036201","20036","2003602","0","20036115"
"2003602","0","20036","2003603","2003601","0"
"2003603","0","20036","0","2003602","0"
"2003701","20037201","20037","2003702","0","20037115"
"2003702","0","20037","2003703","2003701","0"
"2003703","0","20037","0","2003702","0"
"2003801","20038201","20038","2003802","0","20038115"
"2003802","0","20038","2003803","2003801","0"
"2003803","0","20038","0","2003802","0"
"2003901","20039201","20039","2003902","0","20039115"
"2003902","0","20039","2003903","2003901","0"
"2003903","0","20039","0","2003902","0"
"2004001","20040201","20040","2004002","0","20040115"
"2004002","0","20040","2004003","2004001","0"
"2004003","0","20040","0","2004002","0"
"2004101","20041201","20041","2004102","0","20041115"
"2004102","0","20041","2004103","2004101","0"
"2004103","0","20041","0","2004102","0"
"2004201","20042201","20042","2004202","0","20042115"
"2004202","0","20042","2004203","2004201","0"
"2004203","0","20042","0","2004202","0"
"2004301","20043201","20043","2004302","0","20043115"
"2004302","0","20043","2004303","2004301","0"
"2004303","0","20043","0","2004302","0"
"2004401","20044201","20044","2004402","0","20044115"
"2004402","0","20044","2004403","2004401","0"
"2004403","0","20044","0","2004402","0"
"2004501","20045201","20045","2004502","0","20045115"
"2004502","0","20045","2004503","2004501","0"
"2004503","0","20045","0","2004502","0"
"2004601","20046201","20046","2004602","0","20046115"
"2004602","0","20046","2004603","2004601","0"
"2004603","0","20046","0","2004602","0"
"2004701","20047201","20047","2004702","0","20047115"
"2004702","0","20047","2004703","2004701","0"
"2004703","0","20047","0","2004702","0"
