baca18dc0c847c8f6ba24c50ed1610ac6206966d2da0b98c370a66d2f0ae1727,37fb3eeefd8a55f0085b47faab23e61e459957a9de35ade1dde9d0322d7bb975,1320a88bb93aac7fca7027ae015b96320bd8bf849d2fd81c5a96c9223d356086,496765668e63af78e394e68018ea78d0e9c3b9d9c9669d0dc967b77eef04f6a1,265a20e9d208fdb9ec5edfff5447e416dd6e5506e320013de2078c733afebf2c,969d11d7e64f82203a48c91548b4d7e320cc60780ef452d8dc06e53c70009359,75dc699352521af9220bfd3db0139c233f35b92a4f02698d388d0c009d5151e2,3f00bf1ac7d08baba4697ff0cf2098d0d47c9f5d7d5529475f803af952fd62a1,28bc0fe408b38d1f4ed400e4a827dce488705a30ffd56753521fbb70ce15d21c,f6d9bcb0130d6892280a1e405565b40324fc322f9238c28f2b07a3b266812723,85713ef74b1d98ec2bed4033c37d5a2e2bdf87fa1f299ec89df14de0ff73e4b4,60c2621b9f67fc47c96c04839e644fc347d95b479bdfe0459bdadbecd116b894,d6e14c3d344688cbb8d3c902cfaad5663460f85968769ad29513cb0d16127e11,d5182ff56fc506840d819ab7abb45ce7e8712ce617dc20718e3255750c6970f2
"24015","4","0","1","24","カオリ（サマー）","あうぅ～残念さ～\nマジムンに魂を\n奪われちゃったかな～？","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","4"
"24016","1","4","2","24","カオリ（サマー）","今日は踊りのキレも悪いよ～\nゴーヤーっぽいもの食べて、元気回復さ～！","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","4"
"24017","4","0","3","24","カオリ（サマー）","マジムンだらけで目が回るさ～！\nふらふらさ～！","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","4"
"24018","2","5.2","4","24","カオリ（サマー）","なんくるない、なんくるない\n次、頑張ればいいんだよ～！\n海で泳いで\nリフレッシュするさー！","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","1"
"24019","6","4.2","5","24","カオリ（サマー）","恥ずかしいところ\n見られちゃったね～\n水着？　水着のことじゃないよー？","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","5"
"24020","2","0","6","24","カオリ（サマー）","絶好調さ～！　この調子で\n海の平和を取り戻すよ～！\n楽しい夏が待ってるさ～！","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","2"
"24021","6","6.4","7","24","カオリ（サマー）","何匹で襲ってきたって\n私はマブイを落っことさないよ～！\nくしゅん！　あ……\n今のくしゃみで落っこちたかも～？","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","1"
"24022","2","0","8","24","カオリ（サマー）","ひーやーさーさー♪\n戦いの後は、踊りを踊って\n気分スッキリさ～！","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","2"
"24023","3","10.08","9","24","カオリ（サマー）","あれ～？　戦ってるうちに\n水着がどっか行っちゃった～？\nねぇキミ、どっかで見なかった～？\nなんで離れるさ～？","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","6"
"24024","2","5","10","24","カオリ（サマー）","まだまだ私は元気だよ～！\nマジムンでもなんでも、\nどんとこーいさー♪","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","1"
"24025","2","0","11","24","カオリ（サマー）","私の空手は世界最強さ～！\n夏の陽射しと青い海も合わされば、\n向かうところ敵なしだよー！","2019/07/31 12:00:00","0","110501","10021","2030/12/17 14:59:59","0","2"
