a8830b93a42520281608be85ff2b7c01ef2bdb414cd9569b613ccc25610c7cda,9143347db73140a044012c1a2c98d9e419e751143e312db9fd4c43bc5557b2b8,1e2804edad050d7897e65a2efd44abaf701fb181ae405a8d48c3c7e8ed2535e4,32e8c942889adbcfaa23bef61b1fcc5df0f63b197f38bcc437e94d956e01db95,80c4f0800d2bc5e5b5a32d1342b370ea26165302edb005f709656219274012d7,6f0b534bb51640fccaf22184d6800cd81d823ddfa770cb5399ad703581a7b673,7a2e4651e836b9fd9d866f1a8fb4b2b225b3d1b2cedcf0e7c4912e541ff0b8d5,b4a8401178020f64c5a89408a29a56a2712fd719ce0d75fb520cc6bf6bdd6ca2,3a1da8f7421bf2fcff0f9c512725b363971437385fef00689d1ef5a7b4b741d8
"2","1","1","","1","2","23001","","21600"
"3","2","1","","1","2","23001","","19800"
"3","3","1","","1","2","23001","","18000"
"3","4","1","","1","2","23001","","16200"
"4","5","1","","1","2","23001","","14400"
"4","6","1","","1","2","23001","","12960"
"5","7","1","","1","2","23001","","11520"
"6","8","1","","1","2","23001","","10080"
"7","9","1","","1","2","23001","","8640"
"8","10","1","","1","2","23001","","7200"
"10","11","1","","1","2","23001","","5760"
"12","12","1","","1","2","23001","","5040"
"14","13","1","","1","2","23001","","4320"
"16","14","1","","2","2","23001","","7200"
"18","15","1","","2","2","23001","","5400"
"18","16","1","","2","2","23001","","5040"
"18","17","1","","2","2","23001","","4800"
"20","18","1","","2","2","23001","","4500"
"20","19","1","","2","2","23001","","4320"
"24","20","1","","3","2","23001","","6000"
"48","21","1","","3","2","23001","","5700"
"48","22","1","","3","2","23001","","5400"
"51","23","1","","3","2","23001","","5220"
"54","24","1","","3","2","23001","","4980"
"54","25","1","","3","2","23001","","4800"
"60","26","1","","3","2","23001","","4500"
"60","27","1","","3","2","23001","","4320"
"63","28","1","","3","2","23001","","4200"
"64","29","1","","4","2","23001","","5400"
"68","30","1","","4","2","23001","","5220"
"72","31","1","","4","2","23001","","5040"
"72","32","1","","4","2","23001","","4920"
"72","33","1","","4","2","23001","","4800"
"76","34","1","","4","2","23001","","4680"
"80","35","1","","4","2","23001","","4500"
"80","36","1","","4","2","23001","","4320"
"84","37","1","","4","2","23001","","4260"
"80","1","2","","20","6","93001","","21600"
"96","2","2","","24","6","93001","","21600"
"112","3","2","","28","6","93001","","21600"
"120","4","2","","30","6","93001","","21600"
"128","5","2","","32","6","93001","","21600"
"136","6","2","","34","6","93001","","21600"
"144","7","2","","36","6","93001","","21600"
"152","8","2","","38","6","93001","","21600"
"160","9","2","","40","6","93001","","21600"
"168","10","2","","42","6","93001","","21600"
"176","11","2","","44","6","93001","","21600"
"184","12","2","","46","6","93001","","21600"
"192","13","2","","48","6","93001","","21600"
"200","14","2","","50","6","93001","","21600"
"208","15","2","","52","6","93001","","21600"
"216","16","2","","54","6","93001","","21600"
"224","17","2","","56","6","93001","","21600"
"232","18","2","","58","6","93001","","21600"
"240","19","2","","60","6","93001","","21600"
"248","20","2","","62","6","93001","","21600"
"256","21","2","","64","6","93001","","21600"
"264","22","2","","66","6","93001","","21600"
"272","23","2","","68","6","93001","","21600"
"280","24","2","","70","6","93001","","21600"
"288","25","2","","72","6","93001","","21600"
"296","26","2","","74","6","93001","","21600"
"304","27","2","","76","6","93001","","21600"
"312","28","2","","78","6","93001","","21600"
"320","29","2","","80","6","93001","","21600"
"328","30","2","","82","6","93001","","21600"
"336","31","2","","84","6","93001","","21600"
"340","32","2","","85","6","93001","","21600"
"344","33","2","","86","6","93001","","21600"
"348","34","2","","87","6","93001","","21600"
"352","35","2","","88","6","93001","","21600"
