5e1b2117fbfef7e75526c0a36fcc13d07533b24602b752d541e74f268277ca4c,faf372374d54c3c6f08852455bb1c37720ab4cade58226409a440ee2fbf742eb,c237f0d5372c0abab8d21b495cc4310e7aaff0dbbf6537669345769dc9eaf2c6,e41491d3d07ec0ba508ecd7378c1ac01d90cfe94f4022b2481af5f01a4faed8f,8dda805c4a9542a7201faf8905805ccd5fd9c210fa1eb30c54f8dc819e15b515,d448d5c32f3de509accf21785a118fffa08d9d644033d704617d44f63a5d9812,a763e5c13d6144915be4ff8936b4b485ff30a5d8f9b4d26fba87361ecfacd5aa,d027f1cf65f667955d071ff5658f354fbf1bd0a2712a8e0c59d5a37d050b478f,96e64b423fea2085c76546b775f395e82705ad4de5f31382747e84c875a50ccd,be4a3c6e1de42a8cb0754e7e8d6de4e4a61b7af3cb16a5c10af4ae5828587842,ef34bcf02874317345c812aead55cfb7aac66f225294df3afb5a685ff1718999,d19bc3cd59b10566d8c85004572c855767df70446ef0162160abdc17baaca119,22a3cd4d253c16c5f2228603193a084487c847bf6fd62915a88cf468172f24ce,766b965f30e1a79633f8a27fac823750045840d8dcf5f3a93009249d1d3a43d6,8f9f341e98b835ac7d0823ae37f9deae1bf0cd30bf0677214e3df1ba9928bf84,476e7e6484a859d7a36caa90efa402261716bd52e254122556890db317abf743,394560fca89d030971e08c632c27246e55f9fe22e959b077a54cc1f7ee64c7e4,ba986d593b7d5297e680109360ab02ef33721fc007ec001d342235873e53291d
"5000","0","0","20000","0","0","0","1","0","0","0","0","0","0","0","12","スコアを累計で20000獲得しよう","94002"
"10000","0","0","40000","0","0","0","2","0","0","0","0","0","0","0","12","スコアを累計で40000獲得しよう","94002"
"15000","0","0","60000","0","0","0","3","0","0","0","0","0","0","0","12","スコアを累計で60000獲得しよう","94002"
"20000","0","0","80000","0","0","0","4","0","0","0","0","0","0","0","12","スコアを累計で80000獲得しよう","94002"
"50","0","0","100000","0","2","23001","5","0","0","0","0","0","5","0","8","スコアを累計で100000獲得しよう","91002"
"25000","0","0","120000","0","0","0","6","0","0","0","0","0","0","0","12","スコアを累計で120000獲得しよう","94002"
"30000","0","0","140000","0","0","0","7","0","0","0","0","0","0","0","12","スコアを累計で140000獲得しよう","94002"
"35000","0","0","160000","0","0","0","8","0","0","0","0","0","0","0","12","スコアを累計で160000獲得しよう","94002"
"40000","0","0","180000","0","0","0","9","0","0","0","0","0","0","0","12","スコアを累計で180000獲得しよう","94002"
"50","0","0","200000","0","2","23001","10","0","0","0","0","0","5","0","8","スコアを累計で200000獲得しよう","91002"
"55000","0","0","220000","0","0","0","11","0","0","0","0","0","0","0","12","スコアを累計で220000獲得しよう","94002"
"35000","0","0","240000","0","0","0","12","0","0","0","0","0","0","0","12","スコアを累計で240000獲得しよう","94002"
"40000","0","0","260000","0","0","0","13","0","0","0","0","0","0","0","12","スコアを累計で260000獲得しよう","94002"
"45000","0","0","280000","0","0","0","14","0","0","0","0","0","0","0","12","スコアを累計で280000獲得しよう","94002"
"150","0","0","300000","0","2","23001","15","0","0","0","0","0","10","0","8","スコアを累計で300000獲得しよう","91002"
