28f5fefaafb02bde46d90f7af5dc53e3a52ad5b167c76c2809a6042afe8cd2ff,f7b7a291878ffeb691cfed9e505e30347e010a515860882c030451d4a37d2537,2388b073dd26f3f0056a9de86a5347d3c1d9b5a72529cbe95703664aecca01c3
"1","0","0"
"2","5","40"
"3","14","60"
"4","24","80"
"5","39","100"
"6","59","120"
"7","84","140"
"8","114","160"
"9","149","180"
"10","188","200"
"11","233","220"
"12","283","240"
"13","338","260"
"14","397","280"
"15","462","300"
"16","532","320"
"17","606","340"
"18","686","360"
"19","770","380"
"20","860","400"
"21","954","420"
"22","1054","440"
"23","1158","460"
"24","1267","480"
"25","1382","500"
"26","1501","520"
"27","1626","540"
"28","1755","560"
"29","1889","580"
"30","2028","600"
"31","2172","620"
"32","2322","640"
"33","2476","660"
"34","2635","680"
"35","2799","700"
"36","2968","720"
"37","3142","740"
"38","3321","760"
"39","3505","780"
"40","3694","800"
"41","3888","820"
"42","4087","840"
"43","4291","860"
"44","4500","880"
"45","4713","900"
"46","4932","920"
"47","5156","940"
"48","5385","960"
"49","5618","980"
"50","5857","1000"
"51","6101","1020"
"52","6349","1040"
"53","6603","1060"
"54","6862","1080"
"55","7125","1100"
"56","7394","1120"
"57","7667","1140"
"58","7946","1160"
"59","8229","1180"
"60","8517","1200"
"61","8811","1220"
"62","9109","1240"
"63","9412","1260"
"64","9721","1280"
"65","10034","1300"
"66","10352","1320"
"67","10675","1340"
"68","11004","1360"
"69","11337","1380"
"70","11675","1400"
"71","12018","1420"
"72","12366","1440"
"73","12719","1460"
"74","13077","1480"
"75","13440","1500"
"76","13808","1520"
"77","14181","1540"
"78","14559","1560"
"79","14942","1580"
"80","15330","1600"
"81","15723","1620"
"82","16120","1640"
"83","16523","1660"
"84","16931","1680"
"85","17344","1700"
"86","17761","1720"
"87","18184","1740"
"88","18612","1760"
"89","19044","1780"
"90","19482","1800"
"91","19924","1820"
"92","20372","1840"
"93","20824","1860"
"94","21282","1880"
"95","21744","1900"
"96","22212","1920"
"97","22684","1940"
"98","23161","1960"
"99","23644","1980"
"100","24131","2000"
"101","24623","2020"
"102","25121","2040"
"103","25623","2060"
"104","26130","2080"
"105","26642","2100"
"106","27159","2120"
"107","27681","2140"
"108","28208","2160"
"109","28741","2180"
"110","29278","2200"
"111","29820","2220"
"112","30367","2240"
"113","30919","2260"
"114","31475","2280"
"115","32037","2300"
"116","32604","2320"
"117","33176","2340"
"118","33753","2360"
"119","34335","2380"
"120","34921","2400"
"121","35513","2420"
"122","36110","2440"
"123","36711","2460"
"124","37318","2480"
"125","37930","2500"
"126","38546","2520"
"127","39168","2540"
"128","39794","2560"
"129","40426","2580"
"130","41062","2600"
"131","41704","2620"
"132","42350","2640"
"133","43002","2660"
"134","43658","2680"
"135","44319","2700"
"136","44986","2720"
"137","45657","2740"
"138","46333","2760"
"139","47014","2780"
"140","47701","2800"
"141","48392","2820"
"142","49088","2840"
"143","49789","2860"
"144","50495","2880"
"145","51206","2900"
"146","51922","2920"
"147","52643","2940"
"148","53369","2960"
"149","54100","2980"
"150","54836","3000"
"151","55577","3020"
"152","56323","3040"
"153","57074","3060"
"154","57830","3080"
"155","58590","3100"
"156","59356","3120"
"157","60127","3140"
"158","60903","3160"
"159","61683","3180"
"160","62469","3200"
"161","63260","3220"
"162","64055","3240"
"163","64856","3260"
"164","65661","3280"
"165","66472","3300"
"166","67287","3320"
"167","68108","3340"
"168","68933","3360"
"169","69764","3380"
"170","70599","3400"
"171","71439","3420"
"172","72285","3440"
"173","73135","3460"
"174","73990","3480"
"175","74851","3500"
"176","75716","3520"
"177","76586","3540"
"178","77461","3560"
"179","78341","3580"
"180","79226","3600"
"181","80116","3620"
"182","81011","3640"
"183","81911","3660"
"184","82816","3680"
"185","83726","3700"
"186","84641","3720"
"187","85561","3740"
"188","86486","3760"
"189","87416","3780"
"190","88351","3800"
"191","89291","3820"
"192","90235","3840"
"193","91185","3860"
"194","92140","3880"
"195","93100","3900"
"196","94064","3920"
"197","95034","3940"
"198","96009","3960"
"199","96988","3980"
"200","97973","4000"
"201","98962","4020"
"202","99957","4040"
"203","100956","4060"
"204","101961","4080"
"205","102970","4100"
"206","103984","4120"
"207","105004","4140"
"208","106028","4160"
"209","107057","4180"
"210","108092","4200"
"211","109131","4220"
"212","110175","4240"
"213","111224","4260"
"214","112279","4280"
"215","113338","4300"
"216","114402","4320"
"217","115471","4340"
"218","116545","4360"
"219","117624","4380"
"220","118708","4400"
"221","119797","4420"
"222","120891","4440"
"223","121990","4460"
"224","123094","4480"
"225","124203","4500"
"226","125316","4520"
"227","126435","4540"
"228","127559","4560"
"229","128688","4580"
"230","129822","4600"
"231","130960","4620"
"232","132104","4640"
"233","133253","4660"
"234","134406","4680"
"235","135565","4700"
"236","136728","4720"
"237","137897","4740"
"238","139070","4760"
"239","140249","4780"
"240","141432","4800"
"241","142621","4820"
"242","143814","4840"
"243","145013","4860"
"244","146216","4880"
"245","147424","4900"
"246","148637","4920"
"247","149856","4940"
"248","151079","4960"
"249","152307","4980"
"250","153540","5000"
"251","154779","5020"
"252","156022","5040"
"253","157270","5060"
"254","158523","5080"
"255","159781","5100"
"256","161044","5120"
"257","162312","5140"
"258","163585","5160"
"259","164863","5180"
"260","166146","5200"
"261","167434","5220"
"262","168726","5240"
"263","170024","5260"
"264","171327","5280"
"265","172635","5300"
"266","173947","5320"
"267","175265","5340"
"268","176588","5360"
"269","177916","5380"
"270","179248","5400"
"271","180586","5420"
"272","181928","5440"
"273","183276","5460"
"274","184628","5480"
"275","185986","5500"
"276","187348","5520"
"277","188716","5540"
"278","190088","5560"
"279","191466","5580"
"280","192848","5600"
"281","194235","5620"
"282","195628","5640"
"283","197025","5660"
"284","198427","5680"
"285","199834","5700"
"286","201247","5720"
"287","202664","5740"
"288","204086","5760"
"289","205513","5780"
"290","206945","5800"
"291","208382","5820"
"292","209824","5840"
"293","211271","5860"
"294","212723","5880"
"295","214180","5900"
"296","215642","5920"
"297","217109","5940"
"298","218581","5960"
"299","220057","5980"
"300","221539","6000"
"301","223026","6020"
"302","224518","6040"
"303","226015","6060"
"304","227516","6080"
"305","229023","6100"
"306","230535","6120"
"307","232051","6140"
"308","233573","6160"
"309","235099","6180"
"310","236631","6200"
"311","238167","6220"
"312","239709","6240"
"313","241255","6260"
"314","242807","6280"
"315","244363","6300"
"316","245924","6320"
"317","247491","6340"
"318","249062","6360"
"319","250638","6380"
"320","252220","6400"
"321","253806","6420"
"322","255397","6440"
"323","256993","6460"
"324","258594","6480"
"325","260200","6500"
