56ccf119ff8c147a10e3e67542a4125f8dec2f98c3237e70483016e109ab4d67,76b5e8bedaf2269fa78ae266b49240e6f7db7522f4be1d6b1a5b349ce400a029,cb68201bfb605acac166cba2e9f1c128a0e8ba20729409df3aa59d1e564641cd,b173546da7e6ff0b360ba05085f21f9c80e76f94739cb886919ffbd419d24af8,27d8125264fde0d585023011180ef7864f0d8423368a36130e2c8388251b05ad,46b40ff93936d89020a6a8d510ecb2b03dbd43af2c50138a2e9fbf04a44b763c
"1","vo_caravan","vo_caravan_105801_start_001","11101","1","1"
"1","vo_caravan","vo_caravan_105801_start_002","11102","1","1"
"1","vo_caravan","vo_caravan_105901_start_001","12101","2","1"
"1","vo_caravan","vo_caravan_105901_start_002","12102","2","1"
"1","vo_caravan","vo_caravan_106001_start_001","13101","3","1"
"1","vo_caravan","vo_caravan_106001_start_002","13102","3","1"
"1","vo_caravan","vo_caravan_106401_start_001","14101","4","1"
"1","vo_caravan","vo_caravan_106401_start_002","14102","4","1"
"2","vo_caravan","vo_caravan_105801_dice_001","21101","1","1"
"2","vo_caravan","vo_caravan_105801_dice_002","21102","1","1"
"2","vo_caravan","vo_caravan_105901_dice_001","22101","2","1"
"2","vo_caravan","vo_caravan_105901_dice_002","22102","2","1"
"2","vo_caravan","vo_caravan_106001_dice_001","23101","3","1"
"2","vo_caravan","vo_caravan_106001_dice_002","23102","3","1"
"2","vo_caravan","vo_caravan_106401_dice_001","24101","4","1"
"2","vo_caravan","vo_caravan_106401_dice_002","24102","4","1"
"3","vo_caravan","vo_caravan_105801_slot_001","31101","1","1"
"3","vo_caravan","vo_caravan_105901_slot_001","32101","2","1"
"3","vo_caravan","vo_caravan_106001_slot_001","33101","3","1"
"3","vo_caravan","vo_caravan_106401_slot_001","34101","4","1"
"4","vo_caravan","vo_caravan_105801_dish_001","41101","1","1"
"4","vo_caravan","vo_caravan_105801_dish_002","41102","1","1"
"4","vo_caravan","vo_caravan_105901_dish_001","42101","2","1"
"4","vo_caravan","vo_caravan_105901_dish_002","42102","2","1"
"4","se_caravan","se_caravan_food_peko","42201","1","2"
"4","se_caravan","se_caravan_food_coccoro","42202","2","2"
"4","se_caravan","se_caravan_food_kyaru","42203","3","2"
"4","se_caravan","se_caravan_food_coccoro","42204","4","2"
"4","se_caravan","se_caravan_food_onigiri","42205","100","2"
"4","vo_caravan","vo_caravan_106001_dish_001","43101","3","1"
"4","vo_caravan","vo_caravan_106001_dish_002","43102","3","1"
"4","vo_caravan","vo_caravan_106401_dish_001","44101","4","1"
"4","vo_caravan","vo_caravan_106401_dish_002","44102","4","1"
"4","vo_caravan","vo_caravan_onigiri_dish_001","45101","100","1"
"6","vo_caravan","vo_caravan_105801_goal_001","61101","0","1"
"61","vo_caravan","vo_caravan_105801_win_001","61201","0","1"
"62","vo_caravan","vo_caravan_105801_lose_001","61301","0","1"
"6","vo_caravan","vo_caravan_105901_goal_001","62101","0","1"
"61","vo_caravan","vo_caravan_105901_win_001","62201","0","1"
"62","vo_caravan","vo_caravan_105901_lose_001","62301","0","1"
"6","vo_caravan","vo_caravan_106001_goal_001","63101","0","1"
"61","vo_caravan","vo_caravan_106001_win_001","63201","0","1"
"62","vo_caravan","vo_caravan_106001_lose_001","63301","0","1"
"6","vo_caravan","vo_caravan_118501_goal_001","64101","0","1"
"6","vo_caravan","vo_caravan_106401_goal_001","65101","0","1"
"61","vo_caravan","vo_caravan_106401_win_001","65201","0","1"
"62","vo_caravan","vo_caravan_106401_lose_001","65301","0","1"
"7","vo_caravan","vo_caravan_105801_appraise_001","71101","0","1"
"7","vo_caravan","vo_caravan_105901_appraise_001","72101","0","1"
"7","vo_caravan","vo_caravan_106001_appraise_001","73101","0","1"
"7","vo_caravan","vo_caravan_106401_appraise_001","74101","0","1"
"8","vo_caravan","vo_caravan_105801_result_001","81101","0","1"
"8","vo_caravan","vo_caravan_105901_result_001","82101","0","1"
"8","vo_caravan","vo_caravan_106001_result_001","83101","0","1"
"8","vo_caravan","vo_caravan_106401_result_001","84101","0","1"
"2","vo_caravan","vo_caravan_319700_dice_001","211101","11","1"
"2","vo_caravan","vo_caravan_319700_dice_002","211102","11","1"
"2","vo_caravan","vo_caravan_319800_dice_001","212101","12","1"
"2","vo_caravan","vo_caravan_319800_dice_002","212102","12","1"
"2","vo_caravan","vo_caravan_319900_dice_001","213101","13","1"
"2","vo_caravan","vo_caravan_319900_dice_002","213102","13","1"
