e08cee81aa20e15b055eb264c368109db9635d643253035d7aeed4478724ba7c,23432e091d86d309d5c965748c5e29964a389a31a351a01f6cbfcc7ab356d722,55397b8beab6664c278f560747b252f2aca0c78944e26b12e315ac1ae9d46db5,0e7accde19f6c930342bc498aedadb14e413a970245c3a16315befdc3c74a214,d07b96f8e46ed06a6180cfd68e80ba403940cf9304022e9eac1895883735119e,b8c9a79d6bc6882c3879481fef740ee1e51f45ba49dfa48392e0daea6ce2183e
"1","58002001","1","15","1001","10101001"
"2","58002002","1","15","1002","10101002"
"3","58002003","1","15","1003","10101003"
"4","56011001","1","15","1001","10201001"
"5","56011002","1","15","1002","10201002"
"6","56011003","1","15","1003","10201003"
"7","56011003","50","8","0","91002"
"8","56011004","1","15","1001","10201004"
"9","56011005","1","15","1002","10201005"
"10","56011006","1","15","1003","10201006"
"11","56011006","50","8","0","91002"
"12","56011007","1","15","1001","10201007"
"13","56011008","1","15","1002","10201008"
"14","56011009","1","15","1003","10201009"
"15","56011009","50","8","0","91002"
"16","56011010","1","15","1001","10201010"
"17","56011011","1","15","1002","10201011"
"18","56011012","1","15","1003","10201012"
"19","56011012","50","8","0","91002"
"20","56011013","1","15","1001","10201013"
"21","56011014","1","15","1002","10201014"
"22","56011015","1","15","1003","10201015"
"23","56011015","50","8","0","91002"
"24","56011016","1","15","1001","10201016"
"25","56011017","1","15","1002","10201017"
"26","56011018","1","15","1003","10201018"
"27","56011018","50","8","0","91002"
"28","56011019","1","15","1001","10201019"
"29","56011020","1","15","1002","10201020"
"30","56011021","1","15","1003","10201021"
"31","56011021","50","8","0","91002"
"32","56011022","1","15","1001","10201022"
"33","56011023","1","15","1002","10201023"
"34","56011024","1","15","1003","10201024"
"35","56011024","50","8","0","91002"
"36","56011025","1","15","1001","10201025"
"37","56011026","1","15","1002","10201026"
"38","56011027","1","15","1003","10201027"
"39","56011027","50","8","0","91002"
"40","56011028","1","15","1001","10201028"
"41","56011029","1","15","1002","10201029"
"42","56011030","1","15","1003","10201030"
"43","56011030","50","8","0","91002"
"44","56011031","1","15","1001","10201031"
"45","56011032","1","15","1002","10201032"
"46","56011033","1","15","1003","10201033"
"47","56011033","50","8","0","91002"
"48","56011034","1","15","1001","10201034"
"49","56011035","1","15","1002","10201035"
"50","56011036","1","15","1003","10201036"
"51","56011036","50","8","0","91002"
"52","56011037","1","15","1001","10201037"
"53","56011038","1","15","1002","10201038"
"54","56011039","1","15","1003","10201039"
"55","56011039","50","8","0","91002"
"56","56011040","1","15","1001","10201040"
"57","56011041","1","15","1002","10201041"
"58","56011042","1","15","1003","10201042"
