0a87fada9ed3b84f1d8a42de1c44a78efea3fc94d8ab85f384e1da9b7399eead,e055dd16b7f239b327e9b9f1cf704e9dec9be79d7bcf1dca0204dba0a3a46170,0fcdcde5789023e573edf751e81d943fac2105c7d13969dc77dea7937f4ba5ba,8628a4e2174da79185bca2e70b728757054b00c0edbfc96d0cd090309ec64ace,876c983bc0468a8bab7ae8209000a5976249633addeb9ccbfbc90fe2b1d72701,323c0918340daafcdfa6b0c49e8cd3b78118f8baf22005b5a98cf5cd4bd0bd37,1b5197eee26fe93357dda5d036f152d5f35e19838195d88b7d6ba6682e6ca480,a4f6a5e3f6cf16b8dac44919afe612d1e1ca5d9fa6f402b7bee0f23756463791,a7cf6adc0bb3b28f9d19760878fb06f7a99747f4024cbe5378741c59c9c5b80d,5fdcde11d85c8f97a267409e8fb3d0ba51016b60d9f9d765e247d9170d6451f2,37f614716038de4250039034f287e6c9bf95b6824c5bc8954638ed07e91a4b3c,71aa3726c9bcefcc84df4a57e781ae4a130bd63a3ba937615634525f3f161195,1e8b803e63ba8a5ce0d1673b76e44a30cd604e5fb0d5f9e3551368632fd9d021,ec24265638288367cc9480abc85b16f9b7b9d614f91ded80914205b209dd0c42,0c3bf6d6f339faa50b419ede4bec9cb8464966902545437172ec3f6d9124949f,bc25e8737c5a28850e1232b0fb2f0ed5ceb0a529857009608464e4c10e26a994,d74b8b9bed5030db416fee9939e16c4d3b1ce8bfc332b93e6b28d53e4838216a,d27cb4b0823e4f3e14c699697a91d80212e28921df80c84ee94c97d5ab881dd3,bf61250fa538e7e7a5d8cd292c870d8667dc41a65f3463441660fd03aaf2a8c3
"10010","0","610010004","1","5010321","0","0","0","2","0","5","610010401","1.5","","0","90","0","0","0"
"10010","0","610010005","2","5010322","0","0","0","3","0","5","610010402","1.5","","108","90","0","0","0"
"10010","0","610010006","3","0","0","0","0","1","0","5","0","1.5","","0","90","0","0","0"
"10011","5011321","610011004","1","5011322","0","0","0","1","70","5","0","1.5","","0","90","0","0","0"
"10011","0","610011005","2","5011323","0","0","0","1","40","5","0","1.5","","0","90","0","0","0"
"10011","0","610011006","3","0","0","0","0","1","0","5","0","1.5","","0","90","0","0","0"
"10012","0","610012004","1","5012321","0","0","1","2","0","5","610012401","1.5","","0","90","3","0","600"
"10012","0","610012005","2","5012322","0","0","1","1","51","5","0","1.5","","0","90","0","0","0"
"10012","0","610012006","3","0","0","0","1","1","0","5","0","1.5","","0","90","0","0","0"
"10013","0","610013004","1","5013321","0","50","1","2","0","5","610013401","1.5","","0","90","3","0.9","600"
"10013","0","610013005","2","5013322","0","84","0","1","50","5","0","1.5","","0","90","0","1","0"
"10013","0","610013006","3","0","0","84","0","1","0","5","0","1.5","","0","90","0","1","0"
"10015","0","610015004","1","5015321","0","1","1","2","0","5","610015401","1.5","","0","90","3","0.9","600"
"10015","0","610015005","2","5015322","0","-50","1","1","50","5","0","1.5","","0","90","0","1.3","0"
"10015","0","610015006","3","0","0","-50","1","1","0","5","0","1.5","","0","90","0","1.3","0"
"10017","0","610017004","1","5017321","0","50","1","2","0","5","610017401","1.5","","0","90","3","0.9","600"
"10017","0","610017005","2","5017322","0","84","1","1","50","5","0","1.5","","0","90","0","1","0"
"10017","0","610017006","3","0","0","84","1","1","0","5","0","1.5","","0","90","0","1","0"
"10019","5019321","610019004","1","5019322","0","-50","1","4","0","5","610019401","1.5","","200","90","0","1.25","0"
"10019","0","610019005","2","5019323","0","-50","1","1","50","5","0","1.5","","0","90","0","1.25","0"
"10019","0","610019006","3","0","0","-50","1","1","0","5","0","1.5","","0","90","0","1.25","0"
"10021","5021321","610021004","1","5021322","0","0","1","1","60","5","0","1.5","","0","90","0","1","0"
"10021","0","610021005","2","5021323","0","0","1","3","0","5","0","1.5","","30","90","0","1","0"
"10021","0","610021006","3","0","0","0","1","1","0","5","0","1.5","","0","90","0","1","0"
"10023","5023321","610023004","1","5023322","0","-50","1","1","75","5","0","1.5","","0","135","0","1.25","0"
"10023","0","610023005","2","5023323","0","-50","1","1","25","5","0","1.5","","0","135","0","1.25","0"
