425c981d5047a39d044ef7d1641e2c02f7d4789e693248fa4ec2d0111cce13c8,a5693aac940b9aebc48f99ad4d503c1b131f42803768752f4ea5abe85a2698d6,57acf273560a1c603af93dede6a58affef62ce51413ad1fe1bd39b5fde05fec5,5d6f41fe5cf103fa1053af8ccc5ba609633bdb386a7d3f0b65e9b6129eb5af64,4783cc0a8879810b55f5c5977877c71c37081825bf5227a576825dfd62b2f170,abe1f9c099666ffd210c3e0a2c028c0af1c675802160be9e4a4989de0c333f10,60358c2eba25d012668666097f5c20afc59667f8f3fe061c26d8e30c2ca17dbb,0999f17e00fd8f6735e901c43ff9eb6e7cbe22607ee8353e3edc1e4af06f1f27,8a07da794457b69c5349211b70cb58208626a298f6da584267a3c5a51eeec7c7,2f1b9ed6942f4a3643f0f2f3160c3fe5d699f76b37484a06cfc306f59e5c74b5,25ebea6af035aee34045db07beda1b0bc05bfc8c905d8a71a874449570aff9f8
"0","1001","10011105","pt","1","0","10011","0","1","0","2"
"0","1002","10015103","m","2","1","10015","0","1","0","2"
"0","1003","10021108","pt","3","0","10021","0","1","5021700","2"
"0","1004","5027007","pt","4","0","10027","0","1","5027700","3"
"0","1005","10040105","pt","5","0","10040","0","1","5040700","2"
"5046006","1006","5046006","pt","6","0","10046","1","1","0","1"
"5072006","1007","5072006","pt","7","0","10072","3","1","0","3"
"5080000","1008","5080007","pt","8","0","10080","3","0","5080700","3"
"0","1009","0","pt","9","0","0","0","0","9004201","0"
"5096007","1010","5096007","pt","10","0","10096","3","1","5096700","1"
"5126000","1012","10126107","pt","11","0","10126","3","1","0","2"
"5142000","1013","5142007","pt","12","0","10142","1","1","5142700","3"
