f4feaa71e46f4a3bb5ab39757ba8d7284c7ffd8a4f5bb0c329544c3091d42ebf,3f8d7b0b1c48e956915db059c280aeb9ba7b1a52d7c4c1e55a7bca727631266c,c2fad029c8326f8db0a00119de936e69ec7c819c662d079df1d3c34b4ef5c08a,cd9b8f6c61c42fa6c327b8b8145cf3f5d0f4d077540694902418be64075f6a72,061ba7f2149e87452724ca3e2957200b0dec66ded6e9b3495a1db3e2b255da6c,a0754edac4c9a5d63bc638a64e7fb8faf47571ae198e574680fac358ce290ca8,ea5c01e02a094877ffe9368570f3daedece18e56e869b13eb41a4b532f07d9c8,ba3662633c3c0d9ab6e9afc93a2e0f3663d3b58e867010e491bf7f3a2cc5b1d5,5e76570d40e88ddb3f79fd3a3306c6e79bb48be139e872091771b4ff878c842a,b413d3298188770114131c93c95b8452f8afb6d40a5c6c482e9c15b15b96c9c4,3f2363b58e58ba57babe3204cf707b519c980987518695b9fb4fb48538c3ff97,33cba9b3d4858b10da5e9b62c04191ae559d56017a159b2a906ab93f7db50edb,cea4086805db13c08de37c79d362f264f5fa723e839946ff7f6042f36d403f4b
"0","vo_empress_100101_001","5","1","vo_empress_100101_001","どんなに敵が大勢でも、みんなで\n力を合わせれば絶対大丈夫だよ！\nだから顔を上げてこう！\nごーごー！","","","1","4","100101","1","ヒヨリ"
"0","vo_empress_100101_002","5","2","vo_empress_100101_002","ううっ、何度も戦う相手もいるけど\nあたし、負けたりなんてしないよ！\n今回だってみんなや騎士くんがいる\nフルパワーでいくよーっ！","","","1","4","100103","1","ヒヨリ"
"0","vo_empress_100101_003","5","3","vo_empress_100101_003","うぅ…すごい力…！\n…でも、なんだか悲しそう\nこの人の気持ちを知りたい\nだからこそ…勝たなきゃ…！","","","2","4","100103","1","ヒヨリ"
"100101","vo_empress_100101_004","5","4","vo_empress_100101_004","騎士くんの力があれば、\nあたしは絶対負けないよ！\nみんなが笑顔でいられるように\n一緒にがんばろう！","","","3","4","100102","1","ヒヨリ"
"0","vo_empress_100201_001","5","5","vo_empress_100201_001","わたしたちの世界のためにも\nこの世界のためにも、\n絶対に負けられない…！\nがんばろうね、騎士クン","","","1","4","100203","1","ユイ"
"0","vo_empress_100201_002","5","6","vo_empress_100201_002","みんな、怪我したらすぐに教えて！\n…もう誰も失いたくないの\nそのために修行もしたんだから…\n大丈夫、絶対なんとかしてみせる！","","","1","4","100203","1","ユイ"
"0","vo_empress_100201_003","5","7","vo_empress_100201_003","世界を『書き換え』するなんて…\nそんな未来、寂しいだけだよ…！\nお願い、これ以上みんなを\n傷つけないで…話を聞いて！","","","2","4","100203","1","ユイ"
"100201","vo_empress_100201_004","5","8","vo_empress_100201_004","感じるよ、騎士クンの気持ち…\n抱きしめられてるみたいに\nあったかい…\nぜんぶ終わらせよう！","","","3","4","100202","1","ユイ"
"0","vo_empress_100301_001","5","9","vo_empress_100301_001","厳しい戦いになるだろうな\n安心してくれ、何があっても\nキミは守る。…いや、違うな\n一緒に、世界を守ろう","","","1","4","100301","1","レイ"
"0","vo_empress_100301_002","5","10","vo_empress_100301_002","手ごわい相手ばかりだな…\nだが引き下がるわけにはいかない\nこちらにだって譲れないものが\nあるんだ！","","","1","4","100303","1","レイ"
"0","vo_empress_100301_003","5","11","vo_empress_100301_003","くっ…なんて力だ…！\n防ぐだけで精一杯…だが、\n例え剣が折れたとしても、\n私は最後まで戦い続ける！","","","2","4","100303","1","レイ"
