9122318d157b0b4a2fe7d492bde9100b351c89d820857d301d6d0192cc4fb533,5ad9f35401a653e1383f317436a6ec45b2397bc2855302ca06a9f67f69a995de,e0c306abb5ba57c7140791e5aaab4c7737396e9adddf309b3a2a8468dd18a5fb,2fba80978f76309ee7237b895104c11579e046ddc4ad01ef81d575ef4712beae,d7541705ae4d50be0e14102836310d6fe716dcfa75dfbbd59241296935a0a095,0e10445aed8ac9dc751ab73532107865921ba93a14da934fdc5a84f9ea01c504,90ae510cb5bbe58cde093097889e0384449fefe30af6861f8e1a12b32721bce9,e0101c62a7668b02aa2c0ff114e1ba1e4842100131afb5520054a0ce68bf80ff,36c7a8758a12b03ccf9af62a344cd475640c625e495cb0856a405b517f02da4e,ca23d4b3955ea524b195ab395b0fafc96f312474dbf5106b8b2c410949af5271,84282405580b5f2a66740f11a2c5df19a73bbb1764c2792f58ac526c6c891f19,57806c598562d9e879df63cff89ac1a99bc2e5ea741b3b7973dcd5b218922717,250e15ad735307290a5b7d462ea59cf00aa7ec805fcafa3a8b6cd117691818fd,af21dd10245d1fc317179e3b71c09c99919f696df4d0a5985ecebcc67d82ca5b,4d11703d0d674027089c32e2d00a0a5aee68add35e974f15f898287e0426e4e4,9209bb2c2bcb5c836e7dc32958edb7857fdc1af41baea9c1a321bf2ac891cffa,ce46b1722a0fcf59b7f1075a563de5dbdb41807def72cb0b997dca9395bee844,2662da46a729d7843fbbbc148acd8c9ea4b7d5873d9bc197bb8e5fdded660866,ce1c9e9c7a2ae77112c86ccc1cc4d832d068622c284cb9bee86b96fe70b361ae
"90008","140001","1","90005","2","4","12","140000","500","94002","10","1","4","2","1","500000","2","32001","5"
"91002","25001","2","94002","1","2","0","140001","200","0","500000","1","4","8","1","0","12","32001","10"
"90008","140001","1","90005","2","4","12","140000","500","94002","5","2","4","2","1","750000","2","32001","15"
"91002","25001","2","94002","1","2","0","140001","300","0","750000","2","4","8","1","0","12","32001","20"
"90008","140001","1","90005","2","4","12","140000","500","94002","5","2","4","2","1","750000","2","32001","25"
"91002","25001","2","94002","1","2","0","140001","500","0","750000","3","4","8","1","0","12","32001","30"
"90008","140001","1","90005","2","4","12","140000","750","94002","5","3","4","2","1","1000000","2","32001","35"
"90008","25001","2","94002","1","2","0","140001","1000","0","1000000","4","4","2","1","0","12","32001","40"
"90008","140001","1","90005","2","4","12","140000","1250","94002","5","4","4","2","1","2000000","2","32001","45"
"90008","25001","2","94002","1","2","0","140001","1500","0","2000000","4","4","2","1","0","12","32001","50"
"90008","140001","1","90005","2","4","12","140000","500","94002","10","1","4","2","1","500000","2","32002","5"
"91002","140001","1","25001","2","4","12","21951","200","94002","1","1","2","8","1","500000","2","32002","10"
"90008","140001","1","90005","2","4","12","140000","700","94002","5","2","4","2","1","750000","2","32002","15"
"91002","25001","2","94002","1","2","0","140001","300","0","750000","2","4","8","1","0","12","32002","20"
"90008","140001","1","90005","2","4","12","140000","700","94002","5","2","4","2","1","750000","2","32002","25"
"91002","25001","2","94002","1","2","0","140001","500","0","750000","3","4","8","1","0","12","32002","30"
"90008","140001","1","90005","2","4","12","140000","1000","94002","5","3","4","2","1","1000000","2","32002","35"
"90008","25001","2","94002","1","2","0","140001","1000","0","1000000","4","4","2","1","0","12","32002","40"
"90008","140001","1","90005","2","4","12","140000","1250","94002","5","4","4","2","1","2000000","2","32002","45"
"90008","25001","2","94002","1","2","0","140001","1500","0","2000000","4","4","2","1","0","12","32002","50"
"90008","140001","1","90005","2","4","12","140000","500","94002","10","1","4","2","1","500000","2","32003","5"
"91002","140001","1","25001","2","4","12","21951","200","94002","1","1","2","8","1","500000","2","32003","10"
"90008","140001","1","90005","2","4","12","140000","700","94002","5","2","4","2","1","750000","2","32003","15"
"91002","25001","2","94002","1","2","0","140001","300","0","750000","2","4","8","1","0","12","32003","20"
"90008","140001","1","90005","2","4","12","140000","700","94002","5","2","4","2","1","750000","2","32003","25"
"91002","25001","2","94002","1","2","0","140001","500","0","750000","3","4","8","1","0","12","32003","30"
"90008","140001","1","90005","2","4","12","140000","1000","94002","5","3","4","2","1","1000000","2","32003","35"
"90008","25001","2","94002","1","2","0","140001","1000","0","1000000","4","4","2","1","0","12","32003","40"
"90008","140001","1","90005","2","4","12","140000","1250","94002","5","4","4","2","1","2000000","2","32003","45"
"90008","25001","2","94002","1","2","0","140001","1500","0","2000000","4","4","2","1","0","12","32003","50"
"90008","140001","1","90005","2","4","12","140000","500","94002","10","1","4","2","1","500000","2","32004","5"
"91002","140001","1","25001","2","4","12","21951","200","94002","1","1","2","8","1","500000","2","32004","10"
"90008","140001","1","90005","2","4","12","140000","700","94002","5","2","4","2","1","750000","2","32004","15"
"91002","25001","2","94002","1","2","0","140001","300","0","750000","2","4","8","1","0","12","32004","20"
"90008","140001","1","90005","2","4","12","140000","700","94002","5","2","4","2","1","750000","2","32004","25"
"91002","25001","2","94002","1","2","0","140001","500","0","750000","3","4","8","1","0","12","32004","30"
"90008","140001","1","90005","2","4","12","140000","1000","94002","5","3","4","2","1","1000000","2","32004","35"
"90008","25001","2","94002","1","2","0","140001","1000","0","1000000","4","4","2","1","0","12","32004","40"
"90008","140001","1","90005","2","4","12","140000","1250","94002","5","4","4","2","1","2000000","2","32004","45"
"90008","25001","2","94002","1","2","0","140001","1500","0","2000000","4","4","2","1","0","12","32004","50"
"90008","140001","1","90005","2","4","12","140000","500","94002","10","1","4","2","1","500000","2","32005","5"
"91002","140001","1","25001","2","4","12","21951","200","94002","1","1","2","8","1","500000","2","32005","10"
"90008","140001","1","90005","2","4","12","140000","700","94002","5","2","4","2","1","750000","2","32005","15"
"91002","25001","2","94002","1","2","0","140001","300","0","750000","2","4","8","1","0","12","32005","20"
"90008","140001","1","90005","2","4","12","140000","700","94002","5","2","4","2","1","750000","2","32005","25"
"91002","25001","2","94002","1","2","0","140001","500","0","750000","3","4","8","1","0","12","32005","30"
"90008","140001","1","90005","2","4","12","140000","1000","94002","5","3","4","2","1","1000000","2","32005","35"
"90008","25001","2","94002","1","2","0","140001","1000","0","1000000","4","4","2","1","0","12","32005","40"
