92f9ba388a6b7b75c05dfc4f5fff12147f813b4a883f3c7926bc84ecc54260a3,2e9a04d9bf8c7a228c534183380f323157773fd4cf82df6c2cab6eb86451579f,8c834b673d09f2172e5907a351415057bfcfcf30a154a471e6dafcb50995a061,e81eb05d7c9314fa4048e7cef35a4a636345b8c58c68e6630d385133fd9c7b00,da9a89633004dd6d8a61343d792da2b87d565282a3c681e7cbde5bfce3b66958,48eb787c6a9d51b6c1292e27d3bff849446734259486fa088ff1647dc06c1d14,919e4183e6f684d44e676cd06fb2e29f66bbc0c67e520c650461eaf1b18606a7,6e35287705a743c0b92d3599ecc60d857cb4bd8d9403114de773cedafb4e94c8
"53001","1","1","100","平凡な未鑑定トレジャー","平凡な\n未鑑定トレジャー","200","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。"
"53002","1","2","200","貴重な未鑑定トレジャー","貴重な\n未鑑定トレジャー","400","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。"
"53003","1","3","400","至高の未鑑定トレジャー","至高の\n未鑑定トレジャー","800","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。"
"53004","0","1","100","平凡なジェムストーン","平凡なジェムストーン","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53005","0","2","200","貴重なジェムストーン","貴重なジェムストーン","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53006","0","3","400","至高のジェムストーン","至高のジェムストーン","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53007","0","1","100","平凡なインゴット","平凡なインゴット","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53008","0","2","200","貴重なインゴット","貴重なインゴット","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53009","0","3","400","至高のインゴット","至高のインゴット","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53010","0","1","100","平凡なスクロール","平凡なスクロール","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53011","0","2","200","貴重なスクロール","貴重なスクロール","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53012","0","3","400","至高のスクロール","至高のスクロール","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53013","0","1","100","平凡なティアラ","平凡なティアラ","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53014","0","2","200","貴重なティアラ","貴重なティアラ","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53015","0","3","400","至高のティアラ","至高のティアラ","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53016","0","1","100","平凡なルーン","平凡なルーン","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53017","0","2","200","貴重なルーン","貴重なルーン","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53018","0","3","400","至高のルーン","至高のルーン","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53019","0","1","100","平凡なクラウン","平凡なクラウン","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53020","0","2","200","貴重なクラウン","貴重なクラウン","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53021","0","3","400","至高のクラウン","至高のクラウン","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
"53022","0","1","100","平凡なアーティファクト","平凡なアーティファクト","200","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。"
"53023","0","2","200","貴重なアーティファクト","貴重なアーティファクト","400","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。"
"53024","0","3","400","至高のアーティファクト","至高のアーティファクト","800","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。"
