a9d397943590442afb65a98219e58543ff4ae4891800abf7a250f7bcf121aa8c,f0651115a4fc467a2c0dafcc37ddb10b8cb2ee18c7577ea1f71f763ed2f50392,2321f04d7cdf0d1ca42281767cc82a50df8dbcd083b0b803de279b10e19a2a87,dcb71ee648d74ce6ef29c1a9bd5885012b1f90549076708e5ba8b6babf6a9784,e7e1599545941461124b4e178114722bc655813226b2aada7c0bb86bb6b7daed,f46ada19a07feba2c7ca013603189eaa0f6673c02f94f3070c2ebb53f39bfbe5,97fa48b580da979a9c321117682aa7006f82e62e9eebc45b034918ba64fbb53e,7da6a6b835c32b8a2532d2969631786814b3725a6f62a0ec7bf255267fefea90,fb20c10dae4daafe89b25deba939f75ca3b0540fa832333a11e68b6ae43a9786,7cbc8fe74a43327ef6eae7327593f9549982f65f87d78d2cebc29787e9b393e8,8079b586d1855598dde580383bbdf3e288e396790f63767ef7819ff3421f6e7e
"0","1","1","53","1","0","empty","0","10101","5","1101010001"
"0","101000","2","56","1","0","empty","0","10101","5","1101010002"
"0","101000","3","70","1","0","empty","0","10101","5","1101010003"
"1","101000","0","0","0","0","","","10101","31","1101010004"
"1","101001","1","0","0","0","","","10101","31","1101010005"
"1","101002","2","0","0","0","","","10101","31","1101010006"
"1","101003","3","0","0","0","","","10101","31","1101010007"
"1","101004","4","0","0","0","","","10101","31","1101010008"
"1","1","10","0","0","0","","","10101","31","1101010009"
"1","3","30","0","0","0","","","10101","31","1101010010"
"","0","0","","","","","","10101","91","1101010011"
"","0","1","","","","","","10101","32","1101010012"
"","10","1","","","","","","10101","32","1101010013"
"","2","getDish_1_in","0","0","","","","10101","3","1101010014"
"","0.2","0","","","","","","10101","93","1101010015"
"","1","getDish","0","0","","","","10101","3","1101010016"
"","2","getDish_1_B","0","0","","","","10101","3","1101010017"
"","3","getDish_1_F","0","0","","","","10101","3","1101010018"
"","1","1","","","","","","10101","32","1101010019"
"","3","1","","","","","","10101","32","1101010020"
"","7.2","0","","","","","","10101","93","1101010021"
"","1101010023","1","","","","","","10101","101","1101010022"
"","2","1","","","","","","10101","35","1101010023"
"","2","1","","","","","","10101","32","1101010024"
"","4","1","","","","","","10101","35","1101010025"
"","4","1","","","","","","10101","32","1101010026"
"","3","0","","","","","","10101","32","1101010027"
"","2.3","0","","","","","","10101","93","1101010028"
"","30","1","","","","","","10101","35","1101010029"
"","30","1","","","","","","10101","32","1101010030"
"","0.2","0","","","","","","10101","93","1101010031"
"0","1","1","1","0","1","","0","10101","6","1101010032"
"0","2","1","1","0","1","","0","10101","6","1101010033"
"0","3","1","1","0","1","","0","10101","6","1101010034"
"","0","0","","","","","","10101","32","1101010035"
"","1","0","","","","","","10101","32","1101010036"
"","2","0","","","","","","10101","32","1101010037"
"","3","0","","","","","","10101","32","1101010038"
"","4","0","","","","","","10101","32","1101010039"
"","10","0","","","","","","10101","32","1101010040"
"","0.3","0","","","","","","10101","93","1101010041"
"0","1","1","1","0.1","1","","0","10101","111","1101010042"
"-325","2","1","50","0.9","-205","empty","0","10201","5","1102010001"
"-325","102000","2","58","0.9","-205","empty","0","10201","5","1102010002"
"-263","100","100","54","0.6","1500","idle_single","0","10201","5","1102010003"
"1","102000","0","0","0","0","","","10201","31","1102010004"
"1","102001","1","1500","0","-263","","","10201","31","1102010005"
"1","102002","2","0","0","0","","","10201","31","1102010006"
"1","102003","3","-132","0","-136","","","10201","31","1102010007"
"1","102004","4","0","0","0","","","10201","31","1102010008"
"1","1","10","0","0","0","","","10201","31","1102010009"
"1","2","20","0","0","0","","","10201","31","1102010010"
"1","3","30","0","0","0","","","10201","31","1102010011"
"","0","0","","","","","","10201","91","1102010012"
"","0","1","","","","","","10201","32","1102010013"
"","10","1","","","","","","10201","32","1102010014"
"","se_caravan","se_caravan_dice_get_intro","0","","","","","10201","23","1102010015"
"","1","getDice_idle","1","0","","","","10201","3","1102010016"
"1","100","run_getDice","0","0","eat_loop","","0","10201","3","1102010017"
"","1","1","","","","","","10201","32","1102010018"
"11","100","344","-263","","2","","","10201","2","1102010019"
"11","1","344","-263","","2","","","10201","33","1102010020"
"","2","1","","","","","","10201","32","1102010021"
"","1.7","0","","","","","","10201","93","1102010022"
"","1","getDice_curious","1","0.2","","","0","10201","3","1102010023"
"","vo_caravan","vo_caravan_event_002_000","0","","0","","","10201","21","1102010024"
"","1.5","0","","","","","","10201","93","1102010025"
"","se_caravan","se_caravan_dice_get_outro_1","0","","","","","10201","23","1102010026"
"","vo_caravan","vo_caravan_event_002_001","0","","0.1","","","10201","21","1102010027"
"","100","spit_in","0","0.1","","","","10201","3","1102010028"
"","2","getDice_1","0","0","","","","10201","3","1102010029"
"","1","getDice_panic_1","0","0.1","","","","10201","3","1102010030"
"","0.5","0","","","","","","10201","93","1102010031"
"1","100","spit_out","0","0","idle_single","","0","10201","3","1102010032"
"","1.4","0","","","","","","10201","93","1102010033"
"1","100","joy_single","0","0.2","idle_single","","0","10201","3","1102010034"
"","0.1","0","","","","","","10201","93","1102010035"
"","3","1","","","","","","10201","32","1102010036"
"","0.5","0","","","","","","10201","93","1102010037"
"","vo_caravan","vo_caravan_event_002_002","0","","0","","","10201","21","1102010038"
"","1.3","0","","","","","","10201","93","1102010039"
"","1102010041","0","","","","","","10201","101","1102010040"
"","4","1","","","","","","10201","35","1102010041"
"","4","1","","","","","","10201","32","1102010042"
"","20","1","","","","","","10201","32","1102010043"
"","1","0","","","","","","10201","32","1102010044"
"","0.4","0","","","","","","10201","93","1102010045"
"","","","","","","","","10201","92","1102010046"
"","30","1","","","","","","10201","35","1102010047"
"","30","1","","","","","","10201","32","1102010048"
"","0.2","0","","","","","","10201","93","1102010049"
"0","1","1","1","0","1","","0","10201","6","1102010050"
"0","2","1","1","0","1","","0","10201","6","1102010051"
"0","100","1","1","0","1","","0","10201","6","1102010052"
"","0","0","","","","","","10201","32","1102010053"
"","2","0","","","","","","10201","32","1102010054"
"","3","0","","","","","","10201","32","1102010055"
"","4","0","","","","","","10201","32","1102010056"
"","10","0","","","","","","10201","32","1102010057"
"","0.3","0","","","","","","10201","93","1102010058"
"-325","2","1","50","0.9","-205","empty","0","10202","5","1102020001"
"-325","102000","2","58","0.9","-205","empty","0","10202","5","1102020002"
"-263","100","100","54","0.6","1500","idle_single","0","10202","5","1102020003"
"1","102000","0","0","0","0","","","10202","31","1102020004"
"1","102001","1","1500","0","-263","","","10202","31","1102020005"
"1","102002","2","0","0","0","","","10202","31","1102020006"
"1","102003","3","-132","0","-136","","","10202","31","1102020007"
"1","102005","4","0","0","0","","","10202","31","1102020008"
"1","1","10","0","0","0","","","10202","31","1102020009"
"1","2","20","0","0","0","","","10202","31","1102020010"
"1","3","30","0","0","0","","","10202","31","1102020011"
"","0","0","","","","","","10202","91","1102020012"
"","0","1","","","","","","10202","32","1102020013"
"","10","1","","","","","","10202","32","1102020014"
