7d8ae972aea49774b3d06a29de410ec4d64e8f987975974bec7b1ab012507eeb,aafd58b91ba13252374ff0106197dc31f8ff593f26ea6f4a81ae4e2871f4db91,bad6fb546f8e283414a2fec7984e77790dbf171b61941b3bed5d5c1939fc392a,4d3d58f600d740bd322fe9d31d4fe868fa84541219583dbf0777b7cebd64e11c,3ba7d6a0eb51723f30a6251cac8bb7f4fe1ce04b289d765d9d9c0a490c4b6d83,b68624d1f95d3e9f579fbeb195ab0efa148a4f06fbaee658742853fa03a90a74,6e72a22f4a01fa3ecb65cd96964a82b4f56367e7500a1fa80f974195ad7ac296,6af8dd4b0c38b2dc87a261307c404c63427437391bb87f83b590402c355dd2fe,5923c52b1b8fe5688974d67d48439bcf044724dce89145e940b465f7a0ce91bf,aed938bd8e2e285a64f1f50856c8583ba7079274ac4b4edf017d0110a551f004,8e804a1e3fa7f4275cbaabd29a1732b4ced369b42035e7ac79a97313c1b65e13,e94240d6cddcab4a426f4e91945321bb96240ed939c04480ef03829672a4dc5b,04f451b58662272daed217a1b78b782c9e4501e337a74c49ab425e30b934f4a2,e56c8cf72cc0dd8487e37ec3244617fe226ba179d849956232969a3ce5561622
"1","100","0","0","0","28001","0","0","2030/08/01 14:59:59","0","31058","105801","2","2020/08/04 12:00:00"
"2","100","0","0","0","28001","0","0","2030/08/01 14:59:59","0","31075","107501","2","2020/08/04 12:00:00"
"3","100","0","0","0","28001","0","0","2030/08/01 14:59:59","0","31804","180401","2","2020/08/04 12:00:00"
"1","100","0","0","0","28002","0","0","2030/08/01 14:59:59","0","31059","105901","2","2020/08/04 12:00:00"
"2","100","0","0","0","28002","0","0","2030/08/01 14:59:59","0","31076","107601","2","2020/08/04 12:00:00"
"3","100","0","0","0","28002","0","0","2030/08/01 14:59:59","0","31119","111901","2","2020/08/04 12:00:00"
"4","100","0","0","0","28002","0","0","2030/08/01 14:59:59","0","31805","180501","2","2020/08/04 12:00:00"
"1","100","0","0","0","28003","0","0","2030/08/01 14:59:59","0","31060","106001","2","2020/08/04 12:00:00"
"2","100","0","0","0","28003","0","0","2030/08/01 14:59:59","0","31078","107801","2","2020/08/04 12:00:00"
"3","100","0","0","0","28003","0","0","2030/08/01 14:59:59","0","31120","112001","2","2020/08/04 12:00:00"
"1","100","0","0","0","28004","0","0","2030/08/01 14:59:59","0","31012","101201","2","2020/09/03 19:00:00"
"2","100","0","0","0","28004","0","0","2030/08/01 14:59:59","0","31134","113401","2","2020/09/03 19:00:00"
"1","100","0","0","0","28005","0","0","2030/08/01 14:59:59","0","31038","103801","2","2020/09/03 19:00:00"
"2","100","0","0","0","28005","0","0","2030/08/01 14:59:59","0","31123","112301","2","2020/09/03 19:00:00"
"1","100","0","0","0","28006","0","0","2030/08/01 14:59:59","0","31071","107101","2","2020/09/03 19:00:00"
"2","100","0","0","0","28006","0","0","2030/08/01 14:59:59","0","31115","111501","2","2020/09/03 19:00:00"
