260f9ce586a98ba6e7d806f4a81e43515dfd1c4183ef95a413e6d39dc5bffb6e,594de8cbcdb12f3b2482ad667f8892dec28e8d035c7cc64079fca669fb05606c,d7a6e2bf459a2e3d21b33fa4a172505671b0089fe4145ba8c145a75db84c0059,d1533a8829e5d86bb28a03a41856e1e95bdaf2fdc35f9b9697aae7df8cb8368c,d6e8338bb9ccf645ba9a88029db5cc824e9e02baba39afd314cbf7ab6e5eab97,238d8a0df6cfe4f33173bb19a04082c1534516b5fa541e667344d05637ae2880,fad8eecac9b5c9640ea6605759c16b6abc935d9392997776e91aafe0d03d0ae9,8fd6703d9c4f37e93f692efd6e841542b489d1284410afc5fc99b1484d4480ce,5683f9b53553b4e3c0947746b069816fa7571d4ecde7f48f172de1930db6899a,07ad5c48314a593b7b95f4d16a352f0144027b80177f5e7fa0c4b152b0ae9be6,5817b26b27c2a752a783f2e228050dfe021c2958d26d786f469f1120172f67f9,5852ec46449443abb61ae4344b2f218f950ffe0d0e9f31d5ae5ce1d59e6241fb,902c0056a9072f492bd569d7f2ee9b9766d0f8d782a9d2e81731e593dc3b34ed,59dc76db0ab2504f968d19f416469ad995c98096146f50179c82777f6dcee7ec,fadb07fccb4dacb683074f13e4dd3b73af555332d09ca69446aa2b1ff7b5614d,f3e3b3160aa6588c2b7f8af09e75d9e320ec607d3443eb0fcc34ae6669da613a,5db6b65bd287eb60103c7c88bf8dbf477b68fd4be6b19c07c0a4e67fa18576c2,7b24788be66b2a02cb5dfa39f8ab285e852551e9c81ddba6427cb53b01434f30,83f21010741770406ea2bd24f1c93da6e716dbc9de335da65b2406a97edeed38,d27905dd806130a982c5c936df2437834c267703905d83e731178392d0bcd9f6,8aeb557e6437c3507807b0c65d4ba845f4f865f4c32b45b69571e53a1897fd75
"1000","NONE","NONE","1800","0","SummerEnemyA","2500","SpeedTerritoryA","0","SummerEnemyC","0","600","NONE","BeachJumpOverTrap","0","NONE","1000","NONE","3100","0","AccelBoardA"
"1001","NONE","NONE","1300","0","SummerEnemyB","2000","WaterMelon","0","SpeedTerritoryA","0","500","NONE","AccelBoardA","0","NONE","800","NONE","3000","0","AccelBoardA"
"1002","NONE","NONE","1300","0","Balloon","1600","EnemyB_NoColl","0","SpeedTerritoryA_NoColl","0","400","NONE","BeachTrap_NoCall","0","NONE","1000","NONE","2000","0","SummerEnemyA_NoColl"
"1003","NONE","NONE","2300","0","BeachJumpOverTrap","3000","BeachJumpOverTrap","0","EnemyB","0","700","NONE","AccelBoardA","0","NONE","1500","NONE","3300","0","AccelBoardA"
"1004","NONE","NONE","1900","0","BeachJumpOverTrap","2700","SpeedTerritoryA","0","BeachJumpOverTrap","0","800","NONE","NONE","0","NONE","1300","NONE","0","0","SummerEnemyA"
"1005","NONE","NONE","2000","0","BeachJumpBoard","2600","AccelBoardA","0","SpeedTerritoryA","0","300","NONE","SummerEnemyB","0","NONE","1500","NONE","3300","0","SummerJumpOverEnemyC"
"1006","NONE","BeachTrap","1800","0","SummerEnemyA","2500","BeachJumpOverTrap","3700","BeachTrap","0","700","NONE","AccelBoardA","0","NONE","1300","NONE","3000","0","BeachTrap"
"1007","NONE","NONE","1800","0","AccelBoardA","2400","SummerEnemyB","0","BeachJumpOverTrap","0","500","NONE","BeachJumpOverTrap","0","NONE","1300","NONE","3100","0","SummerEnemyB"
"1008","NONE","SummerEnemyB","2300","0","AccelBoardA","2700","AccelBoardA","3700","SummerEnemyB","0","500","NONE","BeachJumpOverTrap","0","NONE","1100","NONE","3400","0","BeachJumpBoard"
"1009","NONE","SpeedTerritoryA","2000","0","Balloon","2900","BeachJumpOverTrap","3700","SummerEnemyA_NoColl","0","400","NONE","BeachJumpOverTrap","0","NONE","1000","NONE","3300","0","BeachTrap_NoCall"
"1010","NONE","NONE","2200","0","BeachJumpOverTrap","3000","EnemyB","0","BeachJumpOverTrap","0","400","NONE","BeachJumpOverTrap","0","NONE","1400","NONE","3500","0","SpeedTerritoryA"
"1011","NONE","AccelBoardA","1500","0","SummerEnemyD","2400","BeachJumpOverTrap","3300","BeachJumpBoard","0","400","NONE","SummerEnemyA","0","NONE","900","NONE","2800","0","SpeedTerritoryA"
