e1959af61ecd38b42ee7a552360b65e2685b8cfce92e1e806905702bed7a8a53,e421b03763b926b4b67518021439ed0d4626cb9321429b6f999b244a2506caa3,0e1321edb65354fcfbf4106ad200383d8e545e3f8b2ade022acc8f8e88b1f1af,a52d0d6bf1dad02256799c27f8ad2228ada3d382ca991e4a676e8602d0236bad,1fd3a336ffc40055eac995e9ce49bae7a340ba9dc5d5090c2a4b76913370b2b0,e050d4ea4f1222807975f1102df330df19dce1cd56f9f80ce060d359e47fbd2b,54bd758b0192ab8324076ab1aa67bd6a58fd3b722cbb60031eab1a13c4d7fa2c,81e154d2a079c5dd485dd4a3a8397e809902a7c427293a21fe10add480d25514,b9c13ee663c2b2349b05357c88f81d41bb65c54541f03a66b4f20d4311f87278,5b1c45bc22a0999c4883ae6f9f00ba81bf03f3eedd1f1f928e50cd07c1d13de6,eb92d1b7504333902c0e0ba038b9fa14fe563deabb3c753b3632d3b50f98a0c4,c43e8edb3f4613a8c28264981a828f68af7525a6547ac36ae2fa2c327dddeb1c,c685cd4fa26117652893bf3f70d179efded991385bfd241d90de5d684b593942,65e8dc546fd1ce798b374bf46fe0b7693ef664d0e2a5ef1965bc44cd563c7a0b
"2","1","2023/06/30 12:00:00","1","2023/09/22 14:59:59","1","0","2002","-470","いらっしゃいませっ♪\nキャラバンコインを使って\n買い物ができますよっ！","クローチェ","1.47","126401","10001"
"1","1","2023/06/30 12:00:00","2","2023/09/22 14:59:59","2","0","2002","-470","素敵な品が揃ってるので\nたーっくさん買っていって\nくださいねっ♪","クローチェ","2.15","126401","10002"
"2","1","2023/06/30 12:00:00","1","2023/09/22 14:59:59","2","0","2002","-470","ショップへようこそ\nキャラバンコインはこちら\nで買い物に使えますよ","ライラエル","0","126501","10003"
"1","1","2023/06/30 12:00:00","2","2023/09/22 14:59:59","1","0","2002","-470","こちらのショップで\n買い物をして、素敵な\n旅を楽しんでくださいね","ライラエル","0","126501","10004"
"2","2","2023/09/15 15:00:00","1","2023/12/22 14:59:59","2","0","2002","-470","いらっしゃいませ\nキャラバンコインを使って\nお買い物ができますよ","リンド","0","127702","10005"
"2","2","2023/09/15 15:00:00","2","2023/12/22 14:59:59","2","0","2002","-470","ショップの掃除は完璧です\n姫さま直営のお店として\n当然のことですから","リンド","0","127702","10006"
"1","2","2023/09/15 15:00:00","1","2023/12/22 14:59:59","1","0","2002","-470","ショップへようこそ\nキャラバンコインと品物を\n交換できるんで、よければ","ヴルム","0","127802","10007"
"1","2","2023/09/15 15:00:00","2","2023/12/22 14:59:59","2","0","2002","-470","なんで店番なんか…\nま、やりますけど\n好きな品物をどうぞ","ヴルム","6.5","127802","10008"
"1","3","2023/12/15 15:00:00","1","2024/03/22 14:59:59","2","0","2002","-470","──いらっしゃいませ\n買い物しても、いいですよ\nキャラバンコインがあれば","アネモネ","0","129602","10009"
"1","3","2023/12/15 15:00:00","2","2024/03/22 14:59:59","2","0","2002","-470","──もっと笑顔がほしい？\nいくらコインを積まれても\n売れない物はありますから","アネモネ","0","129602","10010"
"1","3","2023/12/15 15:00:00","1","2024/03/22 14:59:59","1","0","2002","-470","ようこそおいでなんし\nキャラバンコインをこちら\nで交換して進ぜんしょう","ネフィ=ネラ","0","129701","10011"
"1","3","2023/12/15 15:00:00","2","2024/03/22 14:59:59","2","0","2002","-470","ところで、お前さまは\nいくらで贖えるのか喃？\n──フフ、冗談でありんす","ネフィ=ネラ","6.2","129701","10012"
"5","4","2024/03/15 15:00:00","1","2024/06/22 14:59:59","3","0","2002","-470","い、いらっしゃいませっ！\n…くっ…このあたくし様が\n店番なんて…屈辱ですわっ","カノン","3.1","130301","10013"
"2","4","2024/03/15 15:00:00","2","2024/06/22 14:59:59","3","0","2002","-470","あら、あたくしをご所望？\nお生憎様、そんな小銭では\n…買えちゃうんですの！？","カノン","6.15","130301","10014"
"2","4","2024/03/15 15:00:00","1","2024/06/22 14:59:59","2","0","2002","-470","いらっしゃいませ～♪\nきゃらばんこいん？を\n交換できるんだってー","ナーナ","0","130401","10015"
"1","4","2024/03/15 15:00:00","2","2024/06/22 14:59:59","2","0","2002","-470","甘いのくれたら、\nお礼にナーナの拾った\n松ぼっくりあげちゃうよ！","ナーナ","3.35","130401","10016"
"1","5","2024/06/15 15:00:00","1","2024/09/22 14:59:59","1","0","2002","-470","ショップへようこそ\nこの鳳凰が、皆さんに\n祝福を差し上げましょう","ホウオウ","0","130502","10017"
"1","5","2024/06/15 15:00:00","2","2024/09/22 14:59:59","2","0","2002","-470","ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","ホウオウ","3.18","130502","10018"
"4","5","2024/06/15 15:00:00","3","2024/09/22 14:59:59","4","0","2002","-470","うﾞぇぇえんっ！まﾞだごの\n格好になっぢゃいまじだ！\n寄付をお願いじまず～っ！","ホウオウ","0","130503","10019"
"2","5","2024/06/15 15:00:00","1","2024/09/22 14:59:59","1","0","2002","-470","おっすー♪\nなんでも交換してけー\nカリザきゅん以外で","ネア","4.9","123301","10020"
"2","5","2024/06/15 15:00:00","2","2024/09/22 14:59:59","1","0","2002","-470","ところで、騎士きゅんは\nおいくら万ルピ？\nジョーダンぬ・き・で♡","ネア","4.8","123301","10021"
"1","6","2024/09/15 15:00:00","1","2024/12/22 14:59:59","3","0","2002","-470","ケッ、なんでオレ様が店番\nなんざ…って来んなキイロ\nオレは売りモンじゃねー！","カリザ","4.922","133301","10022"
"5","6","2024/09/15 15:00:00","2","2024/12/22 14:59:59","3","0","2002","-470","い、言わなきゃダメか？\n「…いらっしゃいませ…」\nクソッ、笑うんじゃねー！","カリザ","9.638","133301","10023"
"2","6","2024/09/15 15:00:00","1","2024/12/22 14:59:59","1","0","2002","-470","ショップへようこそ～\nネラさまの腹心…的な私が\n店番させていただきま～す","ミーア","2.88","133401","10024"
"1","6","2024/09/15 15:00:00","2","2024/12/22 14:59:59","5","0","2002","-470","私の抜け殻とか、\n需要ありますかね～…\nって冗談ですよ、冗談！","ミーア","4.818","133401","10025"
"1","7","2024/12/15 15:00:00","1","2025/03/22 14:59:59","2","0","2002","-470","へい、らっしゃい\nさ、騎士氏。冥土の土産は\nなにがいいですか？","グレイス","1.78","133002","10026"
"7","7","2024/12/15 15:00:00","2","2025/03/22 14:59:59","1","0","2002","-470","商品をお買い上げ毎に\nグレイスちゃんポイントを\n差し上げます。嘘ですが","グレイス","6.15","133002","10027"
"2","7","2024/12/15 15:00:00","1","2025/03/22 14:59:59","6","0","2002","-470","ようこそいらっしゃいませ\n…接客とは、このような\n振舞で宜しいでしょうか？","ヴァイオレット","4.28","133102","10028"
"1","7","2024/12/15 15:00:00","2","2025/03/22 14:59:59","1","0","2002","-470","じめじめした商品は\nございませんので\n安心してお買い求め下さい","ヴァイオレット","0","133102","10029"
