2eba3cf4e1d82cad2a3d54b69acad84e1f5df8d608a7d2ec4ed24f21f8c08df9,1baec1c48b1097b3a03f98366675bbce2ce4353bbd79c88466b470b21063a2d0,654eed7aa1eb168ddb77a82ba27e79ea25a38380a6c8a89c68339d8061a6b4b4,bda7db18b35329f07a3721111b7cef70b25bcfc27258ebb38f77b2bbd7650cf3,04d91d06590f5803f378f0ab236267b891ba6961c97a20bdf4a1b3178d0501a4,47d02c418ce502c23054faf911c14c68e3cda7a75c7fd507e8e783f664a7474f,9385b44ea01866ab72af66fef9eddaaa93df2b844618e66962dd9213aeb10809
"1","2023/12/31 23:59:59","2020-08-04 12:00:00","0","アニメ プリンセスコネクト！Re:Dive 1 封入特典","10101","101"
"1","2023/12/31 23:59:59","2020-09-03 19:00:00","0","アニメ プリンセスコネクト！Re:Dive 2 封入特典","10102","101"
"1","2023/12/31 23:59:59","2020-10-01 17:00:00","0","アニメ プリンセスコネクト！Re:Dive 3 封入特典","10103","101"
"1","2023/12/31 23:59:59","2020-11-05 12:00:00","0","アニメ プリンセスコネクト！Re:Dive 4 封入特典","10104","101"
"1","2026/12/31 23:59:59","2022-03-21 00:00:00","0","アニメ プリコネ！Re:Dive Season2 1巻 購入特典","10201","102"
"1","2026/12/31 23:59:59","2022-04-18 00:00:00","0","アニメ プリコネ！Re:Dive Season2 2巻 購入特典","10202","102"
"1","2026/12/31 23:59:59","2022-05-16 00:00:00","0","アニメ プリコネ！Re:Dive Season2 3巻 購入特典","10203","102"
"1","2022/05/19 23:59:59","2021-05-19 00:00:00","0","週刊ファミ通6月3日号（5月20日発売） 封入特典","20101","201"
"1","2030/07/30 23:59:59","2021-07-30 00:00:00","0","公式アートワークス Vol.3 発売記念アイテム","20201","202"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20301","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20302","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20303","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20304","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20305","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20306","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20307","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20308","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20309","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20310","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20311","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20312","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20313","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20314","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20315","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20316","203"
"3","2024/01/31 23:59:59","2023-01-15 15:00:00","1","プリコネフェス2023　リアルガチャ","20317","203"
"1","2025/02/13 23:59:59","2024-02-14 00:00:00","0","キャラクターソングアルバムVol.5 購入特典","20401","204"
"1","2025/02/13 23:59:59","2024-02-14 00:00:00","0","サウンドトラックVol.6 購入特典","20501","205"
"0","2030/12/31 23:59:59","2024-11-29 12:00:00","0","佐賀市ふるさと納税返礼品","20601","206"
"0","2030/12/31 23:59:59","2024-11-29 12:00:00","0","佐賀市ふるさと納税返礼品","20602","206"
"0","2030/12/31 23:59:59","2024-11-29 12:00:00","0","佐賀市ふるさと納税返礼品","20603","206"
"1","2026/02/11 23:59:59","2025-02-10 12:00:00","0","キャラクターソングアルバムVol.6 購入特典","20701","207"
"0","2030/12/31 23:59:59","2025-08-12 12:00:00","0","佐賀市ふるさと納税返礼品 第2弾","20801","208"
"0","2030/12/31 23:59:59","2025-08-12 12:00:00","0","佐賀市ふるさと納税返礼品 第2弾","20802","208"
"0","2030/12/31 23:59:59","2025-08-12 12:00:00","0","佐賀市ふるさと納税返礼品 第2弾","20803","208"
"1","2030/12/31 23:59:59","2026-01-29 12:00:00","0","Shadowverse EVOLVE 特典シリアルコードA","20901","209"
"1","2030/12/31 23:59:59","2026-01-29 12:00:00","0","Shadowverse EVOLVE 特典シリアルコードB","20902","209"
"1","2030/12/31 23:59:59","2026-01-29 12:00:00","0","Shadowverse EVOLVE 特典シリアルコードC","20903","209"
