50afcb2f0068946f940104b102221bae583d9fbf19340a2752f9ba305cea9986,be36803e70d323d6ae8ffb714ba1ef084e83c211d772b39cbe1f5459a779d892,45591fd81848f060d0a4bc4eed994616093d50bbd7df82813b3c3e6d864f1ff8,10b0706b4d3f34176c31f0388cf55c794cba8b3a28a02a4d77bd9fcfcc26b418
"1.6","938","100101","-354"
"1.6","952","100201","-499"
"1.6","1014","100301","-523"
"1.6","894","100401","-488"
"1.6","980","100601","-628"
"1.6","983","100701","-573"
"1.6","1019","100801","-544"
"1.6","985","100901","-510"
"1.6","1115","101001","-660"
"1.6","1128","101101","-415"
"1.6","1042","101201","-589"
"1.6","1050","101601","-501"
"1.6","1038","101701","-598"
"1.6","985","101801","-356"
"1.6","1114","102001","-494"
"1.6","1003","102101","-392"
"1.6","1057","102201","-407"
"1.6","997","102501","-388"
"1.6","1090","102701","-490"
"1.6","987","102801","-554"
"1.6","976","102901","-526"
"1.6","994","103001","-879"
"1.6","1056","103101","-560"
"1.6","1018","103301","-453"
"1.6","1017","103401","-345"
"1.6","961","103801","-674"
"1.6","1095","104001","-499"
"1.6","955","104201","-521"
"1.6","1079","104301","-581"
"1.6","980","104501","-538"
"1.6","954","104601","-364"
"1.6","1107","104801","-777"
"1.6","973","104901","-795"
"1.6","1122","105001","-492"
"1.6","1035","105201","-607"
"1.6","885","105301","-490"
