3dd17151be69cef763b577905dd14e1e375640a4a6532828ec64cb582f2e74f8,0d2d3df5300f4b0be0d1f66d5cb0a06f72531ed8094d9ea14b4b129a7f63c5fa,cb835e91fb44e492369cdfe7400fe83898225730c656ffef07638e413c098949,62464e4483b39b78010e8d3f3b06b6c5e40017ae12cc77249d86e208ad6b7ab6,46ffb8f338c24cd77abca9b718e282d975fc3daebe2d49b6171ea764bc1d4edf
"70","1","bgm_M125","81000104","0"
"110","2","bgm_M125","81000104","0"
"130","3","bgm_M125","81000104","0"
"150","4","bgm_M125","81000104","0"
"170","5","bgm_M125","81000104","0"
"190","6","bgm_M125","81000104","0"
"210","7","bgm_M125","81000104","0"
"230","8","bgm_M125","81000104","0"
"250","9","bgm_M125","81000104","0"
"270","10","bgm_M125","81000104","0"
"290","11","bgm_M125","81000104","0"
"310","12","bgm_M125","81000104","0"
"330","13","bgm_M125","81000104","0"
"350","14","bgm_M125","81000104","73140350"
"360","15","bgm_M125","81000104","73150360"
"370","16","bgm_M125","81000104","73160370"
"380","17","bgm_M125","81000104","73170380"
"390","18","bgm_M125","81000104","73180390"
"400","19","bgm_M125","81000104","73190400"
"410","20","bgm_M125","81000104","73200410"
"420","21","bgm_M125","81000104","73210420"
"430","22","bgm_M125","81000104","73220430"
"440","23","bgm_M125","81000104","73230440"
"450","24","bgm_M125","81000104","73240450"
"460","25","bgm_M125","81000104","73250460"
"470","26","bgm_M125","81000104","73260470"
"480","27","bgm_M125","81000104","73270480"
"490","28","bgm_M125","81000104","73280490"
"500","29","bgm_M125","81000104","73290500"
"510","30","bgm_M125","81000104","73300510"
"520","31","bgm_M125","81000104","73310520"
"530","32","bgm_M125","81000104","73320530"
"540","33","bgm_M125","81000104","73330540"
"550","34","bgm_M125","81000104","73340550"
"560","35","bgm_M125","81000104","73350560"
"570","36","bgm_M125","81000104","73360570"
"580","37","bgm_M125","81000104","73370580"
"590","38","bgm_M125","81000104","73380590"
"600","39","bgm_M125","81000104","73390600"
"610","40","bgm_M125","81000104","73400610"
"620","41","bgm_M125","81000104","73410620"
"630","42","bgm_M125","81000104","73420630"
"640","43","bgm_M125","81000104","73430640"
"650","44","bgm_M125","81000104","73440650"
"660","45","bgm_M125","81000104","73450660"
"670","46","bgm_M125","81000104","73460670"
"680","47","bgm_M125","81000104","73470680"
"690","48","bgm_M125","81000104","73480690"
"700","49","bgm_M125","81000104","73490700"
"710","50","bgm_M125","81000104","73500710"
"720","51","bgm_M125","81000104","73510720"
"730","52","bgm_M125","81000104","73520730"
"740","53","bgm_M125","81000104","73530740"
"750","54","bgm_M125","81000104","73540750"
"760","55","bgm_M125","81000104","73550760"
