cb0c1a46416d84a18b0c0dfe9e5729097c6e1d03d10839224020e1c15763be28,af8b07e526b8a1bb52ae79836e8e7a3ae5fe3f6b36bc91d023c8b02c7f843531,3cfe7425471655419a4bd0e93e9cbc68c2072989d8e253cb8c641b8961781702,44ec9add8b8515e1d96ab7cebfff28e1124a74ea5556d9f9930cac7a6e5615be,d3ff295d39dece79919ba14e0043224594c085d00d90061c5b3f1cc976c4ca81,958d86bfd9de2aec4ff620a3b758c1dcf679826dbf949a04b770261cdb5caaff,0d9685c66191307d91e42b53660d0ee7da1a1c2b809bc61d4cade83889da9016,5217d310822904ecb4c9c5295a1521f68c4a1ede4a0003a84e068132936f8242,d7657bbd0b7bd23112faaaeebe834c4b9e6dd9fba6fb3e99307bc10e72e0e3d7,f890eca3195ff860bd8f9d9e3e9a2bf42e8e05292c0ee2aff5382b2b57828a1d,8a41c205bcc098c370fc62fb62120d44c99ba2e7edbf56e13068d21852997863,11a1df35859282668c9fb59a5faede776d8993fb8dd24449b2496bfa27d9f06c,14bdc45896753e1f0582136d5823700b9b7de2a6964edacc6747b616d662f0ce,fbf48c5707bdb8c3bc62582c121f874b95dc1daaa738df86ec2671e3d185e2d3,95ba0abdbfe47b04daeb24b89b24084b08a317a3a7c7ce6e222e898d0085b7f1
"3200101","1","1st Round Clear！","2030/04/01 14:59:59","1004110","0","32001001","スペシャルダンジョンを1回登頂しよう","0","1","80001","32001","2015/04/01 15:00:00","603","0"
"3200102","2","2nd Round Clear！","2030/04/01 14:59:59","1004110","0","32001002","スペシャルダンジョンを2回登頂しよう","0","1","80001","32001","2015/04/01 15:00:00","603","0"
"3200103","3","3rd Round Clear！","2030/04/01 14:59:59","1004110","0","32001003","スペシャルダンジョンを3回登頂しよう","0","1","80001","32001","2015/04/01 15:00:00","603","0"
"3200104","4","4th Round Clear！","2030/04/01 14:59:59","1004110","0","32001004","スペシャルダンジョンを4回登頂しよう","0","1","80001","32001","2015/04/01 15:00:00","603","0"
"3200105","5","CONQUEST！","2030/04/01 14:59:59","1004110","0","32001005","スペシャルダンジョンを5回登頂しよう","0","1","80001","32001","2015/04/01 15:00:00","603","0"
"3200201","1","1st Round Clear！","2030/04/01 14:59:59","1004110","0","32001001","スペシャルダンジョンを1回登頂しよう","0","1","80001","32002","2015/04/01 15:00:00","603","0"
"3200202","2","2nd Round Clear！","2030/04/01 14:59:59","1004110","0","32001002","スペシャルダンジョンを2回登頂しよう","0","1","80001","32002","2015/04/01 15:00:00","603","0"
"3200203","3","3rd Round Clear！","2030/04/01 14:59:59","1004110","0","32001003","スペシャルダンジョンを3回登頂しよう","0","1","80001","32002","2015/04/01 15:00:00","603","0"
"3200204","4","4th Round Clear！","2030/04/01 14:59:59","1004110","0","32001004","スペシャルダンジョンを4回登頂しよう","0","1","80001","32002","2015/04/01 15:00:00","603","0"
"3200205","5","CONQUEST！","2030/04/01 14:59:59","1004110","0","32001005","スペシャルダンジョンを5回登頂しよう","0","1","80001","32002","2015/04/01 15:00:00","603","0"
