e5245ac1ddef0b0518aa2a88ea8d1120128461ec34815a45e0143cc895b54399,cc1552595f7995daa4c73ad3ef111a4f3753118536d279b8d607744eb8d52000,20f527d76b95e0fbdade818ae2d635d41a66f88d4a032a596f7763de24e669c4,8667f3c75b23bac9c91474b0866acbb105a96e8344baf7037560a6bb5a4eaade,316230ec6c54e669fee656696bd3357ca92329a0381127072293d289686c9a36,56d1f9e10d12acd3573c97ac05e452f6386822141f940d3d21a71edc995edf41,6b75258b3d32c0842d232e66340fc2c3df446905a019f28ff35813108ef0b8cc,1c0d4ab46a7e2297eadb4581e69ac53643c890360a5c826c1928e91b686975eb,176329ee0118d3e1ae84efc6e6910e2a32f9164fdf8f0c0694504e8922e14898,9d88fb6d26c81c8fa76be5a0872d8bfc5d710e9f839aad22fafd2a5736083c33,0aae839ddad5789627ad95c56680b22189118fb316820af6ec646e82eb058850,f92b14681da385bafa4828be792c25a9fba393943bebab741f6d81d9d9a63509,dff91d43acfdd3c1790e63be43ea7c85575de2bb539cebc69536529d2c9c6fc3
"0","0","1","0","0","0","10010001","57","0","0","0","1","10010484"
"1","0","1","0","0","10010674","10010099","59","0","0","0","2","10010100"
"10001","0","1","0","0","10010099","10010100","58","0","0","0","11","10010101"
"0","0","1","0","0","10010100","10010101","57","0","0","0","12","10010102"
"1","0","1","0","0","10010101","10010102","56","0","0","0","2","10010103"
"2","0","1","0","0","10010102","10010103","55","0","0","0","2","10010104"
"0","0","1","0","0","10010103","10010104","54","0","0","0","4","10010105"
"1","0","1","0","0","10010104","10010105","53","0","0","0","3","10010106"
"0","0","1","0","0","10010105","10010106","52","0","0","0","12","10010107"
"0","0","1","0","0","10010106","10010107","51","0","0","0","5","10010559"
"2","0","1","0","0","10010560","10010110","48","0","0","0","2","10010111"
"0","0","1","0","0","10010110","10010111","47","0","0","0","6","10010561"
"3","0","1","0","0","10010561","10010113","45","0","0","0","2","10010114"
"10001","0","1","0","0","10010113","10010114","44","0","0","0","11","10010562"
"0","0","1","0","0","10010562","10010116","42","0","0","0","4","10010117"
"0","0","1","0","0","10010116","10010117","41","0","0","0","6","10010118"
"3","0","1","0","0","10010117","10010118","40","0","0","0","3","10010563"
"10001","0","1","0","0","10010559","10010119","49","0","0","0","11","10010120"
"0","0","1","0","0","10010119","10010120","48","0","0","0","4","10010121"
"3","0","1","0","0","10010120","10010121","47","0","0","0","2","10010565"
"2","0","1","0","0","10010565","10010123","45","0","0","0","2","10010566"
"10003","0","1","0","0","10010566","10010125","43","0","0","0","7","10010126"
"0","0","1","0","0","10010125","10010126","42","0","0","0","4","10010127"
"10001","0","1","0","0","10010126","10010127","41","0","0","0","7","10010128"
"2","0","1","0","0","10010127","10010128","40","0","0","0","2","10010563"
"10001","0","1","0","0","10010563","10010130","38","0","0","0","7","10010131"
"0","0","1","0","0","10010130","10010131","37","0","0","0","6","10010132"
