01a1a6f01c9b8ced8df5c5d9c1bd4d7fb6d809674ed51f8d5a741d7454530c81,1cf4b508ebc52ba6511cbdf9f8c307f21f668cf6d48e885b6d83631899fd360b,f24c0900fb89fe5efed4ec742c30f27ef914659ad3308deb54c3c53294c94201,b9a29537be14db7c5b35c6c17e04a258d781805481782b59a2435e9c55bb6432,2c35178dadd06802d6042cbea365c6c547445cf545863674ab77b2b978688956,5c1ee0f0c000a31f6e46a40f32c7983ae71872129314caa2a3b432fd45e02922,73aee4bea5f63e4745bcc6f623e515dbabc427266250e77332bdeb9a61b2f586,c4b4d77803965a40954bf73d8b59e7f02fb8656accc33a8ac115219182ed16e7,4613a8eafd5b79cb49387a81f710db752e8f622cfbb82e7abc7135020bfdeb72
"0","0","21","600","0","1101002","0","0","1101001"
"0","0","22","2400","0","1101003","600","0","1101002"
"0","0","20","1","0","1","-1500","50","1101003"
"0","0","21","900","0","1101012","0","0","1101011"
"0","0","22","2100","0","1101013","700","0","1101012"
"0","0","20","1","0","1","-1500","200","1101013"
"0","0","21","400","0","1101022","0","0","1101021"
"0","0","22","2000","0","1101023","500","0","1101022"
"0","0","20","1","0","1","-1500","350","1101023"
"0","0","21","1000","0","1101032","0","0","1101031"
"0","0","22","1800","0","1101033","900","0","1101032"
"0","0","20","1","0","1","-1500","500","1101033"
"0","0","21","500","0","1101042","0","0","1101041"
"0","0","22","1600","0","1101043","800","0","1101042"
"0","0","20","1","0","1","-1500","750","1101043"
"0","0","1","1","2","25","2","2","1101101"
"0","0","20","1","0","1","-2000","-100","1102001"
"0","0","1","1","2","20","2","10","1102101"
"0","0","10","2","2","200000","0","0","1102102"
"0","0","21","500","0","1103002","0","0","1103001"
"0","0","3","0","2","1000","0","0","1103002"
"0","0","2","3","2","-15","3000","0","1202001"
"0","0","2","3","1","15","30000","0","1204001"
"0","0","2","3","1","10","30000","0","1205001"
"0","0","2","3","1","10","30000","0","1206001"
"0","0","2","3","1","10","30000","0","1207001"
"0","0","2","2","1","15","3000","0","1208001"
"0","0","2","1","1","25","3000","0","1209001"
"0","0","2","2","1","10","3000","0","1210001"
"0","0","21","3000","0","1210003","0","0","1210002"
"0","0","2","1","1","15","30000","0","1210003"
"0","0","2","2","1","-10","3000","0","1211001"
"0","0","21","3000","0","1211003","0","0","1211002"
"0","0","2","1","2","-15","30000","0","1211003"
"0","0","2","1","2","-10","30000","0","1213001"
"0","0","2","2","2","-10","30000","0","1213002"
"0","0","2","3","2","-25","1500","0","1214001"
"0","0","2","3","2","-20","3000","0","1216001"
"0","0","2","3","1","20","30000","0","1218001"
"0","0","2","3","1","15","30000","0","1219001"
"0","0","2","3","1","15","30000","0","1220001"
"0","0","2","3","1","15","30000","0","1221001"
"0","0","2","2","1","20","3000","0","1222001"
"0","0","2","1","1","30","3000","0","1223001"
"0","0","2","2","1","15","3000","0","1224001"
"0","0","21","3000","0","1224003","0","0","1224002"
"0","0","2","1","1","20","30000","0","1224003"
"0","0","2","2","1","-10","3000","0","1225001"
"0","0","21","3000","0","1225003","0","0","1225002"
"0","0","2","1","2","-20","30000","0","1225003"
"0","0","2","1","2","-15","30000","0","1227001"
"0","0","2","2","2","-15","30000","0","1227002"
"0","0","2","3","2","-35","1500","0","1228001"
"0","0","2","3","1","20","30000","0","1229001"
"0","0","2","2","1","20","3000","0","1230001"
"0","0","21","3000","0","1230003","0","0","1230002"
"0","0","2","1","1","50","30000","0","1230003"
"0","0","2","3","2","-25","3000","0","1232001"
"0","0","2","3","1","25","30000","0","1234001"
"0","0","2","3","1","20","30000","0","1235001"
"0","0","2","3","1","20","30000","0","1236001"
"0","0","2","3","1","20","30000","0","1237001"
"0","0","2","2","1","25","3000","0","1238001"
"0","0","2","1","1","35","3000","0","1239001"
"0","0","2","2","1","20","3000","0","1240001"
"0","0","21","3000","0","1240003","0","0","1240002"
"0","0","2","1","1","25","30000","0","1240003"
"0","0","2","2","1","-10","3000","0","1241001"
"0","0","21","3000","0","1241003","0","0","1241002"
"0","0","2","1","2","-25","30000","0","1241003"
"0","0","2","1","2","-20","30000","0","1242001"
"0","0","2","2","2","-20","30000","0","1242002"
"0","0","2","3","2","-75","1500","0","1244001"
"0","0","2","3","1","20","30000","0","1246001"
"0","0","2","3","1","30","30000","0","1247001"
"0","0","21","3000","0","1247003","0","0","1247002"
"0","0","2","1","1","25","3000","0","1247003"
"0","0","2","1","1","75","3000","0","1248001"
"0","0","2","3","2","-90","1500","0","1249001"
"0","0","2","2","1","10","30000","0","2101001"
"0","0","2","2","1","10","30000","0","2102001"
"0","0","2","2","2","-15","3000","0","2103001"
"0","0","2","3","2","-15","3000","0","2103002"
"0","0","2","3","2","-25","3000","0","2105001"
"0","0","2","3","1","25","30000","0","2107001"
"0","0","2","3","1","10","30000","0","2108001"
"0","0","2","3","1","10","30000","0","2109001"
"0","0","2","3","1","10","30000","0","2110001"
"0","0","2","2","1","15","3000","0","2111001"
"0","0","2","1","1","25","3000","0","2112001"
"0","0","2","2","1","10","3000","0","2113001"
"0","0","21","3000","0","2113003","0","0","2113002"
"0","0","2","1","1","25","30000","0","2113003"
"0","0","2","2","1","-10","3000","0","2114001"
"0","0","21","3000","1","2114003","0","0","2114002"
"0","0","2","1","2","-25","30000","0","2114003"
"0","0","2","1","2","-10","30000","0","2116001"
"0","0","2","2","2","-10","30000","0","2116002"
"0","0","2","3","2","-50","1500","0","2117001"
"0","0","21","300","0","3301002","0","0","3301001"
"0","0","20","2","0","1","30","20","3301002"
"0","0","1","1","2","0","1","100","3301101"
"0","0","1","1","2","0","1","40","3302001"
"0","0","1","1","2","0","1","60","3302002"
"0","0","1","1","2","0","1","12","3303001"
"0","0","1","1","2","0","1","28","3303002"
"0","0","1","1","2","0","1","40","3304001"
"0","0","1","1","2","0","1","100","3304002"
"0","0","21","200","0","3305011","0","0","3305001"
"0","0","21","200","0","3305012","0","0","3305002"
"0","0","21","200","0","3305013","0","0","3305003"
"0","0","21","200","0","3305014","0","0","3305004"
"0","0","21","200","0","3305015","0","0","3305005"
"0","0","21","200","0","3305016","0","0","3305006"
"0","30","20","2","0","1","26","15","3305011"
"0","15","20","2","0","1","29","8","3305012"
"0","0","20","2","0","1","30","0","3305013"
"0","-15","20","2","0","1","29","-8","3305014"
"0","-30","20","2","0","1","26","-15","3305015"
"0","0","10","1","1","30000","180","0","3305016"
"0","0","1","1","2","0","1","20","3305101"
"0","0","20","2","0","1","274","29","3402001"
"0","0","11","2000","3","500000","0","0","3402101"
"0","0","21","200","0","3403002","0","0","3403001"
"0","0","10","1","1","200000","0","0","3403002"
"0","0","4","0","3","0","0","0","4001001"
"0","0","1","0","3","99999","0","0","4001002"
"9","9","1","9","3","99999","9","9","4002001"
