c3bd7d4b98f4cec02c28543e985a476f4d8c80fa1e8eb05cfd718333ae7f519a,69814c594a20dc9dfe2abe84d68a99cc282dcdd61b844728cf1aa4a52ca6e81f,311e46fcfc1334486c8b8f0ece14616e6851f352319c9331e2f7f2e8b8d1f971,976f7be9d4a198b6cf641f2c6889fcdd98e1f774a82728d2c99f887a032c79d9,f244f2f5944b2075f4b9f9e6c4e3578407b1e70c46077647d8f47f0d5975a61b,daf7f01087dbef5e1c1d5bea82bced5c82d5b6c5f9610d78973f8e408d144120,e69e802fe435012ad644925135093410976feb05798fead018da4c2c614edee7,e11fb602c9a4fe8b93b716553aea683fa7b22ac4eb8a392cda56bedf1cf99f10,3fffd495f5fd0066acc75a48858c82b4083ae032c0438b9f4c437a58bbd4ee6b,7ab51119ad1a3e750b7d76d5aef039bc3b49774dae3990dfad52c6fb6939ee8a,8ba946c7dc10d50cd4b55458866010b7f5488f477c2cb98c04b52fc734ffb8ea
"-230","100","cgg_idle_normal","160","5","1","1","101","-420","0","101001"
"-230","100","cgg_idle_def","1.6","1","105811","1","101","375","1","101002"
"-230","101","cgg_idle_def","1.6","1","106011","1","101","490","1","101003"
"1","1","","0.1","6","1","1","101","1","0","101004"
"1","1","","0.1","6","1","105811","101","1","0","101005"
"1","1","","0.1","6","1","106011","101","1","0","101006"
"","","","","93","0","0.2","101","","","101007"
"","0","","","21","vo_minigame_1007_top_talk_1_001","vo_minigame_1007","101","0","","101008"
"0","7","0","0","11","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","105811","101","0","0","101009"
"","1","","0.2","3","cgg_idle_surprise1","1","101","","","101010"
"1","0","","0.2","3","cgg_surprise_kira","105811","101","cgg_talk_surprise_kira","0","101011"
"","","","","93","0","2.1","101","","","101012"
"","1","","0.2","3","cgg_idle_surprise3","1","101","","","101013"
"","1","","0.2","3","cgg_talk_joy1","105811","101","","","101014"
"","","","","91","","101009","101","","","101015"
"","1","","0.2","3","cgg_idle_def","105811","101","","","101016"
"","0","","","21","vo_minigame_1007_top_talk_1_002","vo_minigame_1007","101","0","","101017"
"0","6","0","0","11","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","106011","101","0","0","101018"
"","1","","0.2","3","cgg_idle_reaction1","1","101","","","101019"
"","1","","0.2","3","cgg_talk_surprise1","106011","101","","","101020"
"","","","","93","0","2.1","101","","","101021"
"","1","","0.2","3","cgg_idle_nod","1","101","","","101022"
"","1","","0.2","3","cgg_talk_bitter","106011","101","","","101023"
"","","","","91","","101018","101","","","101024"
"","","","","93","0","0.5","101","","","101025"
"","1","","0.2","3","cgg_idle_normal","1","101","","","101026"
"","1","","0.2","3","cgg_idle_def","106011","101","","","101027"
"","1","","0.2","3","cgg_idle_joy2","105811","101","","","101028"
"","1.4","","0.2","12","10","105811","101","","","101029"
"","","","","93","0","3","101","","","101030"
"","1","","0.2","3","cgg_idle_def","105811","101","","","101031"
"","1","","0.2","3","cgg_talk_surprise_dere","106011","101","","","101032"
"","1.4","","0.2","12","8","106011","101","","","101033"
"","","","","93","0","3","101","","","101034"
"","1","","0.2","3","cgg_idle_def","106011","101","","","101035"
"1","0","","0.2","3","cgg_surprise1","1","101","cgg_idle_surprise1","0","101036"
"","1.4","","0.2","12","4","1","101","","","101037"
"","","","","93","0","3","101","","","101038"
"","","","","101","0","101026","101","","","101039"
"","","","","22","0.5","0","101","","","101040"
"0","1","","0.1","6","1","1","101","1","0","101041"
"0","1","","0.1","6","1","105811","101","1","0","101042"
"0","1","","0.1","6","1","106011","101","1","0","101043"
"","","","","93","0","0.1","101","","","101044"
"","1","","0","3","cgg_idle_normal","1","101","","","101045"
"","1","","0","3","cgg_idle_def","105811","101","","","101046"
"","1","","0","3","cgg_idle_def","106011","101","","","101047"
