0b51acecb62639b5431f9344d78a94a42d19ee4dd3c89f9b7ff39eb7bd5562c0,bf523e17b4824a2423ad2bf42025babe509e324733ee2312f06512b97c272f2e,98e9e4a8564e9b55d1419a19a3e0625941e247fd79e6fe44d5a1f268e70dce1b,ce86e7dbc3d088a7c225b4913833066c99343aacb34f3a11c74839f833fe7c4c,e969b2dfe7b570817dbeb2c59d907dbe137b20293ab26a52b8113254c83f6118
"1025","1037","1048","1045","1"
"1003","1062","1004","1006","2"
"1003","1029","1007","1006","3"
"1047","1025","1045","1062","4"
"1043","1003","1013","1022","5"
"1006","1048","1004","1019","6"
"1062","1037","1033","1003","7"
"1056","1050","1053","1059","8"
"1001","1030","1011","1034","9"
"1063","1046","1023","1026","10"
"1020","1014","1038","1044","11"
"1017","1008","1049","1040","12"
"1023","1017","1044","1020","13"
"1017","1001","1038","1020","14"
"1030","1036","1048","1008","15"
"1044","1004","1038","1011","16"
"1043","1005","1011","1022","17"
"1046","1042","1016","1047","18"
"1014","1041","1028","1063","19"
"1052","1061","1055","1058","20"
"1025","1031","1001","1024","21"
"1024","1064","1063","1005","22"
"1040","1066","1000","1044","23"
"1000","1076","1038","1010","24"
"1003","1077","1019","1043","25"
"1070","1071","1069","1068","26"
"1092","1089","1091","1090","27"
"1098","1097","1100","1099","28"
"1102","1101","1104","1103","29"
"1106","1105","1108","1107","30"
"1012","1083","1006","1021","31"
"1087","1086","1085","1084","32"
"1094","1093","1095","1096","33"
