25d0c7a081b4d0d54f1712a79adfc3026b8bdad1076d53865551b7248d9ae192,67fca1293df81807a038c8f38b7ec6f0d69193898ad955568a8e7b92564441e6,76a2997895b90669cedf6eff6153aa1602779782f3924621299e4f914eff8955,057cf063ddfa7507c631340bab18571b17a2de639479c0c4dfd18a556550cec6,b24316411986fec87d805907304ccd9b2b163796f7c2f36c0868bd7efc70bc24,b9a5cb4076882aa0f08e1eff506d7439b3e8fa0b574bb68c217d0ffe07d8ce98,778e4a46635d8f7fead0195ac48a4ad9fd40fb7be6f6c8e9de3553516bdc5c64,119ecdc2854a6ef3bf28163a3497775a78851bd0a032bb37f9055e17a1a30b04,a7ecc8d41cfb3b45b27869513a25fbf95b6ec623ad5ed2ddc9c668ecb7808d1f,ea2e83361a45c938f29b52450965569756a7e0254409ab1b35ebc7b87bad15d7,2be1a538c91c3df04b644395d7a5bb5248cefd2348e5b8dda97a97793b3d9e19,81a1dfd7fe9f6fd07ad2ef8d30924f4df22ba6fb613fa7bc2cbf44d6c6233182
"31","1","23","0","0","0","0","0.025","288","0.05","27","0"
"30","2","22","0","0","0","0","0.025","279","0.05","26","0"
"29","3","21","0","0","0","0","0.025","270","0.05","25","0"
"28","4","20","0","0","0","0","0.025","261","0.05","24","0"
"27","5","19","0","0","0","0","0.025","252","0.05","23","0"
"26","6","18","0","0","0","0","0.025","243","0.05","22","0"
"25","7","17","0","0","0","0","0.025","234","0.05","21","0"
"24","8","16","0","0","0","0","0.025","225","0.05","20","0"
"23","9","15","0","0","0","0","0.025","216","0.05","19","0"
"22","10","14","0","0","0","0","0.025","207","0.05","18","0"
"21","11","13","0","0","0","0","0.025","198","0.05","17","0"
"20","12","12","0","0","0","0","0.025","189","0.05","16","0"
"19","13","11","0","0","0","0","0.025","180","0.05","15","0"
"18","14","10","0","0","0","0","0.025","171","0.05","14","0"
"17","15","9","0","0","0","0","0.025","161","0.05","13","0"
"16","16","8","0","0","0","0","0.025","152","0.05","12","0"
"15","17","7","0","0","0","0","0.025","143","0.05","11","0"
"14","18","6","0","0","0","0","0.025","134","0.05","10","0"
"13","19","5","0","0","0","0","0.025","125","0.05","9","0"
"12","20","4","0","0","0","0","0.025","116","0.05","8","0"
"11","21","3","0","0","0","0","0.025","107","0.05","7","0"
"10","22","2","0","0","0","0","0.025","101","0.05","6","0"
"0","23","0","0","0","0","0","0","1","0","0","0"
