d53940c55bdba86adbdb70cc23bc341c04e7f349d9da2afd7b1b3c556285c315,6314d879840bf465aef3c9d5fb75501d42d78a7067064c6bf1949a4dfc5f4b2c,3753475807e84661d5941791684c35fb741411d32dbd0060fbc48198180d6052,75ceb61618fcfd1dab5b59e82eb6b58c6b5e8eedf2d146aab07eab719242fd61,b4f187f9dfdeb7b1589739426409e266a2f4c425299a588b80dab9f4597fa140,aa893355a90ca1f03d39a41b95970ed5d554817a5acda800cc45277781fa51e6,4750287148d546c8ca0caeff95e3962930899ad53846595a04b0fc842a034edd,f44346b155f8ad758e0169b2ec6e9f97842f8c356b624197b12a4e36e12467e6,7813b270fa212325d24c9356fe5d57bee788e020a4777fb05acad78112ddde66,f69158a28eca51505a3db2a15459cc1578db82c765db38511ff1f33cc9cb19a1,63fc35020f0143432244861e27411c214e48dfdd09e3e5571fe461325a3a2875
"1","10","8","31","25015","8","91002","2","25021","285001001","2"
"2","10","8","31","25015","8","91002","2","25021","285001002","2"
"3","10","8","32","25015","8","91002","2","25021","285001003","2"
"4","10","8","32","25015","8","91002","2","25021","285001004","2"
"5","10","8","33","25015","8","91002","2","25021","285001005","2"
"6","10","8","33","25015","9","91002","2","25021","285001006","2"
"7","10","8","34","25015","9","91002","2","25021","285001007","2"
"8","10","8","35","25015","9","91002","2","25021","285001008","2"
"9","10","8","35","25015","9","91002","2","25021","285001009","2"
"10","30","8","37","25015","10","91002","2","25021","285001010","2"
"11","10","8","41","25015","10","91002","2","25021","285001011","2"
"12","10","8","43","25015","11","91002","2","25021","285001012","2"
"13","10","8","46","25015","11","91002","2","25021","285001013","2"
"14","10","8","48","25015","12","91002","2","25021","285001014","2"
"15","10","8","50","25015","12","91002","2","25021","285001015","2"
"16","10","8","53","25015","13","91002","2","25021","285001016","2"
"17","10","8","55","25015","14","91002","2","25021","285001017","2"
"18","10","8","58","25015","14","91002","2","25021","285001018","2"
"19","10","8","60","25015","15","91002","2","25021","285001019","2"
"20","30","8","62","25015","15","91002","2","25021","285001020","2"
"21","10","8","68","25015","16","91002","2","25021","285001021","2"
"22","10","8","70","25015","16","91002","2","25021","285001022","2"
"23","10","8","72","25015","16","91002","2","25021","285001023","2"
"24","10","8","75","25015","17","91002","2","25021","285001024","2"
"25","10","8","77","25015","18","91002","2","25021","285001025","2"
"26","10","8","79","25015","18","91002","2","25021","285001026","2"
"27","10","8","82","25015","19","91002","2","25021","285001027","2"
"28","10","8","84","25015","19","91002","2","25021","285001028","2"
"29","10","8","86","25015","19","91002","2","25021","285001029","2"
"30","30","8","89","25015","20","91002","2","25021","285001030","2"
"31","10","8","94","25015","20","91002","2","25021","285001031","2"
"32","10","8","96","25015","21","91002","2","25021","285001032","2"
"33","10","8","99","25015","21","91002","2","25021","285001033","2"
"34","10","8","101","25015","22","91002","2","25021","285001034","2"
"35","10","8","103","25015","22","91002","2","25021","285001035","2"
"36","10","8","106","25015","23","91002","2","25021","285001036","2"
"37","10","8","108","25015","23","91002","2","25021","285001037","2"
"38","10","8","111","25015","24","91002","2","25021","285001038","2"
"39","10","8","113","25015","25","91002","2","25021","285001039","2"
"40","30","8","115","25015","25","91002","2","25021","285001040","2"
"41","10","8","121","25015","26","91002","2","25021","285001041","2"
"42","10","8","123","25015","27","91002","2","25021","285001042","2"
"43","10","8","125","25015","28","91002","2","25021","285001043","2"
"44","10","8","128","25015","28","91002","2","25021","285001044","2"
"45","10","8","130","25015","29","91002","2","25021","285001045","2"
"46","10","8","132","25015","30","91002","2","25021","285001046","2"
"47","10","8","135","25015","30","91002","2","25021","285001047","2"
"48","10","8","137","25015","31","91002","2","25021","285001048","2"
"49","10","8","139","25015","31","91002","2","25021","285001049","2"
"50","30","8","142","25015","31","91002","2","25021","285001050","2"
"51","10","8","144","25015","32","91002","2","25021","285001051","2"
"52","10","8","146","25015","32","91002","2","25021","285001052","2"
"53","10","8","149","25015","32","91002","2","25021","285001053","2"
"54","10","8","152","25015","33","91002","2","25021","285001054","2"
"55","10","8","155","25015","33","91002","2","25021","285001055","2"
"56","10","8","157","25015","33","91002","2","25021","285001056","2"
"57","10","8","160","25015","34","91002","2","25021","285001057","2"
"58","10","8","163","25015","34","91002","2","25021","285001058","2"
"59","10","8","166","25015","34","91002","2","25021","285001059","2"
"60","30","8","169","25015","35","91002","2","25021","285001060","2"
"61","10","8","171","25015","35","91002","2","25021","285001061","2"
"62","10","8","174","25015","35","91002","2","25021","285001062","2"
"63","10","8","177","25015","36","91002","2","25021","285001063","2"
"64","10","8","180","25015","36","91002","2","25021","285001064","2"
"65","10","8","182","25015","36","91002","2","25021","285001065","2"
"66","10","8","185","25015","37","91002","2","25021","285001066","2"
"67","10","8","187","25015","37","91002","2","25021","285001067","2"
"68","10","8","190","25015","37","91002","2","25021","285001068","2"
"69","10","8","193","25015","38","91002","2","25021","285001069","2"
"70","30","8","196","25015","38","91002","2","25021","285001070","2"
