deeb6f3efb6e0656dee1c815b46c1fd85bfdef98103b68484b7c32a15ddd0a41,57c53266987b511994207a9c0d67b3312cc90eef985720909fd5b207f6aa0815,097fe25a1b9e0a14cc70673cb72111f34e0ba2f4674a84abf229143ce7599fa4,3c424fda20699929f4eca7e10dedd2d83de5696f0c363e3e9a2a3e6e2690813f,ca510242e642686a9319feda30000b6f8f47cd179bac3c9776dafeef3c95c8ae,e00fe426af47b20bb6a1d746a55f4968b5231af3f55022f5fbf6934cf794e788,49e8c1ab7dbb0f2b242a22af30bac133837f927a81e745944cca08b5365beb94,ca0f91b5c4ac8f4c3e5594ce4b50de53424709fcbd1b3fdd15fbad8852720b8d,65ec5deddb7768d370db746ca4b60ec6dcb9082a42f49901e4d7b47b5862cd6b,9948a97169b9ace4b631abbee3c6b6fb71709c74f611fb315c132db33501f042,1f2e77c53e777a2926faba7fc85f4038e20992575327b8dee8b17c65d4032a24,bf95630c417d31867ff8fdaa721123afa078ce90a99b3f72026a0dc335e1cd0f
"0","0","0","1","1","0.8","1007001","4","0","0","0","100700101"
"vo_svd","vo_svd_0101","0","2","0","0","1007001","2","0","0","0","100700102"
"0","0","300","3","0","0","1007001","1","1.684","1","0","100700103"
"0","0","0","4","1","1.949","1007001","4","0","0","0","100700104"
"0","0","327","5","0","0","1007001","1","1.363","2","15","100700105"
"0","0","0","6","1","3.027","1007001","4","0","0","0","100700106"
"vo_svd","vo_svd_0102","0","7","0","0","1007001","2","0","0","0","100700107"
"0","0","441","8","0","0","1007001","1","1.69","3","0","100700108"
"0","0","0","9","1","1.7","1007001","4","0","0","0","100700109"
"0","0","221","10","0","0","1007001","1","1.446","4","0","100700110"
"0","0","0","11","1","1.722","1007001","4","0","0","0","100700111"
"0","0","478","12","0","0","1007001","1","1.245","4","221","100700112"
"0","0","0","13","1","0.417","1007001","4","0","0","0","100700113"
"0","0","208","14","0","0","1007001","1","0.864","5","0","100700114"
"0","0","0","15","1","2.482","1007001","4","0","0","0","100700115"
"vo_svd","vo_svd_0103","0","16","0","0","1007001","2","0","0","0","100700116"
"0","0","420","17","0","0","1007001","1","2.352","6","0","100700117"
"0","0","0","18","1","1.694","1007001","4","0","0","0","100700118"
"0","0","268","19","0","0","1007001","1","0.953","7","0","100700119"
"0","0","0","20","1","2.5","1007001","4","0","0","0","100700120"
"0","0","0","1","1","0.8","1007002","4","0","0","0","100700201"
"vo_svd","vo_svd_0201","0","2","0","0","1007002","2","0","0","0","100700202"
"0","0","152","3","0","0","1007002","1","0.865","1","0","100700203"
"0","0","0","4","1","1.516","1007002","4","0","0","0","100700204"
"0","0","314","5","0","0","1007002","1","1.013","1","152","100700205"
"0","0","0","6","1","0.973","1007002","4","0","0","0","100700206"
"0","0","158","7","0","0","1007002","1","0.755","2","0","100700207"
"0","0","0","8","1","2.018","1007002","4","0","0","0","100700208"
"vo_svd","vo_svd_0202","0","9","0","0","1007002","2","0","0","0","100700209"
"0","0","132","10","0","0","1007002","1","0.541","3","0","100700210"
"0","0","0","11","1","0.517","1007002","4","0","0","0","100700211"
"0","0","299","12","0","0","1007002","1","0.992","3","132","100700212"
"0","0","0","13","1","0.792","1007002","4","0","0","0","100700213"
"0","0","132","14","0","0","1007002","1","0.751","4","0","100700214"
"0","0","0","15","1","1.887","1007002","4","0","0","0","100700215"
"vo_svd","vo_svd_0203","0","16","0","0","1007002","2","0","0","0","100700216"
"0","0","441","17","0","0","1007002","1","1.482","4","132","100700217"
"0","0","0","18","1","0.858","1007002","4","0","0","0","100700218"
"0","0","255","19","0","0","1007002","1","1.255","5","0","100700219"
"0","0","0","20","1","2.752","1007002","4","0","0","0","100700220"
"vo_svd","vo_svd_0204","0","21","0","0","1007002","2","0","0","0","100700221"
"0","0","336","22","0","0","1007002","1","1.827","6","0","100700222"
"0","0","0","23","1","1.654","1007002","4","0","0","0","100700223"
"0","0","364","24","0","0","1007002","1","1.773","7","0","100700224"
"0","0","0","25","1","2.5","1007002","4","0","0","0","100700225"
"0","0","0","1","1","0.8","1007003","4","0","0","0","100700301"
"vo_svd","vo_svd_0301","0","2","0","0","1007003","2","0","0","0","100700302"
"0","0","185","3","0","0","1007003","1","1.205","1","0","100700303"
"0","0","0","4","1","1.739","1007003","4","0","0","0","100700304"
"0","0","355","5","0","0","1007003","1","1.278","1","185","100700305"
"0","0","0","6","1","0.687","1007003","4","0","0","0","100700306"
"0","0","132","7","0","0","1007003","1","0.735","2","0","100700307"
"0","0","0","8","1","2.357","1007003","4","0","0","0","100700308"
"vo_svd","vo_svd_0302","0","9","0","0","1007003","2","0","0","0","100700309"
"0","0","364","10","0","0","1007003","1","1.542","2","132","100700310"
"0","0","0","11","1","1.9","1007003","4","0","0","0","100700311"
"0","0","336","12","0","0","1007003","1","1.82","3","0","100700312"
"0","0","0","13","1","1.754","1007003","4","0","0","0","100700313"
"0","0","255","14","0","0","1007003","1","1.133","4","0","100700314"
"0","0","0","15","1","2.697","1007003","4","0","0","0","100700315"
"vo_svd","vo_svd_0303","0","16","0","0","1007003","2","0","0","0","100700316"
"0","0","336","17","0","0","1007003","1","1.827","5","0","100700317"
"0","0","0","18","1","2.182","1007003","4","0","0","0","100700318"
"0","0","275","19","0","0","1007003","1","1.186","6","0","100700319"
"0","0","0","20","1","2.842","1007003","4","0","0","0","100700320"
"vo_svd","vo_svd_0304","0","21","0","0","1007003","2","0","0","0","100700321"
"0","0","336","22","0","0","1007003","1","2.067","7","0","100700322"
"0","0","0","23","1","1.844","1007003","4","0","0","0","100700323"
"0","0","364","24","0","0","1007003","1","2.068","8","0","100700324"
"0","0","0","25","1","2.5","1007003","4","0","0","0","100700325"
"0","0","0","1","1","0.8","1007004","4","0","0","0","100700401"
"vo_svd","vo_svd_0401","0","2","0","0","1007004","2","0","0","0","100700402"
"0","0","201","3","0","0","1007004","1","1.105","1","0","100700403"
"0","0","0","4","1","1.504","1007004","4","0","0","0","100700404"
"0","0","313","5","0","0","1007004","1","0.62","1","201","100700405"
"0","0","0","6","1","0.554","1007004","4","0","0","0","100700406"
"0","0","165","7","0","0","1007004","1","0.728","2","0","100700407"
"0","0","0","8","1","2.154","1007004","4","0","0","0","100700408"
"vo_svd","vo_svd_0402","0","9","0","0","1007004","2","0","0","0","100700409"
"0","0","334","10","0","0","1007004","1","1.051","2","165","100700410"
"0","0","0","11","1","0.915","1007004","4","0","0","0","100700411"
"0","0","161","12","0","0","1007004","1","0.927","3","0","100700412"
"0","0","0","13","1","1.701","1007004","4","0","0","0","100700413"
"0","0","311","14","0","0","1007004","1","0.905","3","161","100700414"
"0","0","0","15","1","0.816","1007004","4","0","0","0","100700415"
"0","0","329","16","0","0","1007004","1","1.249","4","0","100700416"
"0","0","0","17","1","1.252","1007004","4","0","0","0","100700417"
"0","0","268","18","0","0","1007004","1","0.987","5","0","100700418"
"0","0","0","19","1","2.864","1007004","4","0","0","0","100700419"
"vo_svd","vo_svd_0403","0","20","0","0","1007004","2","0","0","0","100700420"
"0","0","336","21","0","0","1007004","1","2.056","6","0","100700421"
"0","0","0","22","1","1.844","1007004","4","0","0","0","100700422"
"0","0","364","23","0","0","1007004","1","1.963","7","0","100700423"
