992e9f55685de2575a0f416b162a72576e511ac27afac8e5798eb1eaf74d2a6b,db5cee88ce932d91f0b940ebe3b37ee4975f679b6ae22ff9e35f64f23ef41590,9b08e49bb24b4631ce4bdfb310e20964b08b576f2a3aebf4390823f15e30dcf6,951cd507c2ca5d5bb488dd5ca12dc936300029319f2ace3cb3c7f75037079c29,eb2847b5684688625e427d56b5ca0d64e2b6322d8e176218af746699339be437,41386847245877822f9271feebf1afa172e671f5f1ca501c0be0fac8eefff84b,2c65236e6afffed452d8e7f7b679f01045716d3e1a5b1e7b18a3db9615bbf82f,4774b83f4a03946315a6ff46f9de5c6dccccce56c6471d9ef21ea70088f50efd,267f7409ce5ab9c75cd7260fc481b0611b8efdab3dd85663ea36b6781142eef3,abd1b5d5ebb5c77f8e4b80b2bc9dcbc9ab7f57650738090044e1ea649309d60c,03f1ed2377326552eb91e80c7bbe4c65b87aa27e8223908d03b6c9763b25ba38
"","","","se_travel","","","0","111","23","se_travel_start_1pt","101110001"
"","1","","10010","1","0","0","111","31","10010","101110002"
"","1","","10011","1","0","0","111","31","10011","101110003"
"","0","","10020","1","0","0","111","31","10020","101110004"
"<weapon>_idle","0.68","0","2","-150","-150","62","111","1","1001001","101110005"
"<weapon>_idle","0.68","0","2","-75","-250","61","111","1","1001002","101110006"
"<weapon>_idle","0.68","0","2","-180","-350","63","111","1","1001003","101110007"
"<weapon>_idle","0.68","0","2","-75","-450","61","111","1","1001004","101110008"
"<weapon>_idle","0.68","0","2","-150","-550","62","111","1","1001005","101110009"
"","1","0","10012","0.68","-150","-150","111","31","1001001","101110010"
"","1","0","10012","0.68","-75","-250","111","31","1001002","101110011"
"","1","0","10012","0.68","-180","-350","111","31","1001003","101110012"
"","1","0","10012","0.68","-75","-450","111","31","1001004","101110013"
"","1","0","10012","0.68","-150","-550","111","31","1001005","101110014"
"","0","","10030","1","0","0","111","31","10030","101110015"
"","0","","10031","1","0","0","111","31","10031","101110016"
"","","","","","","","111","91","0","101110017"
"","","","10030","","","","111","32","1","101110018"
"","","","0","","","","111","91","0","101110019"
"","0","","1001001","0","","1","111","3","<weapon>_run","101110020"
"","0","","1001002","0","","1","111","3","<weapon>_run","101110021"
"","0","","1001003","0","","1","111","3","<weapon>_run","101110022"
"","0","","1001004","0","","1","111","3","<weapon>_run","101110023"
"","0","","1001005","0","","1","111","3","<weapon>_run","101110024"
"","","","1001001","0","3","-150","111","2","800","101110025"
"","","","1001002","0","3","-75","111","2","700","101110026"
"","","","1001003","0","3","-180","111","2","600","101110027"
"","","","1001004","0","3","-75","111","2","500","101110028"
"","","","1001005","0","3","-150","111","2","400","101110029"
"","","","1001001","0","3","-150","111","33","800","101110030"
"","","","1001002","0","3","-75","111","33","700","101110031"
"","","","1001003","0","3","-180","111","33","600","101110032"
"","","","1001004","0","3","-75","111","33","500","101110033"
"","","","1001005","0","3","-150","111","33","400","101110034"
"","","","10020","","","","111","32","1","101110035"
"","","","2.5","","","","111","93","0","101110036"
"","","","10031","","","","111","32","1","101110037"
"","","","0.4","","","","111","93","0","101110038"
"","","","0","","","","111","91","0","101110039"
"","","","se_travel","","","0","211","23","se_travel_start_2pt","102110001"
"","1","","10010","1","0","0","211","31","10010","102110002"
"","1","","10011","1","0","0","211","31","10011","102110003"
"","0","","10020","1","0","0","211","31","10020","102110004"
"<weapon>_idle","0.68","0","2","-90","-100","62","211","1","1001001","102110005"
"<weapon>_idle","0.68","0","2","-15","-170","61","211","1","1001002","102110006"
"<weapon>_idle","0.68","0","2","-105","-240","63","211","1","1001003","102110007"
"<weapon>_idle","0.68","0","2","-15","-310","61","211","1","1001004","102110008"
"<weapon>_idle","0.68","0","2","-90","-380","62","211","1","1001005","102110009"
"","1","0","10012","0.68","-90","-100","211","31","1001001","102110010"
"","1","0","10012","0.68","-15","-170","211","31","1001002","102110011"
"","1","0","10012","0.68","-105","-240","211","31","1001003","102110012"
"","1","0","10012","0.68","-15","-310","211","31","1001004","102110013"
"","1","0","10012","0.68","-90","-380","211","31","1001005","102110014"
"<weapon>_idle","0.68","0","2","-240","-500","52","211","1","1002001","102110015"
"<weapon>_idle","0.68","0","2","-165","-570","51","211","1","1002002","102110016"
"<weapon>_idle","0.68","0","2","-255","-640","53","211","1","1002003","102110017"
"<weapon>_idle","0.68","0","2","-165","-710","51","211","1","1002004","102110018"
"<weapon>_idle","0.68","0","2","-240","-780","52","211","1","1002005","102110019"
"","1","0","10012","0.68","-240","-500","211","31","1002001","102110020"
"","1","0","10012","0.68","-165","-570","211","31","1002002","102110021"
"","1","0","10012","0.68","-255","-640","211","31","1002003","102110022"
"","1","0","10012","0.68","-165","-710","211","31","1002004","102110023"
"","1","0","10012","0.68","-240","-780","211","31","1002005","102110024"
"","0","","10030","1","0","0","211","31","10030","102110025"
"","0","","10031","1","0","0","211","31","10031","102110026"
"","","","","","","","211","91","0","102110027"
"","","","10030","","","","211","32","1","102110028"
"","","","0","","","","211","91","0","102110029"
"","0","","1001001","0","","1","211","3","<weapon>_run","102110030"
"","0","","1001002","0","","1","211","3","<weapon>_run","102110031"
"","0","","1001003","0","","1","211","3","<weapon>_run","102110032"
"","0","","1001004","0","","1","211","3","<weapon>_run","102110033"
"","0","","1001005","0","","1","211","3","<weapon>_run","102110034"
"","","","1001001","0","3","-90","211","2","850","102110035"
"","","","1001002","0","3","-15","211","2","780","102110036"
"","","","1001003","0","3","-105","211","2","710","102110037"
"","","","1001004","0","3","-15","211","2","640","102110038"
"","","","1001005","0","3","-90","211","2","570","102110039"
"","","","1001001","0","3","-90","211","33","850","102110040"
"","","","1001002","0","3","-15","211","33","780","102110041"
"","","","1001003","0","3","-105","211","33","710","102110042"
"","","","1001004","0","3","-15","211","33","640","102110043"
"","","","1001005","0","3","-90","211","33","570","102110044"
"","0","","1002001","0","","1","211","3","<weapon>_run","102110045"
"","0","","1002002","0","","1","211","3","<weapon>_run","102110046"
"","0","","1002003","0","","1","211","3","<weapon>_run","102110047"
"","0","","1002004","0","","1","211","3","<weapon>_run","102110048"
"","0","","1002005","0","","1","211","3","<weapon>_run","102110049"
"","","","1002001","0","3","-240","211","2","450","102110050"
"","","","1002002","0","3","-165","211","2","380","102110051"
"","","","1002003","0","3","-255","211","2","310","102110052"
"","","","1002004","0","3","-165","211","2","240","102110053"
"","","","1002005","0","3","-240","211","2","170","102110054"
"","","","1002001","0","3","-240","211","33","450","102110055"
"","","","1002002","0","3","-165","211","33","380","102110056"
"","","","1002003","0","3","-255","211","33","310","102110057"
"","","","1002004","0","3","-165","211","33","240","102110058"
"","","","1002005","0","3","-240","211","33","170","102110059"
"","","","10020","","","","211","32","1","102110060"
"","","","2.5","","","","211","93","0","102110061"
"","","","10031","","","","211","32","1","102110062"
"","","","0.4","","","","211","93","0","102110063"
"","","","0","","","","211","91","0","102110064"
"","","","se_travel","","","0","311","23","se_travel_start_3pt","103110001"
"","1","","10010","1","0","0","311","31","10010","103110002"
"","1","","10011","1","0","0","311","31","10011","103110003"
"","0","","10020","1","0","0","311","31","10020","103110004"
"<weapon>_idle","0.68","0","2","-240","0","62","311","1","1001001","103110005"
"<weapon>_idle","0.68","0","2","-165","-70","61","311","1","1001002","103110006"
"<weapon>_idle","0.68","0","2","-255","-140","63","311","1","1001003","103110007"
"<weapon>_idle","0.68","0","2","-165","-210","61","311","1","1001004","103110008"
"<weapon>_idle","0.68","0","2","-240","-280","62","311","1","1001005","103110009"
"","1","0","10012","0.68","-240","0","311","31","1001001","103110010"
"","1","0","10012","0.68","-165","-70","311","31","1001002","103110011"
