cb23ebfdbe5132c6852709edbd5085a347324a49810ca53c36686a8d0bfea9ce,66f6bbdde810bf203ff873a9fa7272cbb995c3f4470825f09434fb2f15bfc6d7,fe8d2f4788862d10d26ee27434d62f01a3412ed87e359591f10361167e719495,8eaf58a6b89fb458990a1d8f15c62aa0b599d0a0d2970b6e36be9a01f2478194,ad1aa12abf86bfbacbe0ea8a87f565e65726e257368e9ad16d2f3e2b5c5cc479,ac81dbbfb21fd138095ed1da943142243991b9410ea218f0768b84654a018ebc,f8cd068baaa0d8bbda57e0898fddebf0e58463755342cb002ee9040a42802b18
"150","50","100","200","250","1","1004"
"240","80","160","320","400","2","1004"
"150","50","100","200","250","3","1004"
"150","50","100","200","250","5","1004"
"240","80","160","320","400","6","1004"
"1","1","1","2","3","12","1004"
"150","50","100","200","250","1","1005"
"150","50","100","200","250","3","1005"
"240","80","160","320","400","4","1005"
"150","50","100","200","250","5","1005"
"240","80","160","320","400","7","1005"
"1","1","1","2","3","13","1005"
