8c24155c2b4763354577f5ae207f7ac427040a87d9b2d327b86232511334e6ee,1acac284e2f9b96bb568c4ad4cbe52f7722a63c5274fa95dfe8a781093b5d484,3e15965b3915bae1f5c3dc17349d857243538dec7fbfea1417cdb803b73a493f,f8473f16c9aa153d454773e93605e87554a886b30a77dbc18bd37b378ffb6315,c2bfc6f45fa5fafce80254276579c0461cea8e1a3cdfab32eb15b958d7cc2de5
"1","1025","1045","1048","1037"
"2","1003","1006","1004","1062"
"3","1003","1006","1007","1029"
"4","1047","1062","1045","1025"
"5","1043","1022","1013","1003"
"6","1006","1019","1004","1048"
"7","1062","1003","1033","1037"
"8","1056","1059","1053","1050"
"9","1001","1034","1011","1030"
"10","1063","1026","1023","1046"
"11","1020","1044","1038","1014"
"12","1017","1040","1049","1008"
"13","1023","1020","1044","1017"
"14","1017","1020","1038","1001"
"15","1030","1008","1048","1036"
"16","1044","1011","1038","1004"
"17","1043","1022","1011","1005"
"18","1046","1047","1016","1042"
"19","1014","1063","1028","1041"
"20","1052","1058","1055","1061"
"21","1025","1024","1001","1031"
"22","1024","1005","1063","1064"
"23","1040","1044","1000","1066"
"24","1000","1010","1038","1076"
"25","1003","1043","1019","1077"
"26","1070","1068","1069","1071"
"27","1092","1090","1091","1089"
"28","1098","1099","1100","1097"
"29","1102","1103","1104","1101"
"30","1106","1107","1108","1105"
"31","1089","1090","1091","1088"
