d430d4bbcb48f4a5a3e77d69b6d7b6fb1e4d1be41928a397356babc587685cf3,2d0cc41c6aee4e6d41efee5775a0137fc5dc8b2cc38f40c0ea5cd567cb75ef06,a50ca7e96ea659b50d06c36f038a7aaf95a9880fea003582dd1e1f0fa33eee6e,9ec34adef77109be06dc9ac56c32df7fca7d885886ca34ced2d45c33eb780aa7,f8247d9af0f7006a248df289d43e3c6b7070405400dee9a00cb667cd07227f54,7176e41e9366f7575a7b3ea1816441d401598f39dd34b80e41cb0d1764577c7e,a6585f74959ea4c15adc4eb4d2c421082e19fe204613c9af471f29825fd88487,642e2031c75f8295d296451306a3dfb8992947c866d1935ed90405c9916a67e2,e2317404f0f0a49fe076b4de663aad666b8a3f32a68b38028f09947186c1d411,6fd1212510da7d4a364384351f041af5eb2a269a28dbf5c7689aebc3df1018e2,41fe67e9b92a99c0c3ead418109f714f4f41c0608c795331002e8110b5a5154e,1b953ae93f23d17ae1c6c0a97f636e7218f34357b718f8fa6c107c1bdb7924d5
"100580101","1","0","1005801","0","1","0","4","0","0.8","0","0"
"100580102","0","0","1005801","0","2","0","2","vo_ske","0","0","vo_ske_0101"
"100580103","0","0","1005801","60","3","1","1","0","0","0.705","0"
"100580104","1","0","1005801","0","4","0","4","0","1.549","0","0"
"100580105","0","60","1005801","304","5","1","1","0","0","1.807","0"
"100580106","1","0","1005801","0","6","0","4","0","3.027","0","0"
"100580107","0","0","1005801","140","7","2","1","0","0","1.141","0"
"100580108","1","0","1005801","0","8","0","4","0","1.9","0","0"
"100580109","0","140","1005801","380","9","2","1","0","0","1.78","0"
"100580110","1","0","1005801","0","10","0","4","0","4.544","0","0"
"100580111","0","0","1005801","0","11","0","2","vo_ske","0","0","vo_ske_0102"
"100580112","0","0","1005801","195","12","3","1","0","0","1.322","0"
"100580113","1","0","1005801","0","13","0","4","0","2.917","0","0"
"100580114","0","0","1005801","0","14","0","2","vo_ske","0","0","vo_ske_0103"
"100580115","0","0","1005801","228","15","4","1","0","0","1.932","0"
"100580116","1","0","1005801","0","16","0","4","0","2.582","0","0"
"100580117","0","228","1005801","367","17","4","1","0","0","0.996","0"
"100580118","1","0","1005801","0","18","0","4","0","3.856","0","0"
"100580119","0","0","1005801","0","19","0","2","vo_ske","0","0","vo_ske_0104"
"100580120","0","0","1005801","102","20","5","1","0","0","0.67","0"
"100580121","1","0","1005801","0","21","0","4","0","1.785","0","0"
"100580122","0","102","1005801","364","22","5","1","0","0","2.253","0"
"100580123","1","0","1005801","0","23","0","4","0","2.253","0","0"
"100580124","0","0","1005801","120","24","6","1","0","0","0.962","0"
"100580125","1","0","1005801","0","25","0","4","0","2.244","0","0"
"100580126","0","120","1005801","334","26","6","1","0","0","1.707","0"
"100580127","1","0","1005801","0","27","0","4","0","4.225","0","0"
"100580128","0","0","1005801","0","28","0","2","vo_ske","0","0","vo_ske_0105"
"100580129","0","0","1005801","168","29","7","1","0","0","1.256","0"
