231202b992661b0dae1075df299806e9dcaf845e3efd44d2ffe76e078781b40d,2e2ad24b6381ffe075d6928d50f5f0975a3b3fcd47523708e193a010704397de,226fc5146c61bd012a9ead201f207d3cc550fbe39e5c3774bd3cca1486ceec12,1314099d36f9b00b6848da6b8c048dfdadd7966be8add9499323edd8a18fe14f,c97067ee1f6a4907f398c1a5dafc969afa84369a5a1f85bcf35567480e6f4e3f,09fc6241185f588935caed0c62a592b6020c98cd8bfc3644d0d278ef44003f6c,117be0acca263327b28df40ee50db5d3a029817be2d63b3659240c7a693399e4,55c08a990b71fb9c2b4f326d66d1383b50764b3d032e3f351479c89801e48792,65528e196b7f8254f826fa15943b0992e6cc9bc2746914b12641ec74b0cb9ddf,133f7b9fab42f8c0e1a2e8eccd5a978680d857bbdf1e0524b278140f58a4aa52
"2","22","-1","53003","15","","8","3","2","10001"
"1","22","14","53003","1","","5","3","1","10002"
"0","23","0","52019","0","ワカナの施し","2","3","0","10003"
"2","22","-1","53003","15","","8","4","2","10004"
"1","22","14","53003","1","","5","4","1","10005"
"0","23","0","52019","0","ワカナの施し","2","4","0","10006"
"2","22","-1","53003","15","","8","5","2","10007"
"1","22","14","53003","1","","5","5","1","10008"
"0","23","0","52019","0","ワカナの施し","2","5","0","10009"
"2","22","-1","53003","15","","8","6","2","10010"
"1","22","14","53003","1","","5","6","1","10011"
"0","23","0","52019","0","ワカナの施し","2","6","0","10012"
"2","22","-1","53003","15","","8","7","2","10013"
"1","22","14","53003","1","","5","7","1","10014"
"0","23","0","52019","0","ワカナの施し","2","7","0","10015"
"2","22","-1","53003","15","","8","8","2","10016"
"1","22","14","53003","1","","5","8","1","10017"
"0","23","0","52019","0","ワカナの施し","2","8","0","10018"
"2","22","-1","53003","15","","8","9","2","10019"
"1","22","14","53003","1","","5","9","1","10020"
"0","23","0","52019","0","ワカナの施し","2","9","0","10021"
"2","22","-1","53003","15","","8","10","2","10022"
"1","22","14","53003","1","","5","10","1","10023"
"0","23","0","52019","0","ワカナの施し","2","10","0","10024"
"2","22","-1","53003","15","","8","11","2","10025"
"1","22","14","53003","1","","5","11","1","10026"
"0","23","0","52019","0","ワカナの施し","2","11","0","10027"
"2","22","-1","53003","15","","8","12","2","10028"
"1","22","14","53003","1","","5","12","1","10029"
"0","23","0","52019","0","ワカナの施し","2","12","0","10030"
"2","22","-1","53003","15","","8","13","2","10031"
"1","22","14","53003","1","","5","13","1","10032"
"0","23","0","52019","0","ワカナの施し","2","13","0","10033"
