3386b4662f5ddaef2e6260f0048a803d72545f28bed4e6186e7651bc2763fcb3,592ac3583cc817a92a24c41aa7048229bf8d4becca670d5225ecc6bdc3040987,fa7f0ae29a7c4a2d5b34ebcd81a5d0f3217e9e3c75014f01853f2daa534780a6,1d99f27cce357411d190879b06e899b932185888ef413a7aaa37c62aeacd67eb
"180701","4","1","1001"
"180701","4","2","1002"
"180701","4","3","1003"
"180701","4","4","1004"
"180701","4","5","1005"
"180701","2","6","1014"
"180701","2","7","1015"
"180701","2","8","1016"
"180701","2","9","1017"
"180701","2","10","1010"
"180701","2","11","1011"
"180701","2","12","1012"
"180701","2","13","1013"
"180801","6","14","1001"
"180801","6","15","1002"
"180801","6","16","1003"
"180801","6","17","1004"
"180801","6","18","1005"
"180801","3","19","1014"
"180801","3","20","1015"
"180801","3","21","1016"
"180801","4","22","1017"
"180801","3","23","1010"
"180801","3","24","1011"
"180801","3","25","1012"
"180801","3","26","1013"
"180801","3","27","1009"
"180901","4","28","1001"
"180901","4","29","1002"
"180901","4","30","1003"
"180901","4","31","1004"
"180901","4","32","1005"
"180901","2","33","1014"
"180901","2","34","1015"
"180901","2","35","1016"
"180901","4","36","1017"
"180901","2","37","1010"
"180901","2","38","1011"
"180901","2","39","1012"
"180901","2","40","1013"
"181001","4","41","1001"
"181001","4","42","1002"
"181001","4","43","1003"
"181001","4","44","1004"
"181001","4","45","1005"
"181001","2","46","1009"
"181001","2","47","1010"
"181001","2","48","1011"
"181001","2","49","1012"
"181001","2","50","1013"
"181001","2","51","1014"
"181001","2","52","1015"
"181001","2","53","1016"
"181001","2","54","1017"
"181101","4","55","1001"
"181101","4","56","1002"
"181101","4","57","1003"
"181101","4","58","1004"
"181101","4","59","1005"
"181101","2","60","1009"
"181101","2","61","1010"
"181101","2","62","1012"
"181101","2","63","1013"
"181101","2","64","1014"
"181101","2","65","1015"
"181101","2","66","1016"
"181101","2","67","1017"
