c4c72c34f3444cf495a4f4de21f49b7aaa8ae6370379c50f8d2d9c67bc7a8379,0a1494f66551bc73fd72992e1a1f10d001fad8e9684ce117b74ce5a3ddc964c6,5f8da55d418581550cba4290f4eb3b6b6f24c9b569f7a05b013eeebaf6c93cad,b23d6eaf2791e73795c3529a4662561813f4df5b1b8c271ff23ece430d536d25,513029a9f4d6ec2f6233d123e340040746875a377952b45fb52a8b0420256b9d,d50fd1aca8e88f8aafacc2f9c2e7a0788b87422dfda58441650a30d34c4e6a52,91e5c56e843e909a9a711e3c34eccc2dee6a7b2864f48488936e279e724ebfa6,3e83653df90ab04629fc6248d925314271968e55203a41fccc1d991602dd4859,92b13f1a582a61637c5fab0c065711e380c9207b36e3c84a2134f3cb20499dea,ceef4e70fe54a98c26bdb2ec3ebd4e7ffffbd59e24038394e65a6267330d4d6c,42665eb61b9f2c2d7d5cd75d700942ab43e9836f856fbda102f5e05d4097307e,f7cebaffe44ef448211450ab8c781149bef9d839e316ac5bd4dca49025c1fb79,38332ab59504e74330b1fefd235401f2f6b54c5500e0ff51e2946b78fd62dd9b,8589338821bb76a8a93ae83f17029b6c8b12eb21288768c10f5199d2b102c96e,1b50d79966ba91f6c0e5897e8196d2676452689005fe2419460cf681a3842b3f,b12cdbf9de423521590cd76184f6666718fb2d71a2d3dcb1d0fc3c76d7c187f8
"90006","0","0","8","0","22002","2","40","1","2","0","0","40","1001101","0","91002"
"90006","0","0","8","0","22002","2","50","2","2","0","0","60","1001102","0","91002"
"90006","0","0","8","0","22002","2","60","3","2","0","0","80","1001103","0","91002"
"90006","0","0","8","0","22002","2","80","4","2","0","0","100","1001104","0","91002"
"90006","0","0","8","0","22003","2","150","2","2","0","0","200","1001105","0","91002"
"22002","0","0","2","0","0","2","1","0","0","0","0","20","1001106","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","20","1001107","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","20","1001108","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","20","1001109","0","90006"
"22003","0","0","2","0","0","2","1","0","0","0","0","20","1001110","0","90006"
"90006","0","0","8","0","22002","2","40","1","2","0","0","40","1002101","0","91002"
"90006","0","0","8","0","22002","2","50","2","2","0","0","60","1002102","0","91002"
"90006","0","0","8","0","22002","2","60","3","2","0","0","80","1002103","0","91002"
"90006","0","0","8","0","22002","2","80","4","2","0","0","100","1002104","0","91002"
"90006","0","0","8","0","22003","2","150","2","2","0","0","200","1002105","0","91002"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1002106","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1002107","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1002108","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1002109","0","90006"
"22003","0","0","2","0","0","2","1","0","0","0","0","40","1002110","0","90006"
"90006","0","0","8","0","22002","2","40","1","2","0","0","40","1003101","0","91002"
"90006","0","0","8","0","22002","2","50","2","2","0","0","60","1003102","0","91002"
"90006","0","0","8","0","22002","2","60","3","2","0","0","80","1003103","0","91002"
"90006","0","0","8","0","22002","2","80","4","2","0","0","100","1003104","0","91002"
"90006","0","0","8","0","22003","2","150","2","2","0","0","200","1003105","0","91002"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1003106","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1003107","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1003108","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1003109","0","90006"
"22003","0","0","2","0","0","2","1","0","0","0","0","40","1003110","0","90006"
"90006","0","0","8","0","22002","2","40","1","2","0","0","40","1004101","0","91002"
"90006","0","0","8","0","22002","2","50","2","2","0","0","60","1004102","0","91002"
"90006","0","0","8","0","22002","2","60","3","2","0","0","80","1004103","0","91002"
"90006","0","0","8","0","22002","2","80","4","2","0","0","100","1004104","0","91002"
"90006","0","0","8","0","22003","2","150","2","2","0","0","200","1004105","0","91002"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1004106","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1004107","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1004108","0","90006"
"22002","0","0","2","0","0","2","1","0","0","0","0","40","1004109","0","90006"
"22003","0","0","2","0","0","2","1","0","0","0","0","40","1004110","0","90006"
