b610830e2b2a5eb156c2bfbfc1c98c699c9ce6b6c7cc550b44806f1b7646a6bf,1aa8147f1eac906971403b95d9b6c8030adf7dacaecc455bbb433082d5ab2b39,40e4561fd98d6024801548b6e4f9779ea6468a53da41876a1064fd04ca2b4e60,75715f2c98b6a83a1fef092ea529a95e03547912806be55f7debde8a06931d32,5d00b482472d9a21b7cb63089a590128fbf56e91303812c74e0bf3d3a51e8344,08ed57c4ed536d9ddc3b97b96c624f855b224e066a96461f77aa564fafe9fc34,1a467861e2968a6e2e9fcd4d8ff987fe72d195b26489b296cf9c783f0f142a05,2a7cd48b59e5d3b24beab3f407f1c8dbf0aa3066227b79453571609884bc21f0,5eea4f191b57363250082328a3d747c6ec6d824ae6f59d2156ba87926294b12e,734b906ad3e0693f2e93b6bc211906a8bef90fb3fcb430cbf68b97840f9642a9,034ca49117658545d7b20978b2f078aec772b872160355dbf674237a4880eeeb
"10101","1","0","オムレツ","1","8","0","1","1010100","110","250"
"10101","1","0","オムレツ","1","9","0","1","1010101","110","222"
"10101","1","0","オムレツ","1","10","0","1","1010102","110","200"
"10102","2","0","オムレツ","1","9","0","1","1010200","110","400"
"10102","2","0","オムレツ","1","10","0","1","1010201","110","367"
"10102","2","0","オムレツ","1","11","0","1","1010202","110","338"
"10103","3","0","オムレツ","1","10","0","1","1010300","110","640"
"10103","3","0","オムレツ","1","11","0","1","1010301","110","597"
"10103","3","0","オムレツ","1","12","0","1","1010302","110","560"
"10201","1","0","ギョーザ","2","9","0","1","1020100","115","275"
"10201","1","0","ギョーザ","2","10","0","1","1020101","115","248"
"10201","1","0","ギョーザ","2","11","0","1","1020102","115","225"
"10202","2","0","ギョーザ","2","10","0","1","1020200","115","440"
"10202","2","0","ギョーザ","2","11","0","1","1020201","115","406"
"10202","2","0","ギョーザ","2","12","0","1","1020202","115","377"
"10203","3","0","ギョーザ","2","11","0","1","1020300","115","704"
"10203","3","0","ギョーザ","2","12","0","1","1020301","115","660"
"10203","3","0","ギョーザ","2","13","0","1","1020302","115","621"
"10301","1","0","タコヤキ","3","8","0","1","1030100","100","200"
"10301","1","0","タコヤキ","3","9","0","1","1030101","100","175"
"10301","1","0","タコヤキ","3","10","0","1","1030102","100","156"
"10302","2","0","タコヤキ","3","9","0","1","1030200","100","320"
"10302","2","0","タコヤキ","3","10","0","1","1030201","100","291"
"10302","2","0","タコヤキ","3","11","0","1","1030202","100","267"
"10303","3","0","タコヤキ","3","10","0","1","1030300","100","512"
"10303","3","0","タコヤキ","3","11","0","1","1030301","100","475"
"10303","3","0","タコヤキ","3","12","0","1","1030302","100","444"
"10401","1","0","オニギリ","4","9","0","1","1040100","115","225"
"10401","1","0","オニギリ","4","10","0","1","1040101","115","200"
"10401","1","0","オニギリ","4","11","0","1","1040102","115","180"
"10402","2","0","オニギリ","4","10","0","1","1040200","115","360"
"10402","2","0","オニギリ","4","11","0","1","1040201","115","330"
"10402","2","0","オニギリ","4","12","0","1","1040202","115","305"
"10403","3","0","オニギリ","4","11","0","1","1040300","115","576"
"10403","3","0","オニギリ","4","12","0","1","1040301","115","538"
"10403","3","0","オニギリ","4","13","0","1","1040302","115","504"
"10501","1","0","ケバブ","5","10","0","1","1050100","150","300"
"10501","1","0","ケバブ","5","11","0","1","1050101","150","273"
"10501","1","0","ケバブ","5","12","0","1","1050102","150","250"
"10502","2","0","ケバブ","5","11","0","1","1050200","150","480"
"10502","2","0","ケバブ","5","12","0","1","1050201","150","446"
"10502","2","0","ケバブ","5","13","0","1","1050202","150","416"
"10503","3","0","ケバブ","5","12","0","1","1050300","150","768"
"10503","3","0","ケバブ","5","13","0","1","1050301","150","723"
"10503","3","0","ケバブ","5","14","0","1","1050302","150","683"
"20101","1","0","タイヤ（特大）","1","0","0","2","2010100","60","160"
"20102","2","0","タイヤ（特大）","1","0","0","2","2010200","60","256"
"20103","3","0","タイヤ（特大）","1","0","0","2","2010300","60","410"
"20201","1","0","タイヤ（大）","2","0","0","2","2020100","45","145"
"20202","2","0","タイヤ（大）","2","0","0","2","2020200","45","232"
"20203","3","0","タイヤ（大）","2","0","0","2","2020300","45","371"
"20301","1","0","タイヤ（中）","3","0","0","2","2030100","30","120"
"20302","2","0","タイヤ（中）","3","0","0","2","2030200","30","192"
"20303","3","0","タイヤ（中）","3","0","0","2","2030300","30","307"
"20401","1","0","タイヤ（小）","4","0","0","2","2040100","15","100"
"20402","2","0","タイヤ（小）","4","0","0","2","2040200","15","160"
"20403","3","0","タイヤ（小）","4","0","0","2","2040300","15","256"
"30101","1","125","キャノン","1","0","4","3","3010100","1","0"
"30101","1","195","キャノン","1","0","5","3","3010101","1","0"
