cb5d934c6dfc00ff42408d02cd7886ec459857aab2d4bfce78191206fad0c7cb,ac73f9f34e0e3e8a4de54a73fd84b9b2c6027615901c41901a7622eb3dba621a,9b539dfb0ce4493d211cc06df6d69e7dcfdc858644b95630dc8057a11270ff21,d4c55ad8db5d2c8e22a01400c47bb2c3860435d429d162a81492aae73d9801c4,9185ea8c9944d0a2bb354b91ee1d98f6affad58ebbda883771342b1ff31a5200
"500000101","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000001"
"500000102","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000001"
"500000103","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000001"
"500000104","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000001"
"500000105","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000001"
"500000106","boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000001"
"500000201","18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","75000002"
"500000202","17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","75000002"
"500000203","boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75000002"
"500000204","boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","75000002"
"500000205","9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","75000002"
"500000206","boss_tp_down_cut","ＴＰダウンカット","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","75000002"
