48af36fb1db240d4e55b663eef485054e16502cbf8b263b5f8c87784e0fa5473,59f17215e4854ca320609784ffce9b6a6c5c8042d881a59c4995f1f12d8869cc,60c5d293ea91c4216a28f0047290be4485b7fe20f10f0a0a5c2a0b322e7412c8,ccb8ee37b5e9f5dbad3279b5691fa065f3c4e8e99912515eb65bea72575576a5,3e7f66c0b221f6c95ec7ef307b07d71e736206335cdeaaff379b008be2b7bf33,185672cf45678b4bbc2ab81dee0674a15be9205b0a6ee1d6f0e49ae5bc32c224,105628809775c98c0d7b1e8fbcf7954405e9a75f7c7bda7a042052673a8a0d46,86d2efcc7063ddc4d62d395a2cfe1adc63db640962b3af67e0c49775191b15f9,9f17805395417fd24e5a647ee4c0065c7464b19a6a92f1cd1d6146b5ec498510,05f4b855f177a0b2499bc852b16723cc46b1d13aad737a1d0d1c00f36b07cecf,e45169fae97576e9ce81df5f9acb200a2f416211a1b9fd3763e904b8589ead7e
"100","1.7","mhp_sit_idle","1002011","1","0","1","100211","0","0","1002011001"
"1","0.2","","1002011","3","","100211","mhp_sit_talk_memory","","","1002011002"
"0","","","1002011","21","","vo_mhp","vo_mhp_0401","","0","1002011003"
"6","0","0","1002011","11","0","100211","ミツキさんと会うの\n久しぶりだな\nちょっと楽しみ♪","0","0","1002011004"
"","","","1002011","91","","0","","","","1002011005"
"1","0.2","","1002011","3","","100211","mhp_sit_idle_memory","","","1002011006"
"100","1.7","mhp_sit_idle","1002012","1","0","1","100211","0","0","1002012001"
"1","0.2","","1002012","3","","100211","mhp_sit_talk_sad","","","1002012002"
"0","","","1002012","21","","vo_mhp","vo_mhp_0402","","0","1002012003"
"5","0","0","1002012","11","0","100211","はぁ…なにか悪い\n病気だったら\nどうしよう…","0","0","1002012004"
"","","","1002012","91","","0","","","","1002012005"
"1","0.2","","1002012","3","","100211","mhp_sit_idle_sad","","","1002012006"
"100","1.7","mhp_sit_idle","1002013","1","0","1","100211","0","0","1002013001"
"1","0.2","","1002013","3","","100211","mhp_yui_sit_talk_wish","","","1002013002"
"0","","","1002013","21","","vo_mhp","vo_mhp_0403","","0","1002013003"
"4","0","0","1002013","11","0","100211","ついに診察結果が…\nド、ドキドキ\nしてきちゃった…！","0","0","1002013004"
"","","","1002013","91","","0","","","","1002013005"
"1","0.2","","1002013","3","","100211","mhp_sit_idle_sad","","","1002013006"
"100","1.7","mhp_idle_normal","1007401","1","0","1","100211","-240","-1000","1007401001"
"100","1.7","mhp_sit_idle","1007401","1","1","1","117531","-220","185","1007401002"
"100","1.7","mhp_sit_idle","1007401","1","1","1","117631","-200","365","1007401003"
"-240","1","","1007401","31","","1","1","0.85","-154","1007401004"
"-230","0","","1007401","31","","23","123","0.85","-18","1007401005"
"110","1.7","NoItem","1007401","5","0","1","11","-220","-200","1007401006"
"105","1.7","NoItem","1007401","5","0","1","12","-220","-200","1007401007"
"110","1.7","NoItem","1007401","5","1","1","21","-220","185","1007401008"
"105","1.7","NoItem","1007401","5","1","1","22","-220","185","1007401009"
"1","0","","1007401","6","0","11","1","0","1","1007401010"
"1","0","","1007401","6","0","12","1","0","1","1007401011"
"1","0","","1007401","6","0","21","1","0","1","1007401012"
"1","0","","1007401","6","0","22","1","0","1","1007401013"
"110","1.7","NoItem","1007401","5","0","1","31","-220","-1000","1007401014"
"","","","1007401","91","","0","","","","1007401015"
"1","0.2","","1007401","3","","117531","mhp_sit_talk_normal","","","1007401016"
"0","","","1007401","21","","vo_mhp_1007401","vo_mhp_4001","","0","1007401017"
"8","0","0.5","1007401","11","0","117531","次の方どうぞー","0","0","1007401018"
"","","","1007401","91","","0","","","","1007401019"
"1","0.2","","1007401","3","","117531","mhp_sit_idle","","","1007401020"
"1","0.2","","1007401","3","","100211","mhp_anna_walk_sad","","","1007401021"
"-220","","","1007401","2","","100211","-200","0","4","1007401022"
"1","0.2","","1007401","3","","31","NoItem","","","1007401023"
"-220","","","1007401","2","","31","-200","0","4","1007401024"
"","","","1007401","91","","0","","","","1007401025"
"0","0.2","","1007401","3","0.2","100211","mhp_sit_in_sad","1","mhp_sit_idle_sad","1007401026"
"","","","1007401","93","","1","","","","1007401027"
"1","0.2","","1007401","3","","100211","mhp_sit_talk_sad","","","1007401028"
"0","","","1007401","21","","vo_mhp_1007401","vo_mhp_4002","","0","1007401029"
"7","0","0.5","1007401","11","0","100211","え、ええっと……ご無沙汰してます。","0","1","1007401030"
"","","","1007401","91","","0","","","","1007401031"
"1","0.2","","1007401","3","","100211","mhp_sit_idle_sad","","","1007401032"
"1","0.2","","1007401","3","","117531","mhp_sit_talk_normal","","","1007401033"
"0","","","1007401","21","","vo_mhp_1007401","vo_mhp_4003","","0","1007401034"
"6","0","0.5","1007401","11","0","117531","久しぶりねユイちゃん。\n前にみんなでオーエド町に\n来た時以来ね。","0","1","1007401035"
