801c5e948a4ca0013f058e7e9d5b312bcfa63f155a5dce7e12e61239239c65a1,c0748ec0d4d67c1e371b6ace66f131683a150b879fa85fcb2274a1482e5ac6a8,153671faa9a85a76ef90c93dfb6be33adb755c5e093252089990380ca9ec3ab5,d9259ad6792dc711acebb19b094b0b6c0cd67045414496aa6f8b06b1c7e0349d,75beb240b025f7c4ea0be49d1c957e93d9059a7fe7dfceb210921ce920d465c4,ccc7e64104a5458efd0f0ed6206cabd5148824cdacde8d5bbbea221f90c1762f,4463f3507b7375e456f56ab5c1acd254ceec55fbf7a795316837a8e6c22386dd,2b282df7bb7462510a1a17510f0727131803fb33bdbb368ba680e312e3133418,47e8d583973b9799df4267c1cfbbd965cad26342699b16bc897ba575140c5cc9,a974f2b098a8dfe48534ca5b964e31c8ec2e011a068c9ecc2e1a3fd282a28b6d,d6348c453b3ebc1ce949ce79b18b6fe75e6e3cfbf22d8237327afb37bf4576e7
"850","1","cmn_talk_def_N","400","-220","1032501","1","103211","1","1.5","1032501001"
"0","","","0","1","1032501","31","8","8","1","1032501002"
"0","","","0","1","1032501","31","7","7","1","1032501003"
"0","","","0","1","1032501","31","83","83","1","1032501004"
"0","","","0","1","1032501","31","3","3","1","1032501005"
"0","","","0","1","1032501","31","2","2","1","1032501006"
"0","","","0","1","1032501","31","1","1","1","1032501007"
"0","","","0","1","1032501","31","12","12","0","1032501008"
"1","","","","","1032501","3","blb_run_01","103211","0.3","1032501009"
"-220","","","1.3","0","1032501","2","90","103211","","1032501010"
"0","","","0","","1032501","25","bgm_M321_2C","bgm_M321","","1032501011"
"1.25","","","1.25","0","1032501","121","0","0","0","1032501012"
"0","","","0","1","1032501","32","1","12","1","1032501013"
"0","","","0","","1032501","23","se_sys_login_birthday_new_01","se_common","","1032501014"
"","","","","","1032501","93","","1.3","","1032501015"
"0","0.3","","blb_idle","0","1032501","3","blb_stop","103211","0.05","1032501016"
"-220","","","0.25","0","1032501","2","80","103211","","1032501017"
"","","","","","1032501","93","","1.4","","1032501018"
"1.4","","","1.4","1","1032501","121","0","0","3","1032501019"
"","","","","","1032501","131","","1","","1032501020"
"0","0.3","","blb_idle_02","1","1032501","3","blb_blowout_03","103211","0.3","1032501021"
"","","","","","1032501","93","","0.7","","1032501022"
"0","","","0","1","1032501","32","0","12","1","1032501023"
"0","","","0","1","1032501","31","13","13","1","1032501024"
"","","","","","1032501","93","","0.2","","1032501025"
"0","","","0","","1032501","23","se_sys_login_birthday_blow_candle","se_common","","1032501026"
"","","","","","1032501","93","","1.2","","1032501027"
"0","","","0","","1032501","23","se_adv_tickle_02","se_adv_tickle_02","","1032501028"
"0","","","0","1","1032501","31","4","4","1","1032501029"
"","","","","","1032501","93","","1","","1032501030"
"0","","","0","","1032501","23","se_sys_login_birthday_02","se_common","","1032501031"
"1","","","","0","1032501","3","blb_idle_02","103211","0.3","1032501032"
"","","","","","1032501","93","","1.05","","1032501033"
"0","","","0","","1032501","23","se_sys_login_birthday_cracker","se_common","","1032501034"
"0","","","0","1","1032501","31","6","6","1","1032501035"
"0","","","blb_wish_04","1","1032501","3","blb_joy_04","103211","0","1032501036"
"","","","","","1032501","93","","2","","1032501037"
"0","","","0","","1032501","21","vo_adv_1032501_000","vo_adv_1032501","","1032501038"
"","","","","","1032501","13","870","103211","","1032501039"
"6","0","","1","1","1032501","11","私のお誕生日を\nお祝いしてくださって\nありがとうございます！","103211","0","1032501040"
"","","","","","1032501","91","","0","","1032501041"
"0","","","0","","1032501","21","vo_adv_1032501_001","vo_adv_1032501","","1032501042"
"6","0","","1","1","1032501","11","それにしてもすばらしいケーキですわね。\nどちらの高名な菓子職人に\n依頼されたのでしょう？","103211","0","1032501043"
"","","","","","1032501","91","","0","","1032501044"
"0","","","0","","1032501","21","vo_adv_1032501_002","vo_adv_1032501","","1032501045"
"5","0","","1","1","1032501","11","あなたさまが作って\nくださったのですか！？\nすごい！　本当にすごいですわ！","103211","0","1032501046"
"","","","","","1032501","91","","0","","1032501047"
"0","","","0","","1032501","21","vo_adv_1032501_003","vo_adv_1032501","","1032501048"
"6","0","","1","1","1032501","11","食べてしまうのが\nもったいないくらいですが\n心して味わわせていただきます……！","103211","0","1032501049"
"","","","","","1032501","91","","0","","1032501050"
"0","","","0","","1032501","21","vo_adv_1032501_004","vo_adv_1032501","","1032501051"
"6","0","","1","1","1032501","11","あなたさまのお誕生日には気持ちを\n何倍も込めてお返しいたしますわ\n楽しみにしていてくださいまし♪","103211","0","1032501052"
"","","","","","1032501","91","","0","","1032501053"
"0","","","0","1","1032501","31","9","9","1","1032501054"
"","","","","","1032501","131","","0","","1032501055"
"0","","","0","","1032501","22","1","0","","1032501056"
"","","","","","1032501","111","","","","1032501057"
"","","","","","1032501","91","","0","","1032501058"
"850","1","cmn_talk_def_N","400","-220","1033501","1","103311","1","1.5","1033501001"
"0","","","0","1","1033501","31","8","8","1","1033501002"
"0","","","0","1","1033501","31","7","7","1","1033501003"
"0","","","0","1","1033501","31","80","80","1","1033501004"
"0","","","0","1","1033501","31","3","3","1","1033501005"
"0","","","0","1","1033501","31","2","2","1","1033501006"
"0","","","0","1","1033501","31","1","1","1","1033501007"
"0","","","0","1","1033501","31","12","12","0","1033501008"
"1","","","","","1033501","3","blb_run_01","103311","0.3","1033501009"
"-220","","","1.3","0","1033501","2","90","103311","","1033501010"
"0","","","0","","1033501","25","bgm_M321_2C","bgm_M321","","1033501011"
"1.25","","","1.25","0","1033501","121","0","0","0","1033501012"
"0","","","0","1","1033501","32","1","12","1","1033501013"
"0","","","0","","1033501","23","se_sys_login_birthday_new_01","se_common","","1033501014"
"","","","","","1033501","93","","1.3","","1033501015"
"0","0.3","","blb_idle","0","1033501","3","blb_stop","103311","0.05","1033501016"
"-220","","","0.25","0","1033501","2","80","103311","","1033501017"
"","","","","","1033501","93","","1.4","","1033501018"
"1.4","","","1.4","1","1033501","121","0","0","3","1033501019"
"","","","","","1033501","131","","1","","1033501020"
"0","0.3","","blb_idle","1","1033501","3","blb_blowout_02","103311","0.3","1033501021"
"","","","","","1033501","93","","0.7","","1033501022"
"0","","","0","1","1033501","32","0","12","1","1033501023"
"0","","","0","1","1033501","31","13","13","1","1033501024"
"","","","","","1033501","93","","0.2","","1033501025"
"0","","","0","","1033501","23","se_sys_login_birthday_blow_candle","se_common","","1033501026"
"","","","","","1033501","93","","1.2","","1033501027"
"0","","","0","","1033501","23","se_adv_tickle_02","se_adv_tickle_02","","1033501028"
"0","","","0","1","1033501","31","4","4","1","1033501029"
"","","","","","1033501","93","","1","","1033501030"
"0","","","0","","1033501","23","se_sys_login_birthday_02","se_common","","1033501031"
"1","","","","0","1033501","3","blb_idle","103311","0.3","1033501032"
"","","","","","1033501","93","","1.05","","1033501033"
"0","","","0","","1033501","23","se_sys_login_birthday_cracker","se_common","","1033501034"
"0","","","0","1","1033501","31","6","6","1","1033501035"
"0","","","blb_wish_02","1","1033501","3","blb_joy_02","103311","0","1033501036"
"","","","","","1033501","93","","2","","1033501037"
"0","","","0","","1033501","21","vo_adv_1033501_000","vo_adv_1033501","","1033501038"
"","","","","","1033501","13","870","103311","","1033501039"
"6","0","","1","1","1033501","11","急に牛乳と卵が欲しいっつうから\n何かと思ったけんど、まさか\nオラのためにこんな立派なケーキ\n用意してくれてただなんてな！","103311","0","1033501040"
"","","","","","1033501","91","","0","","1033501041"
"0","","","0","","1033501","21","vo_adv_1033501_001","vo_adv_1033501","","1033501042"
"5","0","","1","1","1033501","11","オラの食材とあんちゃんの腕……\nこれは二人の共同作業ってことに……\nな、なんでもねぇ！\n気にしねぇでけろ！","103311","0","1033501043"
"","","","","","1033501","91","","0","","1033501044"
"0","","","0","","1033501","21","vo_adv_1033501_002","vo_adv_1033501","","1033501045"
"6","0","","1","1","1033501","11","それにしても食べるのが\nもったいねぇいいケーキだなぁ……\nでも食べなきゃ食べねぇで\nもったいねぇよなぁ……","103311","0","1033501046"
"","","","","","1033501","91","","0","","1033501047"
"0","","","0","","1033501","21","vo_adv_1033501_003","vo_adv_1033501","","1033501048"
"6","0","","1","1","1033501","11","うーん……\nオラ一人で食べるのも申し訳ねぇし\nエリザベスパークのみんなで\n食べるべか！","103311","0","1033501049"
"","","","","","1033501","91","","0","","1033501050"
"0","","","0","","1033501","21","vo_adv_1033501_004","vo_adv_1033501","","1033501051"
"6","0","","1","1","1033501","11","みんなで過ごすのがオラにとって\n最高の誕生日だべ！\nあんがとな、あんちゃん！","103311","0","1033501052"
"","","","","","1033501","91","","0","","1033501053"
"0","","","0","1","1033501","31","9","9","1","1033501054"
"","","","","","1033501","131","","0","","1033501055"
"0","","","0","","1033501","22","1","0","","1033501056"
"","","","","","1033501","111","","","","1033501057"
"","","","","","1033501","91","","0","","1033501058"
"850","1","cmn_talk_def_N","400","-220","1034501","1","103411","1","1.5","1034501001"
"0","","","0","1","1034501","31","8","8","1","1034501002"
"0","","","0","1","1034501","31","7","7","1","1034501003"
"0","","","0","1","1034501","31","85","85","1","1034501004"
"0","","","0","1","1034501","31","3","3","1","1034501005"
"0","","","0","1","1034501","31","2","2","1","1034501006"
"0","","","0","1","1034501","31","1","1","1","1034501007"
"0","","","0","1","1034501","31","12","12","0","1034501008"
"1","","","","","1034501","3","blb_run_01","103411","0.3","1034501009"
"-220","","","1.3","0","1034501","2","90","103411","","1034501010"
"0","","","0","","1034501","25","bgm_M321_2C","bgm_M321","","1034501011"
"1.25","","","1.25","0","1034501","121","0","0","0","1034501012"
"0","","","0","1","1034501","32","1","12","1","1034501013"
"0","","","0","","1034501","23","se_sys_login_birthday_new_01","se_common","","1034501014"
"","","","","","1034501","93","","1.3","","1034501015"
"0","0.3","","blb_idle","0","1034501","3","blb_stop","103411","0.05","1034501016"
"-220","","","0.25","0","1034501","2","80","103411","","1034501017"
"","","","","","1034501","93","","1.4","","1034501018"
"1.4","","","1.4","1","1034501","121","0","0","3","1034501019"
"","","","","","1034501","131","","1","","1034501020"
"0","0.3","","blb_idle_02","1","1034501","3","blb_blowout_03","103411","0.3","1034501021"
"","","","","","1034501","93","","0.7","","1034501022"
"0","","","0","1","1034501","32","0","12","1","1034501023"
"0","","","0","1","1034501","31","13","13","1","1034501024"
"","","","","","1034501","93","","0.2","","1034501025"
"0","","","0","","1034501","23","se_sys_login_birthday_blow_candle","se_common","","1034501026"
"","","","","","1034501","93","","1.2","","1034501027"
"0","","","0","","1034501","23","se_adv_tickle_02","se_adv_tickle_02","","1034501028"
"0","","","0","1","1034501","31","4","4","1","1034501029"
"","","","","","1034501","93","","1","","1034501030"
"0","","","0","","1034501","23","se_sys_login_birthday_02","se_common","","1034501031"
"1","","","","0","1034501","3","blb_idle_02","103411","0.3","1034501032"
"","","","","","1034501","93","","1.05","","1034501033"
"0","","","0","","1034501","23","se_sys_login_birthday_cracker","se_common","","1034501034"
"0","","","0","1","1034501","31","6","6","1","1034501035"
"0","","","blb_wish_04","1","1034501","3","blb_joy_04","103411","0","1034501036"
"","","","","","1034501","93","","2","","1034501037"
"0","","","0","","1034501","21","vo_adv_1034501_000","vo_adv_1034501","","1034501038"
"","","","","","1034501","13","870","103411","","1034501039"
"4","0","","1","1","1034501","11","わあ……素敵なケーキね！\nえ？　キミが作ったの？\nすごいじゃない！","103411","0","1034501040"
"","","","","","1034501","91","","0","","1034501041"
"0","","","0","","1034501","21","vo_adv_1034501_001","vo_adv_1034501","","1034501042"
"6","0","","1","1","1034501","11","麦しゅわに合わないかも……って、\nそんな気を使わなくていいわよ。\nだって、今日は飲むつもりはないもの。","103411","0","1034501043"
"","","","","","1034501","91","","0","","1034501044"
"0","","","0","","1034501","21","vo_adv_1034501_002","vo_adv_1034501","","1034501045"
"5","0","","1","1","1034501","11","なんでって、それは……\nキミがお祝いに来てくれるかも、\nなんて思ってたから……","103411","0","1034501046"
"","","","","","1034501","91","","0","","1034501047"
"0","","","0","","1034501","21","vo_adv_1034501_003","vo_adv_1034501","","1034501048"
"5","0","","1","1","1034501","11","だから、今日は麦しゅわは封印よ。\n麦しゅわもありの大人な誕生日は、\nキミが大人になってから……ね？","103411","0","1034501049"
"","","","","","1034501","91","","0","","1034501050"
"0","","","0","1","1034501","31","9","9","1","1034501051"
"","","","","","1034501","131","","0","","1034501052"
"0","","","0","","1034501","22","1","0","","1034501053"
"","","","","","1034501","111","","","","1034501054"
"","","","","","1034501","91","","0","","1034501055"
"850","1","cmn_talk_def_N","400","-220","1046501","1","104611","1","1.5","1046501001"
"0","","","0","1","1046501","31","8","8","1","1046501002"
"0","","","0","1","1046501","31","7","7","1","1046501003"
"0","","","0","1","1046501","31","79","79","1","1046501004"
"0","","","0","1","1046501","31","3","3","1","1046501005"
"0","","","0","1","1046501","31","2","2","1","1046501006"
"0","","","0","1","1046501","31","1","1","1","1046501007"
"0","","","0","1","1046501","31","12","12","0","1046501008"
"1","","","","","1046501","3","blb_run_01","104611","0.3","1046501009"
"-220","","","1.3","0","1046501","2","90","104611","","1046501010"
"0","","","0","","1046501","25","bgm_M321_2C","bgm_M321","","1046501011"
"1.25","","","1.25","0","1046501","121","0","0","0","1046501012"
"0","","","0","1","1046501","32","1","12","1","1046501013"
"0","","","0","","1046501","23","se_sys_login_birthday_new_01","se_common","","1046501014"
"","","","","","1046501","93","","1.3","","1046501015"
"0","0.3","","blb_idle","0","1046501","3","blb_stop","104611","0.05","1046501016"
"-220","","","0.25","0","1046501","2","80","104611","","1046501017"
"","","","","","1046501","93","","1.4","","1046501018"
"1.4","","","1.4","1","1046501","121","0","0","3","1046501019"
"","","","","","1046501","131","","1","","1046501020"
"0","0.3","","blb_idle","1","1046501","3","blb_blowout_02","104611","0.3","1046501021"
"","","","","","1046501","93","","0.7","","1046501022"
"0","","","0","1","1046501","32","0","12","1","1046501023"
"0","","","0","1","1046501","31","13","13","1","1046501024"
"","","","","","1046501","93","","0.2","","1046501025"
"0","","","0","","1046501","23","se_sys_login_birthday_blow_candle","se_common","","1046501026"
"","","","","","1046501","93","","1.2","","1046501027"
"0","","","0","","1046501","23","se_adv_tickle_02","se_adv_tickle_02","","1046501028"
"0","","","0","1","1046501","31","4","4","1","1046501029"
"","","","","","1046501","93","","1","","1046501030"
"0","","","0","","1046501","23","se_sys_login_birthday_02","se_common","","1046501031"
"1","","","","0","1046501","3","blb_idle","104611","0.3","1046501032"
"","","","","","1046501","93","","1.05","","1046501033"
"0","","","0","","1046501","23","se_sys_login_birthday_cracker","se_common","","1046501034"
"0","","","0","1","1046501","31","6","6","1","1046501035"
"0","","","blb_wish_02","1","1046501","3","blb_joy_02","104611","0","1046501036"
"","","","","","1046501","93","","2","","1046501037"
"0","","","0","","1046501","21","vo_adv_1046501_000","vo_adv_1046501","","1046501038"
"","","","","","1046501","13","870","104611","","1046501039"
"6","0","","1","1","1046501","11","にゃはは～！\n誕生日のお祝いしてくれて\nどうもありがとにゃ！","104611","0","1046501040"
"","","","","","1046501","91","","0","","1046501041"
"0","","","0","","1046501","21","vo_adv_1046501_001","vo_adv_1046501","","1046501042"
"6","0","","1","1","1046501","11","たい焼きの他にケーキまで\n作れるにゃんて……\nキミって意外と料理上手にゃ？","104611","0","1046501043"
"","","","","","1046501","91","","0","","1046501044"
"0","","","0","","1046501","21","vo_adv_1046501_002","vo_adv_1046501","","1046501045"
"6","0","","1","1","1046501","11","にゃにゃ……？\nキミのケーキを見てたら\n新しいたい焼きのアイデアが\nどんどん湧いてきたにゃ！","104611","0","1046501046"
"","","","","","1046501","91","","0","","1046501047"
"0","","","0","","1046501","21","vo_adv_1046501_003","vo_adv_1046501","","1046501048"
"6","0","","1","1","1046501","11","にゃっふっふ……\nそれじゃ今度、絶品のたい焼きを\nキミにごちそうしてあげるにゃ！\n楽しみに待ってるといいにゃ♪","104611","0","1046501049"
"","","","","","1046501","91","","0","","1046501050"
"0","","","0","1","1046501","31","9","9","1","1046501051"
"","","","","","1046501","131","","0","","1046501052"
"0","","","0","","1046501","22","1","0","","1046501053"
"","","","","","1046501","111","","","","1046501054"
"","","","","","1046501","91","","0","","1046501055"
"850","1","cmn_talk_def_N","400","-220","1051501","1","105111","1","1.5","1051501001"
"0","","","0","1","1051501","31","8","8","1","1051501002"
"0","","","0","1","1051501","31","7","7","1","1051501003"
"0","","","0","1","1051501","31","81","81","1","1051501004"
