6c54915d54fc5068db700ddbd2c19c26fcd92106f9768e2478601b7753314f57,7246d41228683f66284eec5d319c60cbf64b605005678444a6b20ba9277e04df,a34305e33471231726d886fc3f99ab6c4d544fb7886369f4372b32b3125686ff,20dcb51b2663e28935e64b65c0867a5e977d75a1ba68ed98f18eb259b7ba5533,6e847ec4e3b8bf3f75c973f15aaca86f660af4cdbbc4ce3c65e2055dd47beb40
"100","30109001","91002","1","8"
"10","30109001","20002","2","2"
"100","30109002","91002","3","8"
"40000","30109002","94002","4","12"
"300","30109003","91002","5","8"
"500","30109004","91002","6","8"
"500","30109005","91002","7","8"
"1000000","30109005","94002","8","12"
"500","30109006","91002","9","8"
"500000","30109006","94002","10","12"
"600","30110001","91002","11","8"
"200000","30110006","94002","12","12"
