11c42ba8e34920dcd4b1bc19ad9a7099707848500e73ac080c55c9d9be5e4438,cda6dbda66062f7305152a0a6651454a4ff7ebc14e198926f08d1cdc100b0a8b,9342219a9c6d8037e9ed20a332b4ec4bbe8114f24f7afee50e4c78eb9587d71a,fed9a3f10a0bdb0ec5e8e48f2a40694c8d22087dd4e9f17b6863d5bfc24ff516,43acae5b45341a92e170134b4991d569ccd93f58f372b490ca7e86e90cf2add3,67fc41aa7c2d77b0b976ecb2ca1581e51b0ce54684b0b022e4044386c263f25b,d5c3a526196fbee83f562ed65aa5362162fad1f2089d8007d827b0fd1285a2e6,a84af554da806b4978ccbb62fda6da12e22e772bf9bd785ab5b679c8b7e4f0b1,558a1e67063f8c17762ced7dce5d8892a9acae5bb32fa54d407b5a684ac34ee2,82970d28409cd39975c794257be1e1888b141170ff0dab346a9d517cf584e5cf
"111","3","25101","0","0","0","5000000","0","2","101"
"211","3","25101","0","0","0","5000000","0","2","201"
"311","2","25101","0","0","0","5500000","0","2","301"
"411","2","25101","0","0","0","5500000","0","2","401"
"511","3","25101","0","0","0","6000000","0","2","501"
"611","2","25101","0","0","0","6000000","0","2","601"
"711","2","25101","0","0","0","6500000","0","2","701"
"811","2","25101","0","0","0","6500000","0","2","801"
"911","3","25101","0","0","0","7000000","0","2","901"
"1011","2","25101","0","0","0","7000000","0","2","1001"
"1111","2","25101","0","0","1112","7500000","0","2","1101"
"1211","2","25101","0","0","1212","7500000","0","2","1201"
"1311","3","25101","0","0","0","8000000","0","2","1301"
"1411","2","25101","0","0","0","8000000","0","2","1401"
"1511","2","25101","0","0","0","8500000","0","2","1501"
"1611","2","25101","0","0","0","8500000","0","2","1601"
"1711","3","25101","0","0","0","9000000","0","2","1701"
"1811","2","25101","0","0","1812","9000000","0","2","1801"
"1911","2","25101","0","0","0","9500000","0","2","1901"
"2011","2","25101","0","0","0","9500000","0","2","2001"
"2111","3","25101","0","0","0","10000000","0","2","2101"
"2211","2","25101","0","0","0","10000000","0","2","2201"
"2311","2","25101","0","0","0","10500000","0","2","2301"
"2411","2","25101","0","0","0","10500000","0","2","2401"
"2511","3","25101","0","0","0","11000000","0","2","2501"
"2611","2","25101","0","0","2612","11000000","0","2","2601"
"2711","2","25101","0","0","2712","11500000","0","2","2701"
"2811","2","25101","0","0","2812","11500000","0","2","2801"
"2911","3","25101","0","0","0","12000000","0","2","2901"
"3011","2","25101","0","0","3012","12000000","0","2","3001"
"3111","2","25101","0","0","0","12500000","0","2","3101"
"3211","2","25101","0","0","0","12500000","0","2","3201"
"3311","3","25101","0","0","0","13000000","0","2","3301"
"3411","3","25101","0","0","0","13000000","0","2","3401"
"3511","3","25101","0","0","0","13500000","0","2","3501"
"3611","3","25101","0","0","0","13500000","0","2","3601"
"3711","3","25101","0","0","0","13500000","0","2","3701"
"3811","3","25101","0","0","3812","14000000","0","2","3801"
"3911","3","25101","0","0","0","14000000","0","2","3901"
"4011","3","25101","0","0","0","14000000","0","2","4001"
"4111","3","25101","0","0","0","14500000","0","2","4101"
"4211","3","25101","0","0","4212","14500000","0","2","4201"
"4311","3","25101","0","0","0","14500000","0","2","4301"
"4411","3","25101","0","0","0","15000000","0","2","4401"
"4511","3","25101","0","0","0","15000000","0","2","4501"
"4611","3","25101","0","0","0","15000000","0","2","4601"
"4711","3","25101","0","0","0","15500000","0","2","4701"
"4811","3","25101","0","0","0","15500000","0","2","4801"
"4911","3","25101","0","0","0","15500000","0","2","4901"
"5011","3","25101","0","0","0","16000000","0","2","5001"
"5111","3","25101","0","0","0","16000000","0","2","5101"
"5211","3","25101","0","0","0","16000000","0","2","5201"
