d1053c054ee14b6b2f6d85f9e5df5998db9eb193e74bb39ab05dbfb389ba4a3b,cf0ce578972da6db7bdf398f7868a2278113986cb5e5628448c45eba8370e9c6,d3885a8bfa6f31166d37fa2fd63382ca054f35f0a828824ec32bf71b2c24ab34,85aa5e40d2ccc5d80781648057b74153659c00e17c515490d49a17c0ee498add,b1596adb5d89c5c31788a2e5a458a46623cdaf86d687e58c953574d27d45513e,e6b081f68a7d98f615e064a6893bdd396cc0ad56278fac38f9b76307d88b0897
"10009101","1","1","0","1","10009106"
"10009101","2","1","0","1","10009112"
"10010101","3","1","0","1","10010110"
"10019101","4","2","0","1","1001901"
"10021101","5","1","0","1","10021112"
"10025101","6","1","0","1","10025109"
"10025","7","3","500810","2","5025001"
"20009101","8","1","0","1","20009106"
"20009101","9","1","0","1","20009112"
"20010101","10","1","0","1","20010110"
"10042","12","3","501001","2","5042001"
"20015101","13","2","0","1","2001501"
"10044","14","3","501031","2","5044001"
"20016101","15","1","0","1","20016112"
"10046","16","3","501103","2","5046002"
"10049101","17","1","0","1","10049109"
"10066101","19","1","0","1","10066112"
"10066","20","3","501291","2","5066005"
"10069","21","3","501001","2","5042001"
"10071","22","3","501031","2","5044001"
"10068","23","3","501341","2","5068001"
"10070","24","3","501353","2","5070004"
"10070","25","3","500016","2","5070005"
"10072","26","3","501364","2","5072004"
"10072","27","3","501365","2","5072006"
"10073","28","3","501103","2","5046002"
"10074","29","3","501383","2","5074001"
"10076101","30","1","0","1","10076112"
"10076","31","3","505036","2","5076005"
"10078","32","3","501451","2","5078004"
"10080","33","3","501463","2","5080005"
"10082101","34","1","0","1","10082105"
"10082102","35","1","0","1","10082108"
"10082103","36","1","0","1","10082111"
"10082","37","3","501160","2","5082002"
"10082","38","3","501031","2","5082004"
"10082","39","3","501483","2","5082005"
"10084","40","3","500368","2","5084001"
"10084","41","3","510306","2","5084002"
"10084","42","3","500039","2","5084003"
"10085","43","3","500368","2","5085002"
"10085","44","3","510203","2","5085003"
"10085","45","3","500272","2","5085004"
"10085","46","3","501501","2","5085005"
"10088","47","3","501810","2","5088005"
"20025","50","3","501001","2","5042001"
"10090","51","3","501541","2","5090002"
"20026","55","3","501031","2","5044001"
"10093101","56","1","0","1","10093112"
"10093","57","3","501291","2","5066005"
"20027","58","3","501103","2","5046002"
"10092","59","3","501031","2","5092001"
"10092","60","3","501551","2","5092004"
"10094","61","3","501593","2","5094001"
"10095","62","3","501341","2","5068001"
"20018","67","3","500810","2","5025001"
"10096","68","3","501613","2","5096002"
"10097","73","3","501353","2","5070004"
"10097","74","3","500016","2","5070005"
"10098","75","3","501031","2","5098000"
"10098101","76","1","0","1","10098104"
"10098102","77","1","0","1","10098111"
"10099","78","3","501364","2","5072004"
"10099","79","3","501365","2","5072006"
"10100","80","3","500837","2","5100003"
"10101","82","3","501383","2","5074001"
"10101","83","3","501383","2","5074001"
"10102","84","3","501873","2","5102002"
"10103101","85","1","0","1","10103112"
"10103","86","3","505036","2","5076005"
"10108","88","3","501911","2","5108002"
"10104","89","3","500133","2","5104003"
"10105","90","3","501451","2","5078004"
"10110","93","3","501931","2","5110005"
"10111","94","3","500013","2","5111005"
"10107","95","3","501463","2","5080005"
"10109101","96","1","0","1","10109105"
"10109102","97","1","0","1","10109108"
"10109103","98","1","0","1","10109111"
"10109","99","3","501160","2","5082002"
