39f9cfcf36779fa0c9418e1ba8d5d2931ab663a38cb16f09d890f1009542862d,a349d9dfb14adc47dfce231ac6ecf4aa860453e25bea98226eff3873d91daa2b,5cbb060bededf593dd28d23e53afbc1d8362836a84655b864a44a8d3739f57b3,c7aa8b7b4b6bc2fe43e991c2b482c06d8472775ea2f79391cb045ce3644b2df3,e4c58fc469fe0e44a2056b0860cdd0dd92f6edbd23a52ae4d95b4e15188f1d1b,6041a4f577e781ca9a0f4d3e0fb049aa4167f0d954a708ef3f7f1c9793f61870,b6e92c27617c35c68fc1f8ca3ac2bd9a8f95985e1d42d36d375c234ec56798cc,61c03858612608166e4935937a23bcd44115f9e9cf04fb4c9af8ecb3d4b7f6a4,89852cef15c68a54d538e78958dc025a910feb938b19803c3c3f5e03fef241df,e798ffda7e71087f767c17f08fd1886da6ea0c2836eea8f10d686dff67acd11b,d3cb48258cf206bf02552d0a02ca5c6ededc29cd9071a72498bb344f74883dbe
"1001","-194","sjr_talk_idle","1.65","1","1","1","100","40","1","122611"
"1002","","","0.2","1","122611","","1","","3","sjr_talk_wish_look"
"1003","","","","1","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_001"
"1004","0","1","0","1","122611","0","10","1","11","騎士クン…見ててね\nわたし、頑張って\n走るから…！"
"1005","","","","1","0","","","","91",""
"1006","","","0.2","1","122611","","1","","3","sjr_talk_idle"
"2001","-194","sjr_talk_idle","1.65","2","1","1","100","40","1","122611"
"2002","","","0.2","2","122611","","1","","3","sjr_talk_mouth_hidden_shy"
"2003","","","","2","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_002"
"2004","0","1","0","2","122611","0","7","1","11","水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…"
"2005","","","","2","0","","","","91",""
"2006","","","0.2","2","122611","","1","","3","sjr_talk_idle"
"3001","-194","sjr_talk_idle","1.65","3","1","1","100","40","1","122611"
"3002","1","","0.2","3","122611","0","0","sjr_talk_stepback_worry","3","sjr_talk_stepback_surprise_worry"
"3003","","","","3","vo_minigame_1010","","0","0","21","vo_minigame_1010_top_talk_1_003"
"3004","0","1","0","3","122611","0","8","1","11","あ、あの人すごく\n速そう…！\nわたし、勝てるかな…"
"3005","","","","3","0","","","","91",""
"3006","","","0.2","3","122611","","1","","3","sjr_talk_idle"
