a3b1d22f9e67ac55f3d691b074c295278d8dce92625325e2d1696b2c8813553b,e06cedc0ad517ca8721a56c22252a8b4b22034584f0ae76aa69ce7075ece5744,2f41275bbadd015fcd266892a8ba35c2142655198767ca155371b6306b3f8b21,7c514cd0a2c12c9c7b0696310736fb3089a643c55328e61398aaac30ff8ddeca,fc82d563434580efeaf9c3c6d564d6077ce7440706f25afd83eadf597d54bdf7,b03f22ee0a4339c11b7fac2e27388e327d2424bc05e67c43e35b562b61273a35,375fa192c2f258cac40bd6fc64197183bd8c28fce0142bbba3219dde637266e4,89757d3eb653f7fc1d7dec3e8b1af9daca2994dc16c957ab0af8ff307c5ae66d,f760098b4f6119df9401895449e93308dcf8cdf12113ea9625074789aa9450ee,81b7d75370b5cf027015d15b36bd695710b74c374ee60d93f82c7f462de6d2d5,e9433f79407e07bd9ee99fd61c7a8820a585aa12f9a5799322d8177e612ca990
"二人だけの時間","8","25","0","2","5128071","0","10157107","91002","10128","0"
"新居の必須条件","8","25","0","2","5128072","5128071","0","91002","10128","0"
"本当は誰よりも","8","25","0","2","5128073","5128072","0","91002","10128","0"
"家族で大切に\nしたいこと","8","25","0","2","5128074","5128073","0","91002","10128","0"
"誓いの言葉","8","50","0","2","5128075","5128074","0","91002","10128","0"
"血の婚約報告","8","25","0","3","5128081","0","10157107","91002","10128","0"
"風来人の家探し","8","25","0","3","5128082","5128081","0","91002","10128","0"
"愛おしい時間","8","25","0","3","5128083","5128082","0","91002","10128","0"
"トーゴクの\n家族文化","8","25","0","3","5128084","5128083","0","91002","10128","0"
"飾らない愛を","8","50","0","3","5128085","5128084","0","91002","10128","0"
"口約束は災いのもと","0","0","0","4","5128091","5128075","0","0","10128","5128085"
"譲れない家庭の味","0","0","11001271","4","5128092","5128091","0","0","10128","0"
"夢の語り部に誘われて","0","0","0","1","5128161","0","10157107","0","10128","0"
