2c60e7ede46c9cd2b896fc6f5c44365f51b1c7e0d662d531c361b95df16b086b,f56195194b6723a779cf9b520c66c2bf5c266ef71e17a3dea275f7c1bb91ae05,4f42acb29a5b7b7b9a9043ab03f5339f714dbb76118d46ac9662ce4267a706d1,a8a57bd9aa7205e103365cea9ff817ecb8188ddcf48680f1748be3b53199880f,c942a473aa666310586a2ba652d14765a531e937f2a56cd33da1799085357ad2,f04ffe6377fc3ea57f6f026458eaf7d76112c38f134239f59dac86d15b795337,5de0c15908a526a5461b930e10f014c245bfb91efbe5ba6f51b6295166740158,6e9f5ee1c061f8acedcc1c024d8db51619405e653848a8bb588f78bfc85b523b,b4697b751d4571780292eeb21f6af32d84c6ac7db33a0d9818c579821a3d9605,369d4639042cb8caa3349959203617980a5d14fa242b45c85d3cba7b51de8bdf,679b0e12c21fbd5fd6c34c34ca7ced5303f6d1e6af9b5aa0391772a3ca75fd91,707d2aa8340ce90028a20dc9534f70140ce2b807d54984a15a309d72379359ae,925cdfa2cf5cd452a8b4c49e059e066aa048ad44f052a44ef145a087d271bff3,ee3c84f58dfaf6915255f89e6a132ee3f00b3d6a0a855ac52925db09f048eb5d,62a571e463ec7c6523805e323c31826531f64dbc07b76db797e8f490fb09b132
"フリーマーケットを訪れたジータが出会ったのは\n城をこっそり抜け出していたペコリーヌだった。","8","40","2834","0","フリーマーケット会場","5118061","2","10118","91002","ペコリーヌとの出会い","20063115","7","青空の下で謁見","1"
"ジータたちがフリーマーケットを巡っていると\n露店を出していたマホに声をかけられる。","8","40","2835","0","フリーマーケット会場","5118062","2","10118","91002","マホとの出会い","20063115","7","未来の騎空団\nマスコット？","1"
"ジータが騎空団への依頼を確認していると、\n高笑いをしながらアキノが現れる。","8","40","2837","0","ランドソル市街地","5118063","2","10118","91002","アキノとの出会い","20063115","7","お嬢さまからの\n緊急依頼","1"
"ジータたちは、フリーマーケット会場で\n少し困った様子のジュンを見かける。","8","40","4108402","0","フリーマーケット会場","5118064","2","10118","91002","ジュンとの出会い","20063115","18","黄金色の悩みごと","1"
"フリーマーケットの隅で開かれる格闘大会──\nそこにはカオリもいて……？","8","40","4107402","0","フリーマーケット会場","5118065","2","10118","91002","カオリとの出会い","20063115","18","白熱！　格闘大会！","1"
"太鼓祭を控えるオーエド町──\nジータは、困った様子のニノンと出会う。","8","40","9000227","1","オーエド町","5118066","2","10118","91002","ニノンとの出会い","20063115","16","祭り太鼓はオーエドの華","1"
"ビカラはイベントに出演中のスズナを見かける。\nしかし、スズナはどこか困っているようで……？","8","40","2101181","0","フリーマーケット会場","5118067","3","10118","91002","スズナとの出会い","20063115","19","人気者は遅れて\nやってくる","1"
"ビカラたちが街を散策していると、通りかかった\nナナカが興奮した様子で近づいてきて……？","8","40","4109402","0","ランドソル市街地","5118068","3","10118","91002","ナナカとの出会い","20063115","18","巫女・ミーツ・魔法少女","1"
"ネズ耳をなくしてしまい絶望するビカラ。同じ頃\nキャルとコッコロは落とし物を拾っており……","8","40","4305402","0","フリーマーケット会場","5118069","3","10118","91002","キャル＆コッコロとの出会い","20063115","18","ネズ耳は二度なくなる","1"
"街外れでひと休みをしていたビカラたちは、\nすっかりゴキゲンな様子のユカリと出会う。","8","40","4101402","0","ランドソル市街地","5118070","3","10118","91002","ユカリとの出会い","20063115","18","この出会いにカンパイ！","1"
"ビカラは、人混みに怯えるアオイを心配し、\n陽気に声をかけるも……","8","40","4106402","0","ランドソル市街地","5118071","3","10118","91002","アオイとの出会い","20063115","18","陰陽アンサンブル","1"
"ビカラがフリーマーケット会場を歩いていると\n占いをしていたシノブに声をかけられる。","8","40","2836","1","フリーマーケット会場","5118072","3","10118","91002","シノブとの出会い","20063115","7","運試し十番勝負！","1"
"0","0","0","0","0","0","5118600","1","10118","0","オープニング","20063115","0","彼女たちの新たな日常","0"
