0ad84845163d0a8dbf8ec1df209ae3eb49af0372d5d32196314faa531fd3fb31,575f68e292aebb839651c77a1dd4ab32ff81351537019e066be588a4e7fec048,67c1d6416f57a71df30fcde1c1c3d67d9f6e5898195762b1f25fb139a7a280c5,8c91d52127ddb6bce9f27ed9ff7f37539380d904c42491a04b07c87f1971dcf8,d2564b53b461390f07e14a96a76e922567e430ea1f7b297804b11d701d0dd0d2,77d0b367c2d34c8729b5e333f09d96aaa92d73e84fab48ab87850f11324b245d,6dcb778c166b39d96fe65b904fcaec513b75fa16216bf95514a3e77f6055aca6,fa3817561cbbc85e6626c075fe13483efc17d9d53c7aeda72cf66df7a3893c9c,51af7597f49f1dd5968d0d3ffa280a94da11da2307170b274f878da686fc3c13,bfd229d25c789584d14d675099e5217ad92b1642498b86060721c479b4012545,2082395338e8deb8d18f7e86bba497e9d6b6f004f6f4836fe6b7b94de93d5d13,7c8e494dde431f0ecedc720995cc3f3f836c1e90028c3425898be841b79eafa6
"924073101","90","92407","924071100","1","500000000","92407110","0","92407120","1","1","924072101"
"924073102","90","92407","924071200","1","1000000000","92407120","92407110","92407130","2","2","924072102"
"924073103","90","92407","924071300","1","1500000000","92407130","92407120","92407140","3","3","924072103"
"924073104","90","92407","924071400","1","0","92407140","92407130","0","4","3","924072104"
"924073201","90","92407","924072100","1","500000000","92407210","0","92407220","1","1","924072201"
"924073202","90","92407","924072200","1","1000000000","92407220","92407210","92407230","2","2","924072202"
"924073203","90","92407","924072300","1","1500000000","92407230","92407220","92407240","3","3","924072203"
"924073204","90","92407","924072400","1","0","92407240","92407230","0","4","3","924072204"
"924073301","90","92407","924073100","1","500000000","92407310","0","92407320","1","1","924072301"
"924073302","90","92407","924073200","1","1000000000","92407320","92407310","92407330","2","2","924072302"
"924073303","90","92407","924073300","1","1500000000","92407330","92407320","92407340","3","3","924072303"
"924073304","90","92407","924073400","1","0","92407340","92407330","0","4","3","924072304"
"924083101","90","92408","924081100","1","500000000","92408110","0","92408120","1","1","924082101"
"924083102","90","92408","924081200","1","1000000000","92408120","92408110","92408130","2","2","924082102"
"924083103","90","92408","924081300","1","1500000000","92408130","92408120","92408140","3","3","924082103"
"924083104","90","92408","924081400","1","0","92408140","92408130","0","4","3","924082104"
"924083201","90","92408","924082100","1","500000000","92408210","0","92408220","1","1","924082201"
"924083202","90","92408","924082200","1","1000000000","92408220","92408210","92408230","2","2","924082202"
"924083203","90","92408","924082300","1","1500000000","92408230","92408220","92408240","3","3","924082203"
"924083204","90","92408","924082400","1","0","92408240","92408230","0","4","3","924082204"
"924083301","90","92408","924083100","1","500000000","92408310","0","92408320","1","1","924082301"
"924083302","90","92408","924083200","1","1000000000","92408320","92408310","92408330","2","2","924082302"
"924083303","90","92408","924083300","1","1500000000","92408330","92408320","92408340","3","3","924082303"
"924083304","90","92408","924083400","1","0","92408340","92408330","0","4","3","924082304"
"924093101","90","92409","924091100","1","500000000","92409110","0","92409120","1","1","924092101"
