249425533a3f10f5447d0dcedcc258059beee0ef6d3112e5b65bf59a4a2b9dd0,af59136a4743d9e3b09e11d8503d89b750806bce570699133443a9592e22c7fe,b5293e16518f71eda16d27e5900a22b0c44ec4c1f21130d52fcaf82f8d126f45
"1","0","1"
"1","1","1"
"1","2","1"
"1","5","1"
"2","0","1"
"2","1","1"
"2","2","1"
"2","5","1"
"3","0","1"
"3","1","1"
"3","2","1"
"3","5","1"
"4","0","1"
"4","1","1"
"4","2","1"
"4","5","1"
"5","0","1"
"5","1","1"
"5","2","1"
"5","5","1"
"6","0","1"
"6","1","1"
"6","2","1"
"6","5","1"
"7","0","1"
"7","1","1"
"7","2","1"
"7","5","1"
"8","0","1"
"8","1","1"
"8","2","1"
"8","5","1"
"9","0","1"
"9","1","1"
"9","2","1"
"9","5","1"
"10","0","1"
"10","1","1"
"10","2","1"
"10","5","1"
