0453c6651abf070723fa6a0a3a672a6478fea942f6dd80e5c748f2e46db015ed,f3897b9412963f79d6bee462ebd5bb3d2b14afdb06fbbbbf08a03723c5ec9df5,164b8758df8815b174e631832d90792c87e383e1d3565bb50468d62b48bcd21a,25df04ac71ea6ec695dd86d465cca0df3b04df7afb56b6cb67091dad6f783422,f59b1633461f8b53a767b8eebdb59306cf0a644e500361e23e9245dcd7c1591d,1f00afeb88009b2e2c6a2db612b36a37e4d585747d1651e8cf71697f9ecc3020,ab5c7c51a863fe71a6fc78716443bbb23609ca57efb860c397b0cee8a0369b4b,20eed6e14308705e9e8de03b920716a152e34a79559441f0d7bf2cfb6f6c2507
"10001101","bgm_M32","10001101","bgm_M32","タルグム地方","10001","10001","10001"
"10002101","bgm_M98_2","10002101","bgm_M98","マシーナ地方","10002","10002","10002"
"10003101","bgm_M106","10003101","bgm_M106","ランドソル郊外","10003","10003","10003"
"10004101","bgm_M112","10004101","bgm_M112","タパスビーチ周辺","10004","10004","10004"
"10005101","bgm_M121","10005101","bgm_M121","イルシオンの孤島","10005","10005","10005"
"10006101","bgm_M128","10006101","bgm_M128","王都ランドソル","10006","10006","10006"
"10007101","bgm_M135","10007101","bgm_M135","ランドソル近郊","10007","10007","10007"
"10008101","bgm_M121","10008101","bgm_M121","ランドソル近郊","10008","10008","10008"
"10009101","bgm_M171","10009101","bgm_M171","クリスマス","10009","10009","10009"
"10010101","bgm_M121","10010101","bgm_M121","神殿への参道","10010","10010","10010"
"10011101","bgm_M189","10011101","bgm_M189","バレンタイン","10011","10011","10011"
"10012101","bgm_M206","10012101","bgm_M206","王都ランドソル","10012","10012","10012"
"10013101","bgm_M215","10013101","bgm_M215","マナリア","10013","10013","10013"
"10014101","bgm_M32","10014101","bgm_M32","タルグム地方","10014","10014","10014"
