b89c39b8b57681ad2433190d7c8911f3f9afa480dd66b631ae66c81e74a08710,b82e76f33d826ce50e55ef13186d1b9439a46db2aad4bfe6f8f469dce9d6b6d9,2a7b3d528bc5eac6e38f24b56a82b3a77e544dac69ed30b088cbd525a998206f,1c9fee8c08c8d5ff5d5f83b7ca857854921c312bcada4306e316a71a0f0e3033,4fb4f6a63e9ef7c320ff8d36f41d59502cece7f42e20c4bf4db8d13062093be8,cb63242cedfed0e79489bcf2b1a9948e75e3b5676b740139b061ef357869c9ee,3aa27056d2284d34a8e8aad6c5de36a2901879a801ad68eec736889921cdbf1a
"3","0","0","1","1","料理入手イベント","0"
"1","0","0","2","2","ダイス入手イベント1","0"
"2","0","0","2","3","ダイス入手イベント2","0"
"0","0","1","3","4","ターン数カウントスキップ","3"
"100","1","0","4","5","マイル+100%","2"
"100","1","0","5","6","ミニゲームマイル+100%","2"
"300","1","0","6","7","ショップ割引イベント","3"
"300","1","0","6","8","ショップ割引イベント","3"
"0","0","2","3","98001","ターン数カウントスキップ1","3"
"0","0","1","3","98011","ターン数カウントスキップ1","3"
"0","0","2","3","98012","ターン数カウントスキップ2","3"
