db744d951ce009a62373df423f2959008cd7791d6340354db9aea492dfd95573,5766f1dc27be981360d771a26864aab7e30b569c057c4d3a4665655cc70b1461,60e6ace05bf5240c665a92f8675be41e53ba2f1c960b5820fc85fcca5231428f,ddd31fc0b764e884769c568e182840b9937fcef3a13fc8cad2171ea96de9c854,c23f2fedb8ec3773a715ce4523f32991bce2d6e7d79e33059fced8ff57e97680,31b14e97ef7637eb897716a57c24d4ed6acf5b7a45397ed9665e79aea3f8afeb,0ae9a835d49c9b735fefdd610f5821e319062cef5005a3993f2dc81824c83964,cb908622cd6f16e62faa8ca57bf7e6e6f913c5c243e6d6721ffc000d61dfdd65,7cfe4ba201cf35a4a1426733885397a1860e8c8f66aea272450ed9800ca713b2,7c2ea0efd457fd63f8b726eca883e2d5133b2c8a93577bab37bd8e00808e4b08,ed0fcbd1a21cdf8e54fedb5f77595802c984236d8ede54232d1a2a337e0ac4f4
"25","二人だけの時間","5128071","0","0","91002","10128107","2","10128","0","8"
"25","新居の必須条件","5128072","5128071","0","91002","0","2","10128","0","8"
"25","本当は誰よりも","5128073","5128072","0","91002","0","2","10128","0","8"
"25","家族で大切に\nしたいこと","5128074","5128073","0","91002","0","2","10128","0","8"
"50","誓いの言葉","5128075","5128074","0","91002","0","2","10128","0","8"
"25","血の婚約報告","5128081","0","0","91002","10128107","3","10128","0","8"
"25","風来人の家探し","5128082","5128081","0","91002","0","3","10128","0","8"
"25","愛おしい時間","5128083","5128082","0","91002","0","3","10128","0","8"
"25","トーゴクの\n家族文化","5128084","5128083","0","91002","0","3","10128","0","8"
"50","飾らない愛を","5128085","5128084","0","91002","0","3","10128","0","8"
"0","口約束は災いのもと","5128091","5128075","5128085","0","0","4","10128","0","0"
"0","譲れない家庭の味","5128092","5128091","0","0","0","4","10128","11001271","0"
"0","夢の語り部に誘われて","5128161","0","0","0","10128107","1","10128","0","0"
