30fb230ae2eb52dbcd86ba747bc6a4344a096c23e0ba863d771b0907c10d95b5,49f8004a28ad72245ca596945785726527c8937a35f5b2a9325c70eedf2dca01,f5f13fb13765b00b67f53628ecc8b2ad66fb6427d8164b003e357a288364c15b,0700656e8c1cc1cd9752c1648490cf07862f69e27b8a553ed63bb74fe751c7b4,2d317553df96f0f216488e026a2c9cd82dd652f031921a8dc0fde8fb2f6da9b2,570a5449f7656f9de61d40d8e031a42fc8439434a2fab10de6286a7f331367df,34f59ba2443b74e1cd347f830d03992d7e9b75ed078ae97774259702c0fd7f25,cf745eecc34b0256fd582101ef271fede6bffbbd6a11d9fe01b748191d6377ff,e9dc8b1c41fef417bcaaa803da214529a9d4fcf63127d02d0b14a6fbfbffbb6f,315619d022172f1b85bdb95f4d0a56b5f3a15925cc4274a535ca5a919adcc021,1cafba1bade352eb67ee5c493cecb92d3dde2f1fec0a1fbcd3d034f9ea161ebf
"se_travel","1010010001","1001","","23","","se_travel_finish_assemble","","0","",""
"1","1010010002","1001","-160","1","0","1000001","1.46","1","-275","travel_exdrama_r_100_run"
"1","1010010003","1001","-200","1","0","1000002","1.46","2","-575","travel_exdrama_r_100_run"
"1","1010010004","1001","-250","1","0","1000003","1.46","3","-750","travel_exdrama_r_100_run"
"1","1010010005","1001","-175","1","1","1000004","1.46","4","575","travel_exdrama_r_100_run"
"1","1010010006","1001","-250","1","1","1000005","1.46","5","750","travel_exdrama_r_100_run"
"1000001","1010010007","1001","0","2","","-100","","-160","1",""
"1000002","1010010008","1001","0","2","","-275","","-200","1",""
"1000003","1010010009","1001","0","2","","-450","","-250","1",""
"1000004","1010010010","1001","0","2","","275","","-175","1",""
"1000005","1010010011","1001","0","2","","450","","-250","1",""
"1","1010010012","1001","0","93","","0","","0","0",""
"1000001","1010010013","1001","0","3","0","travel_exdrama_r_100_raiseup","0.2","0","",""
"1000002","1010010014","1001","0","3","0","travel_exdrama_r_100_idle","0","1","",""
"1000003","1010010015","1001","0","3","0","travel_exdrama_r_100_idle","0","1","",""
"1000004","1010010016","1001","0","3","0","travel_exdrama_r_100_idle","0","1","",""
"1000005","1010010017","1001","0","3","0","travel_exdrama_r_100_idle","0","1","",""
"1","1010010018","1001","-160","5","0","1","1.46","11","-100","travel_exdrama_r_100_raiseup"
"1","1010010019","1001","","93","","0","","","",""
"1000001","1010010020","1001","0","6","","","0.12","","",""
"1000002","1010010021","1001","0","6","","","0.12","","",""
"1000003","1010010022","1001","0","6","","","0.12","","",""
"1000004","1010010023","1001","0","6","","","0.12","","",""
"1000005","1010010024","1001","0","6","","","0.12","","",""
"1","1010010025","1001","0","6","","","0.12","","",""
"0.12","1010010026","1001","","93","","0","","","",""
"0","1010010027","1001","","91","","","","","",""
"se_travel","1010020001","1002","","23","","se_travel_finish_assemble","","0","",""
"1","1010020002","1002","-160","1","0","1000001","1.46","1","-275","travel_exdrama_r_100_run"
"1","1010020003","1002","-200","1","0","1000002","1.46","2","-575","travel_exdrama_r_100_run"
"1","1010020004","1002","-250","1","0","1000003","1.46","3","-750","travel_exdrama_r_100_run"
"1","1010020005","1002","-175","1","1","1000004","1.46","4","575","travel_exdrama_r_100_run"
"1","1010020006","1002","-250","1","1","1000005","1.46","5","750","travel_exdrama_r_100_run"
"10000","1010020007","1002","1","31","","10000","0","-40","20",""
"1000001","1010020008","1002","0","2","","-100","","-160","1",""
"1000002","1010020009","1002","0","2","","-275","","-200","1",""
"1000003","1010020010","1002","0","2","","-450","","-250","1",""
"1000004","1010020011","1002","0","2","","275","","-175","1",""
"1000005","1010020012","1002","0","2","","450","","-250","1",""
"1","1010020013","1002","0","93","","0","","0","0",""
"1000001","1010020014","1002","0","3","0","travel_exdrama_r_100_raiseup","0.2","0","",""
"1000002","1010020015","1002","0","3","0","travel_exdrama_r_100_idle","0","1","",""
"1000003","1010020016","1002","0","3","0","travel_exdrama_r_100_idle","0","1","",""
"1000004","1010020017","1002","0","3","0","travel_exdrama_r_100_idle","0","1","",""
"1000005","1010020018","1002","0","3","0","travel_exdrama_r_100_idle","0","1","",""
"1","1010020019","1002","-160","5","0","1","1.46","11","-100","travel_exdrama_r_100_raiseup"
"0.4","1010020020","1002","0","93","","0","0","0","0",""
"10000","1010020021","1002","0","32","","1","","","",""
"0.6","1010020022","1002","","93","","0","","","",""
"1000001","1010020023","1002","0","6","","","0.12","","",""
"1000002","1010020024","1002","0","6","","","0.12","","",""
"1000003","1010020025","1002","0","6","","","0.12","","",""
"1000004","1010020026","1002","0","6","","","0.12","","",""
"1000005","1010020027","1002","0","6","","","0.12","","",""
"1","1010020028","1002","0","6","","","0.12","","",""
"0.12","1010020029","1002","","93","","0","","","",""
"0","1010020030","1002","","91","","","","","",""
"10100","1010110001","1011","1","31","","10100","1","-350","5",""
"10002","1010110002","1011","1","31","","10002","0","-525","50",""
"10101","1010110003","1011","1","31","","10101","1","-184","-121",""
"10102","1010110004","1011","1","31","","10102","0","-350","5",""
"10103","1010110005","1011","1","31","","10103","0","-350","5",""
"10104","1010110006","1011","1","31","","10104","0","-350","5",""
"1","1010110007","1011","-200","1","0","1000001","1.46","11","-470","travel_exdrama_r_101_walk"
"1","1010110008","1011","-150","1","0","1000002","1.46","1","-320","travel_exdrama_r_101_walk"
"1","1010110009","1011","-200","5","0","1","1.46","12","-470","travel_exdrama_r_101_walk"
"1","1010110010","1011","-150","5","0","2","1.46","2","-320","travel_exdrama_r_101_walk"
"se_travel","1010120001","1012","","23","","se_travel_finish_cave_rare","","0","",""
"1000001","1010120002","1012","0","2","","-500","","-200","0.1",""
"1000002","1010120003","1012","0","2","","-350","","-150","0.1",""
"1","1010120004","1012","0","2","","-500","","-200","0.1",""
"2","1010120005","1012","0","2","","-350","","-150","0.1",""
"1000001","1010120006","1012","1","3","0.2","travel_exdrama_r_101_joy","0.2","0","travel_exdrama_r_101_walk",""
"1000002","1010120007","1012","1","3","0.2","travel_exdrama_r_101_joy","0.2","0","travel_exdrama_r_101_walk",""
"1","1010120008","1012","1","3","0.2","travel_exdrama_r_101_joy","0.2","0","travel_exdrama_r_101_walk",""
"2","1010120009","1012","1","3","0.2","travel_exdrama_r_101_joy","0.2","0","travel_exdrama_r_101_walk",""
"10101","1010120010","1012","","32","","0","","0","",""
