2f4bcdb6d85fe335ecf44bb49fe944f69abc4af49f947a8668d2860ef7ef9d21,46db0a736dc518a11f54e5617c20ab094ef4efd71cc2610f1906870995bb3f61,6562d7d93a7e20e225ea6d1a3850c3334b386cf8241483a692ee880b17111292,a1d238257df0310e53546851b7746e46788ec10fb682aa27a93ba1ffb96377c2,5eb755f4cb2aac9d5181519cf21e45e8164571d70c1210ccbf24737894ee66b8,c6026b715027fe932cd0d49cefa534a578434e269621d6fa584ede9c3e190198,a24b86e88f30900e5fec1173cba3144f409acbf1cbf37c4c99118baed0ac1654,5cb0b4706c6cfcea0db60fde1aa2806a4526b9de2b924a7169407d206b0b688b,11fc5b701404bbe6b45a13267919ccbe4e721bd7634f00ff14d549d1fcb2a7d3,cc53a23529b142a16d3c6354de83582c9d32cda677a39281831dacfec8580613,8f324dcea11ce625b43c4a6fcd3ae18cc67add22ac4c54811d84cf49720d5450
"","0","","1010010001","1001","","","se_travel","23","","se_travel_finish_assemble"
"-160","1","-275","1010010002","1001","1.46","0","1","1","travel_exdrama_r_100_run","1000001"
"-200","2","-575","1010010003","1001","1.46","0","1","1","travel_exdrama_r_100_run","1000002"
"-250","3","-750","1010010004","1001","1.46","0","1","1","travel_exdrama_r_100_run","1000003"
"-175","4","575","1010010005","1001","1.46","1","1","1","travel_exdrama_r_100_run","1000004"
"-250","5","750","1010010006","1001","1.46","1","1","1","travel_exdrama_r_100_run","1000005"
"0","-160","1","1010010007","1001","","","1000001","2","","-100"
"0","-200","1","1010010008","1001","","","1000002","2","","-275"
"0","-250","1","1010010009","1001","","","1000003","2","","-450"
"0","-175","1","1010010010","1001","","","1000004","2","","275"
"0","-250","1","1010010011","1001","","","1000005","2","","450"
"0","0","0","1010010012","1001","","","1","93","","0"
"0","0","","1010010013","1001","0.2","0","1000001","3","","travel_exdrama_r_100_raiseup"
"0","1","","1010010014","1001","0","0","1000002","3","","travel_exdrama_r_100_idle"
"0","1","","1010010015","1001","0","0","1000003","3","","travel_exdrama_r_100_idle"
"0","1","","1010010016","1001","0","0","1000004","3","","travel_exdrama_r_100_idle"
"0","1","","1010010017","1001","0","0","1000005","3","","travel_exdrama_r_100_idle"
"-160","11","-100","1010010018","1001","1.46","0","1","5","travel_exdrama_r_100_raiseup","1"
"","","","1010010019","1001","","","1","93","","0"
"0","","","1010010020","1001","0.12","","1000001","6","",""
"0","","","1010010021","1001","0.12","","1000002","6","",""
"0","","","1010010022","1001","0.12","","1000003","6","",""
"0","","","1010010023","1001","0.12","","1000004","6","",""
"0","","","1010010024","1001","0.12","","1000005","6","",""
"0","","","1010010025","1001","0.12","","1","6","",""
"","","","1010010026","1001","","","0.12","93","","0"
"","","","1010010027","1001","","","0","91","",""
"","0","","1010020001","1002","","","se_travel","23","","se_travel_finish_assemble"
"-160","1","-275","1010020002","1002","1.46","0","1","1","travel_exdrama_r_100_run","1000001"
"-200","2","-575","1010020003","1002","1.46","0","1","1","travel_exdrama_r_100_run","1000002"
"-250","3","-750","1010020004","1002","1.46","0","1","1","travel_exdrama_r_100_run","1000003"
"-175","4","575","1010020005","1002","1.46","1","1","1","travel_exdrama_r_100_run","1000004"
"-250","5","750","1010020006","1002","1.46","1","1","1","travel_exdrama_r_100_run","1000005"
"1","-40","20","1010020007","1002","0","","10000","31","","10000"
"0","-160","1","1010020008","1002","","","1000001","2","","-100"
"0","-200","1","1010020009","1002","","","1000002","2","","-275"
"0","-250","1","1010020010","1002","","","1000003","2","","-450"
"0","-175","1","1010020011","1002","","","1000004","2","","275"
"0","-250","1","1010020012","1002","","","1000005","2","","450"
"0","0","0","1010020013","1002","","","1","93","","0"
"0","0","","1010020014","1002","0.2","0","1000001","3","","travel_exdrama_r_100_raiseup"
"0","1","","1010020015","1002","0","0","1000002","3","","travel_exdrama_r_100_idle"
"0","1","","1010020016","1002","0","0","1000003","3","","travel_exdrama_r_100_idle"
"0","1","","1010020017","1002","0","0","1000004","3","","travel_exdrama_r_100_idle"
"0","1","","1010020018","1002","0","0","1000005","3","","travel_exdrama_r_100_idle"
"-160","11","-100","1010020019","1002","1.46","0","1","5","travel_exdrama_r_100_raiseup","1"
"0","0","0","1010020020","1002","0","","0.4","93","","0"
"0","","","1010020021","1002","","","10000","32","","1"
"","","","1010020022","1002","","","0.6","93","","0"
"0","","","1010020023","1002","0.12","","1000001","6","",""
"0","","","1010020024","1002","0.12","","1000002","6","",""
"0","","","1010020025","1002","0.12","","1000003","6","",""
"0","","","1010020026","1002","0.12","","1000004","6","",""
