c06bc23d4a36b617333a49a752ca4dca79c89201d202a5fcb376333d788827d1,af10d9e78655e20eb74d65b5ed36972b1f6a0b42c471314b2b80290747bb4714,4f5ef95eb9be191d19d0783c8586d5fb2b7347378a5db90b4486fd2dda49c7d1,abb293fc7bb273b9aa7b6cafb570a346dbf9f7506816c2e3272c2fb404d772d2,7cf0e75ef51b8b850c92ab9e370e235c73192f461a08933b29f9c958cfbc1ad8,4ea074ec1a26ed0e2e66205ea5db9afdd5877cd3a9336af3ff7a7bccb5aee40d,267183e9d5842e648f3ec7dbd5a65a6b45e8e33a99924e44bc362f24998e85b7,2bd50936001a2e3411432d88b9f6cc3e52ff8596adeecca5b6a03409cc66dafe,bdb2abce4e17512f08c4b784724c41eb836e2cea44d28766244b94153d4dc26e,98ebcc4b3c2a25ade8ac05a4c8330ca4ba112b2e0830a01d60a86f871aabe0d1,d87ee697d17739a4c49be330bd2461a7efd01e2a0bf03217963e03fb43a4a0c6,cdb5cd928e0c36d171f7220a469aa6a490b079c61d319ef8a0d25f081c61a831,c0c041bdb66b10280d7b460dd415edacdc481ebe066a70a9fde5d55e1a11020e,9fb6bad95032f77d1faee78d0c23b6cc5883912e21a78e03073b5fc1add3b55f,392bb1389fc113f142d2bda8043e6eda0f6cbf0c21d73f88f2c78f8945ef76e4,231c4d8248329dba13dbf1d9cb711ec101b36a12f497e661fe6b33cdd78dc4e2,babe50140003e2b2887ae9bf727025cdea8c63538069a55115bf5aaa3c2d76b0,285a5d366a1e75d4c03738063c051bfd00a6c3e179edb3d9441105368d7e55dd,bd4ac87a2b63c11a02ca5488214aadd85c69abb5c115dca62e1c446183946be1
"100111","6","1","90","1001","123001","100701","6","100701","105501","6","-100","100003","6","6","1","0","112201","103401"
"100112","6","2","90","1001","123001","103401","6","106601","100901","6","-100","100003","6","6","1","0","105101","103401"
"100113","6","3","90","1001","101801","110301","6","112701","110301","6","-100","100003","6","6","1","0","106901","113401"
"100121","5","1","90","1001","100201","100201","4","102901","117301","4","-100","100003","4","4","2","0","123001","103401"
"100122","4","2","90","1001","104001","104001","4","104801","105101","4","-100","100003","4","4","2","0","110301","117301"
"100123","4","3","90","1001","111001","101401","4","101401","118501","5","-100","100003","4","4","2","0","100801","118001"
"100131","3","1","90","1001","100801","112201","1","100701","112201","2","-100","100003","1","2","3","0","123001","117301"
"100132","1","2","90","1001","112201","105501","1","100501","103401","1","-100","100003","2","2","3","0","105501","106601"
"100133","2","3","90","1001","124501","124501","1","105401","113401","2","-100","100003","3","1","3","0","110301","104801"
"100211","6","1","90","1002","111401","111401","6","106601","117301","6","-100","100003","6","6","1","0","105001","103401"
"100212","6","2","90","1002","100801","113401","6","105201","113401","6","-100","100003","6","6","1","0","123001","105401"
"100213","6","3","90","1002","107701","105501","6","100501","105501","6","-100","100003","6","6","1","0","123001","103401"
"100221","4","1","90","1002","119001","122801","4","122801","124101","5","-100","100003","4","4","2","0","100901","103401"
"100222","4","2","90","1002","123001","100501","4","105201","103401","4","-100","100003","5","4","2","0","121101","100501"
"100223","5","3","90","1002","118501","118501","4","100701","105501","4","-100","100003","5","4","2","0","123001","103401"
"100231","1","1","90","1002","123001","108901","1","105201","103401","1","-100","100003","3","2","3","0","102601","108901"
"100232","2","2","90","1002","123001","104801","1","104801","113401","2","-100","100003","3","1","3","0","112201","102601"
"100233","2","3","90","1002","106001","106001","1","100701","100501","1","-100","100003","7","2","3","0","110301","114701"
"100311","6","1","90","1003","125101","102901","6","102901","103401","6","-100","100003","6","6","1","0","123001","122801"
"100312","6","2","90","1003","111001","180301","6","105401","180301","6","-100","100003","6","6","1","0","110301","106601"
"100313","6","3","90","1003","118501","121401","6","101401","123001","6","-100","100003","6","6","1","0","118001","121401"
"100321","4","1","90","1003","123001","114701","4","114701","103401","4","-100","100003","5","4","2","0","110301","106601"
