e78335ed0641901b89e78dd5fd81c159507448490311e4c4834612187cf526ae,85338c5a0f3fc6668f53d9fe80357d7bd484dcf9c54456f02cc2436aca5ba695,74c823c013304f3d532f1ae6faff1e9dcba5eddc1c56a3ea32fe4d53ae38b85e,3f3c1c0661bfe0715a5349298bda7af0e039539d8dccd2b7a5d0f8a3fbc6aeb4,3bc52a59f3a750f85329ce29deab24089230047f52d866140ea17410dc77b25b,31fbf7504fe2a0bc7a7879092afa0468bbfe93d60573aeff12544ee78e4c9eb2,5d0dafc227d264c631d8a90d0994fe21a97653a5a407c3207dea937b47af0d92,7a7d2a6938e41d1bd5630ad04533a784cd8429c3d66a783409012a39eeeafc6e,2d21496944bf7f55f69cfd644b16139251f5a4cf49444bbbd5bd8fd074f868b4,2b249f3abf16f074a65860450e2ce9b4964b8ecfac1f68ca08d1daea2b25b3f4,4a9f7dca33ed58f097bebbfcf686da4fd217168315aa02673f9a2c7c9b7b76c8
"1","1","0","30","2.2","talk_sad","52","-250","12","5","12001"
"1","1","0","1","0","","1","0","12","6","12002"
"0","0","0","50","1","black","29","0","12","5","12003"
"0","1","0","1","0","","1","0","12","6","12004"
"0","","","","","","","","12","91","12005"
"1","1","0","1","0.2","","1","1","12","6","12006"
"0","1","0","1","0.2","","1","1","12","6","12007"
"1","-20","","0.3","","","-250","2","12","2","12008"
"0","0","","0.3","","","0","2","12","2","12009"
"0.6","0","","","","","","","12","93","12010"
"vo_asb","vo_asb_0121","","0","","","0","","12","21","12011"
"1","思えば手土産すらも、\n持参できず仕舞いでした……","0","1","0","0","10","1","12","11","12012"
"0","","","0","","","0","","12","91","12013"
"1","guts2_talk_shy","","","0.2","","1","","12","3","12014"
"vo_asb","vo_asb_0122","","0","","","0","","12","21","12015"
"1","次に伺う時は必ず……！","0","1","0","0","10","1","12","11","12016"
"0","","","0","","","0","","12","91","12017"
"1","sad_talk_surprise","","","0.2","","1","","12","3","12018"
"vo_asb","vo_asb_0123","","0","","","0","","12","21","12019"
"1","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","0","1","0","0","10","1","12","11","12020"
"0","","","0","","","0","","12","91","12021"
"1","surprise_talk_dere","","","0.3","","1","","12","3","12022"
"vo_asb","vo_asb_0124","","0","","","0","","12","21","12023"
