6286e44ca5c15e35caecfbf1baead38302d2b6aab5562f15c680a534da4d9ec6,9919acbf69cc5eab73b7489d37368933dfcee09876662c496bf4ae397a46198b,8089ca75f7fd7dc23ae0d17223fef7560aaef83341e291e02334a7af2d14d08c,494044e94d34d70fc13c1039b2d559963197947fc741bdb6ec8bc90776a9e31d,633e2f058d419139d8a0f3f8546c4b802dbc345517b1e0e307fc5fd7900c267f,880fd074522d30607dda1a1ced3b25776f3b8a800fc7483b7f99b5522de75ef6
"20001","2000101","2000102","0","20001201","20001115"
"20001","2000102","2000103","2000101","0","0"
"20001","2000103","0","2000102","0","0"
"20002","2000201","2000202","0","20002201","20002115"
"20002","2000202","2000203","2000201","0","0"
"20002","2000203","0","2000202","0","0"
"20003","2000301","2000302","0","20003201","20003115"
"20003","2000302","2000303","2000301","0","0"
"20003","2000303","0","2000302","0","0"
"20004","2000401","2000402","0","20004201","20004115"
"20004","2000402","2000403","2000401","0","0"
"20004","2000403","0","2000402","0","0"
"20005","2000501","2000502","0","20005201","20005115"
"20005","2000502","2000503","2000501","0","0"
"20005","2000503","0","2000502","0","0"
"20006","2000601","2000602","0","20006201","20006115"
"20006","2000602","2000603","2000601","0","0"
"20006","2000603","0","2000602","0","0"
"20007","2000701","2000702","0","20007201","20007115"
"20007","2000702","2000703","2000701","0","0"
"20007","2000703","0","2000702","0","0"
"20008","2000801","2000802","0","20008201","20008115"
"20008","2000802","2000803","2000801","0","0"
"20008","2000803","0","2000802","0","0"
"20009","2000901","2000902","0","20009201","20009115"
"20009","2000902","2000903","2000901","0","0"
"20009","2000903","0","2000902","0","0"
"20010","2001001","2001002","0","20010201","20010115"
"20010","2001002","2001003","2001001","0","0"
"20010","2001003","0","2001002","0","0"
"20011","2001101","2001102","0","20011201","20011115"
"20011","2001102","2001103","2001101","0","0"
"20011","2001103","0","2001102","0","0"
"20012","2001201","2001202","0","20012201","20012115"
"20012","2001202","2001203","2001201","0","0"
"20012","2001203","0","2001202","0","0"
"20013","2001301","2001302","0","20013201","20013115"
"20013","2001302","2001303","2001301","0","0"
"20013","2001303","0","2001302","0","0"
"20014","2001401","2001402","0","20014201","20014115"
"20014","2001402","2001403","2001401","0","0"
"20014","2001403","0","2001402","0","0"
"20015","2001501","2001502","0","20015201","20015115"
"20015","2001502","2001503","2001501","0","0"
"20015","2001503","0","2001502","0","0"
"20016","2001601","2001602","0","20016201","20016115"
"20016","2001602","2001603","2001601","0","0"
"20016","2001603","0","2001602","0","0"
"20017","2001701","2001702","0","20017201","20017115"
"20017","2001702","2001703","2001701","0","0"
"20017","2001703","0","2001702","0","0"
"20018","2001801","2001802","0","20018201","20018115"
"20018","2001802","2001803","2001801","0","0"
"20018","2001803","0","2001802","0","0"
"20019","2001901","2001902","0","20019201","20019115"
"20019","2001902","2001903","2001901","0","0"
"20019","2001903","0","2001902","0","0"
"20020","2002001","2002002","0","20020201","20020115"
"20020","2002002","2002003","2002001","0","0"
"20020","2002003","0","2002002","0","0"
"20021","2002101","2002102","0","20021201","20021115"
"20021","2002102","2002103","2002101","0","0"
"20021","2002103","0","2002102","0","0"
"20022","2002201","2002202","0","20022201","20022115"
"20022","2002202","2002203","2002201","0","0"
"20022","2002203","0","2002202","0","0"
"20023","2002301","2002302","0","20023201","20023115"
"20023","2002302","2002303","2002301","0","0"
"20023","2002303","0","2002302","0","0"
"20024","2002401","2002402","0","20024201","20024115"
