0c2d462836534b8ef777d35f1971c7486a09d840ca05ff7b2730f45736f11117,99a6dfe89332f1878e62c7a9948d8eb797c868fc7b7ace955e4f4d2d1f0bd966,7dc2c3977ffbce49f3ead6d88aa5fb474145b704d158bb306e2bb97a1643ad4b,a9238477eb025de78effcd42c8b91fabfc6fbc6eee64eeaa72c0588ee2c389e9,a8b4c04b5b6b4ba0be94d019c3bc64f7921b3b7b293b8ab6237a450ee2ab2c0f,319e6ac4fb2db05dfa665d9e2aa55e2cfcd923ebba80912261994607f55eb5c3
"10","150","1","150","1","0"
"10","400","1","250","2","0"
"10","800","1","400","3","0"
"20","150","2","150","1","0"
"20","400","2","250","2","0"
"20","800","2","400","3","0"
"20","1300","2","500","4","1"
"30","800","3","800","1","0"
"30","1800","3","1000","2","0"
"30","3000","3","1200","3","0"
"30","4400","3","1400","4","1"
"30","6000","3","1600","5","2"
"40","800","4","800","1","0"
"40","1800","4","1000","2","0"
"40","3000","4","1200","3","0"
"40","4400","4","1400","4","1"
"40","6000","4","1600","5","2"
"0","0","5","0","0","0"
