15ce2495eede04fcc3f334c0980e4c132282b9b7231b08947a3d7b3a0bdcd3f2,9b5346b3855ae0148b3991ff7de36f0ca23641b71757fc39d550525aa06de083,531b6ae2836fe20a198ba5eef649409233b6b32e6d95b9c01480bc51f04cc545,b561cd1d81a39f45755af6d98c1c63371f0119accd86371ade29a3d082b857cc,da3e51e7020206e557e6e256618fd774df2994a8cc010fc8bb75439a551fd73a,5338f4013236844acc969310a16a3bf7c876a1f8d52a9476571b907023acc54b,28776a35d62eb00e7323a24576f0281125b6fa4f84018900026bc5802e980094,bf99ddebac3372bfde5c4cdd4146385742dd675cbafd1ac3241f60c792c5c06b,543354348e807bf69b356f832c220ef7d9977b2e8679a9969b8a54753a0273fd,15b3c4db452c9e25e8357bfa729f597c5eda491d4312098afc0231cfb610ad41,ac00e31e1f41bf4c70c2afece951d5744e7768af6416ee218e9293d37a0ab01f,c29fc53646c1cb48ce224b60704202235628c4821b5bb2330ed8022f4339f3cf
"3","4","1","1","1","0","0","0","0","0","1010001","0"
"0","2","1","0","2","0","0","0","vo_minigame_1005_nikki01_000","vo_minigame_1005","1010002","0"
"0","1","1","0","3","0","1.418","1","0","0","1010003","202"
"1","4","1","1.858","4","0","0","0","0","0","1010004","0"
"0","1","1","0","5","0","2.536","2","0","0","1010005","316"
"1","4","1","3.484","6","0","0","0","0","0","1010006","0"
"0","2","1","0","7","0","0","0","vo_minigame_1005_nikki01_001","vo_minigame_1005","1010007","0"
"0","1","1","0","8","0","1.131","3","0","0","1010008","121"
"1","4","1","1.407","9","0","0","0","0","0","1010009","0"
"0","1","1","0","10","121","1.043","3","0","0","1010010","276"
"1","4","1","1.719","11","0","0","0","0","0","1010011","0"
"0","1","1","0","12","276","0.69","3","0","0","1010012","389"
"1","4","1","0.69","13","0","0","0","0","0","1010013","0"
"0","1","1","0","14","0","1.694","4","0","0","1010014","224"
"1","4","1","2.204","15","0","0","0","0","0","1010015","0"
"0","1","1","0","16","224","1.298","4","0","0","1010016","384"
"1","4","1","1.298","17","0","0","0","0","0","1010017","0"
"0","1","1","0","18","0","1.118","5","0","0","1010018","131"
"1","4","1","1.199","19","0","0","0","0","0","1010019","0"
"0","1","1","0","20","131","0.958","5","0","0","1010020","244"
"1","4","1","1.269","21","0","0","0","0","0","1010021","0"
"0","1","1","0","22","244","1.373","5","0","0","1010022","394"
"1","4","1","1.373","23","0","0","0","0","0","1010023","0"
"0","1","1","0","24","0","0.193","6","0","0","1010024","25"
"1","4","1","0.552","25","0","0","0","0","0","1010025","0"
"0","1","1","0","26","25","2.64","6","0","0","1010026","368"
"1","4","1","3.195","27","0","0","0","0","0","1010027","0"
"0","1","1","0","28","0","0.599","7","0","0","1010028","65"
"1","4","1","0.929","29","0","0","0","0","0","1010029","0"
"0","1","1","0","30","65","1.302","7","0","0","1010030","252"
"1","4","1","2.395","31","0","0","0","0","0","1010031","0"
"0","2","1","0","32","0","0","0","vo_minigame_1005_nikki01_002","vo_minigame_1005","1010032","0"
"0","1","1","0","33","0","2.09","8","0","0","1010033","271"
"1","4","1","2.512","34","0","0","0","0","0","1010034","0"
"0","1","1","0","35","271","0.868","8","0","0","1010035","400"
"1","4","1","0.907","36","0","0","0","0","0","1010036","0"
"0","1","1","0","37","0","2.214","9","0","0","1010037","315"
"1","4","1","2.562","38","0","0","0","0","0","1010038","0"
"0","1","1","0","39","0","1.65","10","0","0","1010039","242"
"1","4","1","2.654","40","0","0","0","0","0","1010040","0"
"0","2","1","0","41","0","0","0","vo_minigame_1005_nikki01_003","vo_minigame_1005","1010041","0"
"0","1","1","0","42","242","0.685","10","0","0","1010042","345"
"1","4","1","1.036","43","0","0","0","0","0","1010043","0"
"0","1","1","0","44","345","0.378","10","0","0","1010044","397"
"1","4","1","0.378","45","0","0","0","0","0","1010045","0"
"0","1","1","0","46","0","2.438","11","0","0","1010046","377"
"1","4","1","3.395","47","0","0","0","0","0","1010047","0"
"0","2","1","0","48","0","0","0","vo_minigame_1005_nikki01_004","vo_minigame_1005","1010048","0"
"0","1","1","0","49","0","0.642","12","0","0","1010049","83"
"1","4","1","1.061","50","0","0","0","0","0","1010050","0"
"0","1","1","0","51","83","0.539","12","0","0","1010051","159"
"1","4","1","0.877","52","0","0","0","0","0","1010052","0"
"0","1","1","0","53","159","1.135","12","0","0","1010053","316"
"1","4","1","2.635","54","0","0","0","0","0","1010054","0"
"3","4","2","1","1","0","0","0","0","0","1020001","0"
"0","2","2","0","2","0","0","0","vo_minigame_1005_nikki02_000","vo_minigame_1005","1020002","0"
"0","1","2","0","3","0","2.91","1","0","0","1020003","345"
"1","4","2","3.814","4","0","0","0","0","0","1020004","0"
"0","2","2","0","5","0","0","0","vo_minigame_1005_nikki02_001","vo_minigame_1005","1020005","0"
"0","1","2","0","6","0","1.67","2","0","0","1020006","239"
"1","4","2","2.19","7","0","0","0","0","0","1020007","0"
"0","1","2","0","8","0","2.455","3","0","0","1020008","314"
"1","4","2","3.527","9","0","0","0","0","0","1020009","0"
"0","2","2","0","10","0","0","0","vo_minigame_1005_nikki02_002","vo_minigame_1005","1020010","0"
"0","1","2","0","11","0","0.454","4","0","0","1020011","70"
"1","4","2","0.874","12","0","0","0","0","0","1020012","0"
"0","1","2","0","13","70","2.154","4","0","0","1020013","392"
"1","4","2","3.373","14","0","0","0","0","0","1020014","0"
"0","2","2","0","15","0","0","0","vo_minigame_1005_nikki02_003","vo_minigame_1005","1020015","0"
"0","1","2","0","16","0","0.895","5","0","0","1020016","125"
"1","4","2","1.311","17","0","0","0","0","0","1020017","0"
"0","1","2","0","18","125","1.114","5","0","0","1020018","265"
"1","4","2","1.181","19","0","0","0","0","0","1020019","0"
"0","1","2","0","20","265","0.497","5","0","0","1020020","340"
"1","4","2","0.497","21","0","0","0","0","0","1020021","0"
"0","1","2","0","22","0","1.37","6","0","0","1020022","189"
"1","4","2","2.407","23","0","0","0","0","0","1020023","0"
"0","2","2","0","24","0","0","0","vo_minigame_1005_nikki02_004","vo_minigame_1005","1020024","0"
"0","1","2","0","25","0","1.616","7","0","0","1020025","195"
"1","4","2","2.035","26","0","0","0","0","0","1020026","0"
"0","1","2","0","27","195","0.951","7","0","0","1020027","295"
"1","4","2","1.322","28","0","0","0","0","0","1020028","0"
"0","1","2","0","29","0","1.924","8","0","0","1020029","258"
"1","4","2","2.98","30","0","0","0","0","0","1020030","0"
