f5a091d1b29b2bddcea3766b71899f5a5c5ce26c3427278577d9b8b84368a62b,76a764be975195d1d165111a53f1048b1924d0a5e8fee565f68e98ae88180e06,4803c84add4ef0c7a0dec70bfda3fff612b119ade74a7e6e154938f92b46a8ab,8fa11ece6603310d4f1fb58ec7da225c4eaf4daadbf858135caf0be0753358a6,23bb44b73d830d943ba7e1bb7521f7cf781fe6ccfc5437f9df43ed30a2ad26ec,8fa6c5870301835b1003df6312d7a896d364bd12067b6737d41a377e9e9f2bfd,362500fd9ca7e73ece721d353be9f8797162190230138eae713c3a8a224d65e8,3f106bcdee3a6bd2424761032fc7d2665231b28a00a2ae38580b47332547a87a,aef4cdfd4ec79d02864a806b97fce3d060abb23584029a3305c6b14d0eebec6e,0efcc41595fc86c60b4e0b601b248c64bcb7cf73f24d35bbdb8c84127a508ae0
"1","パーツを20個獲得しよう","1","1","10000","0","1","100","3","20"
"1","パーツを25個獲得しよう","2","1","10001","0","2","100","3","25"
"1","パーツを30個獲得しよう","2","1","10002","0","3","100","3","30"
"1","パーツを35個獲得しよう","3","1","10003","0","4","100","3","35"
"1","パーツを40個獲得しよう","3","1","10004","0","5","100","3","40"
"1","パーツを45個獲得しよう","4","1","10005","0","6","100","3","45"
"1","パーツを50個獲得しよう","4","1","10006","0","7","100","3","50"
"1","総戦力を1500以上にしよう","3","2","20000","0","101","101","2","1500"
"1","総戦力を2000以上にしよう","3","2","20001","0","102","101","2","2000"
"1","総戦力を2500以上にしよう","3","2","20002","0","103","101","2","2500"
"1","総戦力を3000以上にしよう","3","2","20003","0","104","101","2","3000"
"1","総戦力を3500以上にしよう","3","2","20004","0","105","101","2","3500"
"1","総戦力を4000以上にしよう","4","2","20005","0","106","101","2","4000"
"1","総戦力を4500以上にしよう","4","2","20006","0","107","101","2","4500"
"1","総戦力を5000以上にしよう","4","2","20007","0","108","101","2","5000"
"1","総戦力を6000以上にしよう","4","2","20008","0","109","101","2","6000"
"1","総戦力を7000以上にしよう","4","2","20009","0","110","101","2","7000"
"1","総戦力を8000以上にしよう","5","2","20010","0","111","101","2","8000"
"1","総戦力を9000以上にしよう","5","2","20011","0","112","101","2","9000"
"1","総戦力を10000以上にしよう","5","2","20012","0","600","101","2","10000"
"2","バトルポイントを累計100pt獲得しよう","2","3","30000","0","201","200","4","100"
"2","バトルポイントを累計200pt獲得しよう","2","3","30001","0","202","200","4","200"
"2","バトルポイントを累計300pt獲得しよう","2","3","30002","0","203","200","4","300"
"2","バトルポイントを累計400pt獲得しよう","2","3","30003","0","204","200","4","400"
"2","バトルポイントを累計500pt獲得しよう","2","3","30004","0","205","200","4","500"
"2","バトルポイントを累計600pt獲得しよう","3","3","30005","0","206","200","4","600"
"2","バトルポイントを累計700pt獲得しよう","3","3","30006","0","207","200","4","700"
"2","バトルポイントを累計800pt獲得しよう","3","3","30007","0","208","200","4","800"
"2","バトルポイントを累計900pt獲得しよう","3","3","30008","0","209","200","4","900"
"2","バトルポイントを累計1000pt獲得しよう","3","3","30009","0","210","200","4","1000"
"4","フブキから5個パーツを獲得しよう","7","5","50000","0","401","400","1","5"
"4","フブキから10個パーツを獲得しよう","7","5","50001","0","402","400","1","10"
"4","フブキから15個パーツを獲得しよう","7","5","50002","0","403","400","1","15"
"4","フブキから20個パーツを獲得しよう","7","5","50003","0","404","400","1","20"
"4","フブキから25個パーツを獲得しよう","7","5","50004","0","405","400","1","25"
"4","フブキから30個パーツを獲得しよう","7","5","50005","0","406","400","1","30"
"4","フブキから35個パーツを獲得しよう","7","5","50006","0","407","400","1","35"
"4","フブキから40個パーツを獲得しよう","7","5","50007","0","408","400","1","40"
"4","フブキから45個パーツを獲得しよう","7","5","50008","0","409","400","1","45"
"4","フブキから50個パーツを獲得しよう","6","5","50009","0","700","400","1","50"
"2","バトルポイントを800pt獲得しよう（何度でも）","7","6","60000","30009","999","209","4","800"
"3","ステージ14をクリアしよう","6","7","70000","0","799","300","3","14"
"3","ステージ50をクリアしよう","8","7","70001","0","800","301","3","50"
