adfd7d70fdcbcb5d1a77e32ca9c2f29c6bbd231013289ccdc13ed4992f2ed064,dc1e13c5353c9538216a330b3aad7acfe90c41479eba6376a2780388f29fd728,15c3448f900c551244f182694960da55d8f8526d2998662e721816fbe2d0aedd,415b5e3f7f4d8bf71b65b1d5e1644fc0e8a3b9779557ab5e5e268bd28b040529,f0b233d0d36a5d5de3682bfc575ef4ac4b75c4bece0b0c761fd92a7a98000ae6,ab0cc80e4b32a5415c91da7cb3320dc094c1e02c9b1595531cfe0b9e24f3b93e,d7b542075e31d5b90c340d610c2f28fdc7965256694f6f35e3938eda4bc37aed,1a423ef603079c05fcad908e07ece6606e38ce183698dac04ab623aeb4dc3fa5,125bd650cf0e94ee8b28ae1551b38f73538a4d0d4a8a03a906be476b4b41ab10
"100101","0","1","1001","100101","1001","0","10000","全難易度合計で10000pt獲得しよう"
"100102","0","1","1001","100102","1001","0","30000","全難易度合計で30000pt獲得しよう"
"100103","0","1","1001","100103","1001","0","50000","全難易度合計で50000pt獲得しよう"
"100104","0","1","1001","100104","1001","0","70000","全難易度合計で70000pt獲得しよう"
"100105","0","1","1001","100105","1001","1","90000","全難易度合計で90000pt獲得しよう"
"100106","0","1","1001","100106","1001","1","105000","全難易度合計で105000pt獲得しよう"
"100107","0","1","1001","100107","1001","1","120000","全難易度合計で120000pt獲得しよう"
"100108","0","1","1001","100108","1001","1","135000","全難易度合計で135000pt獲得しよう"
"100109","1","1","1002","100109","1001","2","0","難易度NORMAL1で1回戦おう"
"100110","1","1","1003","100110","1001","2","0","難易度NORMAL2で1回戦おう"
"100111","1","1","1004","100111","1001","2","0","難易度NORMAL3で1回戦おう"
"100112","1","1","1001","100112","1001","3","10000","難易度NORMALで10000pt獲得しよう"
"100113","1","1","1001","100113","1001","3","20000","難易度NORMALで20000pt獲得しよう"
"100114","1","1","1001","100114","1001","3","30000","難易度NORMALで30000pt獲得しよう"
"100115","2","1","1002","100115","1001","4","0","難易度HARD1で1回戦おう"
"100116","2","1","1003","100116","1001","4","0","難易度HARD2で1回戦おう"
"100117","2","1","1004","100117","1001","4","0","難易度HARD3で1回戦おう"
"100118","2","1","1001","100118","1001","5","15000","難易度HARDで15000pt獲得しよう"
"100119","2","1","1001","100119","1001","5","30000","難易度HARDで30000pt獲得しよう"
