e9bb69dd06881bb4b5897bf46c67f218db19510b2456c90248964c017b525e47,e126dcd6685199e00587828df8cde76cdf7700f609b4f876582b239ecbdbd448,e35c0ea2f32614aa02acb68f83027c34fce44082f2d373d0b28216bcf63b176e,3f70c993a93c881ad74b3328c5f57b9b45af5655ee95471f474a4e5eab03a652,f3d606cc1579f7178f6ed2f5018952765e4823191ebf5e27be529cb4011cf6f6,7565892bae605130e3a22bcc17d9ee2ee7142b1a99871731e52c5b77a30e54c8,2197bd7f2b1df596a6028d053a409d803f708af2bc6a2d01d68ee12bfba5e43f,808ead76b597c4aabedca16dd5b3362433b76cc8074c69a0031c896a28a409cc,88c470e2adb6f50a092b4f24df3791c7461c2e3cc4a551fb6520c49b1fc6177a,6dbe3dd49b3322ef4b0c755ca825f500f68df7e8fc1ca127e4fa1776d5cf1138,396e33c571122180881de88e996dfeff626a3b75fcefc52b6e7923d25b8541aa,a7ef4ae045bcb4db4e4068c52bb3d11b47b8a7837c4c1b437fbdaf7e79345fe4,aa78550b5a9493bc25f30bff79ab1ca00fdc7d927971ae9a09f1ab189cbfa926,faf88d9bd2a4e3af4fe385ba8803c68fa1ffc960feceb46e68aa412fa7d38702,a21684b314579402e815df07618fb5b48f3348b0e2ca76ad1c514723749f8973,66ae1e96c1fc23caea7f860e74b079c45d6e0dd0051da7294f3cecf3f398ca1c,a46a14c5cf3aa6f7d820290f091a5e742cebe3c1d8a033a7a589932c8e630aba,f0dc5b2216c688ea698790f3fa23881c92d8dfd9148ad18a6d4fc91e33610736
"94002","10000","0","0","0","0","0","0","0","0","100000","1","0","12","0","0","0","累計スコアを10000pt 獲得しよう"
"91002","20000","0","0","0","0","0","0","0","0","50","2","0","8","0","0","0","累計スコアを20000pt 獲得しよう"
"94002","30000","0","0","0","0","0","0","0","0","100000","3","0","12","0","0","0","累計スコアを30000pt 獲得しよう"
"91002","50000","0","0","0","0","0","0","0","0","50","4","0","8","0","0","0","累計スコアを50000pt 獲得しよう"
"94002","80000","0","0","0","0","0","0","0","0","100000","5","0","12","0","0","0","累計スコアを80000pt 獲得しよう"
"94002","100000","0","0","0","0","0","0","0","0","100000","6","0","12","0","0","0","累計スコアを100000pt 獲得しよう"
"91002","120000","0","0","0","0","0","0","0","0","100","7","0","8","0","0","0","累計スコアを120000pt 獲得しよう"
"94002","150000","0","0","0","0","0","0","0","0","200000","8","0","12","0","0","0","累計スコアを150000pt 獲得しよう"
"94002","200000","0","0","0","0","0","0","0","0","200000","9","0","12","0","0","0","累計スコアを200000pt 獲得しよう"
"91002","250000","0","0","0","0","0","0","0","0","100","10","0","8","0","0","0","累計スコアを250000pt 獲得しよう"
"94002","300000","0","0","0","0","0","0","0","0","200000","11","0","12","0","0","0","累計スコアを300000pt 獲得しよう"
"94002","350000","0","0","0","0","0","0","0","0","200000","12","0","12","0","0","0","累計スコアを350000pt 獲得しよう"
"91002","400000","0","0","0","0","0","0","0","0","100","13","0","8","0","0","0","累計スコアを400000pt 獲得しよう"
