bf921b719e7aa1a2358fae7d19f2b519b3e3b4d96725d2f21e60d1241a33590f,3c4b8068305b56b0b77babdffadf002b1cebd249d6e656be74834c6da53d8f2a,779368d36dc3e7de7e4bbf3786d138a0a9ad986b382e5f85caa312bd32ee0f38,a9ce92b9fff2dd5be7877aac3f60451e368fbc2e59f9156988ea5525f90f7c6a,9c5270929e1cbd0539d11e804f8d197a76c94afe471b6a947a8b4b2b321c0a35,d8f8b70ba7b8401479b9c16a5adadf2d07e0fe16dc7081a346d93ada92d44842,e0dc6c152dc6ac73baab7a962818f8c2f281541385cc3e090d77ff69265237ef,b99087b7046c45f47ee99c67a9153246df6bd26461940c0821e7e4b52e13cc3b,ea3019891a2f3d3b2e30b8d9b7dea1f1949d85b06a0b5c5472d88f0962f8e33c,9040a12631effe4b20dd3e6799ed092ae9542bd86b75293ff1f8bb1ae89fb21b
"0","126501","最大50％割引確定のショップを開く（1品100％割引あり）","1001","1","","10001","1","","ライラエル"
"0","105301","最大1000マイルを入手する","1002","2","","10001","2","","モニカ"
"0","126401","料理を{0}つ入手する","1003","1","","1","3","","クローチェ"
"0","100501","ダイスの目を{0}回振りなおせる","1004","3","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","1","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","マツリ"
"0","101301","ダイスの目を{0}回振りなおせる","1005","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ナナカ"
"0","104301","出目が{0}のダイスを同時に振って\nどちらか選択できる","1006","2","","4","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","マコト"
"0","102701","出目が{0}のダイスを同時に振って\nどちらか選択できる","1007","3","","3","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","エリコ"
"0","100901","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1008","1","","7","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","アンナ"
"0","105101","最大50％割引確定のショップを開く（1品100％割引あり）","1009","1","","10001","1","","ミツキ"
"0","101801","最大1000マイルを入手する","1010","2","","10001","2","","イオ"
"0","129701","ダイスの表と裏\nどちらを適用するか選択できる","1011","2","","0","8","ダイスの表と裏\nどちらを適用するか選択できる","ネフィ＝ネラ"
"0","101601","ダイスの目を{0}回振りなおせる","1012","3","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","1","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","スズナ"
"0","105601","ダイスの目を{0}回振りなおせる","1013","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ルカ"
"0","102001","出目が{0}のダイスを同時に振って\nどちらか選択できる","1014","3","","3","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","ミミ"
"0","129601","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1015","1","","7","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","アネモネ"
"1","100401","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1016","2","","1","10","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","ミソギ"
"1","127701","出たダイスの目が{0}だった場合、\n+{1}進める","1017","3","","2","13","出たダイスの目が{0}だった場合、\n+{1}進める","リンド"
"1","127801","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1018","2","","1","10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","ヴルム"
"0","104801","最大50％割引確定のショップを開く（1品100％割引あり）","1019","1","","10001","1","","ミフユ"
"0","104701","ダイスの目を{0}回振りなおせる","1020","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ジュン"
"0","105001","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1021","1","","7","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ミサキ"
"0","103201","最大2000マイルを入手する","1022","1","","10002","2","","アキノ"
"0","130901","福引券を{0}枚入手する","1023","1","","1","12","","クルル"
"0","102501","料理を{0}つ入手する","1024","1","","1","3","","スズメ"
"0","100801","ダイスの表と裏\nどちらを適用するか選択できる","1025","2","","0","8","ダイスの表と裏\nどちらを適用するか選択できる","ユキ"
"0","123301","出目が{0}のダイスを同時に振って\nどちらか選択できる","1026","2","","4","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","ネア"
"0","104601","最大50％割引確定のショップを開く（1品100％割引あり）","1027","1","","10001","1","","タマキ"
"0","118101","ダイスの目を{0}回振りなおせる","1028","2","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","2","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ランファ"
"0","103401","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1029","1","","7","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ユカリ"
"0","118001","最大2000マイルを入手する","1030","1","","10002","2","","クレジッタ"
"0","102801","福引券を{0}枚入手する","1031","1","","1","12","","サレン"
"0","100201","料理を{0}つ入手する","1032","1","","1","3","","ユイ"
"1","101201","出たダイスの目が{0}だった場合、\n+{1}進める","1033","3","","1","13","出たダイスの目が{0}だった場合、\n+{1}進める","ハツネ"
"0","118201","ダイスの目を{0}回振りなおせる","1034","3","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","1","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ミソラ"
"0","106101","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1035","1","","7","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ムイミ"
"0","103101","出目が{0}のダイスを同時に振って\nどちらか選択できる","1036","2","","4","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","シノブ"
"0","103301","最大50％割引確定のショップを開く（1品100％割引あり）","1037","1","","10001","1","","マヒル"
"0","103601","最大2000マイルを入手する","1038","1","","10002","2","","キョウカ"
"0","133001","福引券を{0}枚入手する","1039","1","","1","12","","グレイス"
"0","133101","料理を{0}つ入手する","1040","1","","1","3","","ヴァイオレット"
"0","106801","ダイスの表と裏\nどちらを適用するか選択できる","1041","2","","0","8","ダイスの表と裏\nどちらを適用するか選択できる","ラビリスタ"
"0","107101","ダイスの目を{0}回振りなおせる","1042","3","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","1","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","クリスティーナ"
"0","107001","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1043","1","","7","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","ネネカ"
"0","106501","出目が{0}のダイスを同時に振って\nどちらか選択できる","1044","2","","4","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","カヤ"
"0","111001","最大50％割引確定のショップを開く（1品100％割引あり）","1045","1","","10001","1","","ユニ"
"0","134901","最大2000マイルを入手する","1046","1","","10002","2","","カノン"
"0","105401","福引券を{0}枚入手する","1047","1","","1","12","","ツムギ"
"0","134701","料理を{0}つ入手する","1048","1","","1","3","","ホウオウ"
