2e271a090be51c2fc51c3acbc6efdf6402af43bc0dbafcfd0ff6f8b7afbdf119,38494fc8253ddec161ab9c322447acebdaccd7bbc8115545aa0958244f978636,dc53ed890c5bc5d64140392785704816a16ce31f0a1338fdf886f41089f28d0d,9073def4ea286b9ad5e3754f71c0361d61420e642f0e866a5056a7d9ab8c8b8a
"104001","2025/03/31 12:00:00","10203","1020301"
"126401","2025/03/31 12:00:00","10203","1020302"
"134701","2025/04/15 15:00:00","10203","1020303"
"126501","2025/03/31 12:00:00","10203","1020304"
"127801","2025/03/31 12:00:00","10203","1020305"
"132501","2025/05/15 15:00:00","10204","1020401"
"132301","2025/05/03 19:00:00","10204","1020402"
"100901","2025/04/30 12:00:00","10204","1020403"
"102701","2025/04/30 12:00:00","10204","1020404"
"101301","2025/04/30 12:00:00","10204","1020405"
"105101","2025/04/30 12:00:00","10204","1020406"
"105601","2025/04/30 12:00:00","10204","1020407"
"134901","2025/06/10 12:00:00","10205","1020501"
"105401","2025/05/31 12:00:00","10205","1020502"
"113901","2025/05/31 12:00:00","10205","1020503"
"117401","2025/05/31 12:00:00","10205","1020504"
"134801","2025/05/31 12:00:00","10205","1020505"
"106501","2025/05/31 12:00:00","10205","1020506"
"104501","2025/05/31 12:00:00","10205","1020507"
"129701","2025/05/31 12:00:00","10205","1020508"
"129001","2025/06/30 12:00:00","10206","1020601"
"106401","2025/06/30 12:00:00","10206","1020602"
"126101","2025/06/30 12:00:00","10206","1020603"
"129601","2025/07/31 12:00:00","10207","1020701"
"126001","2025/07/31 12:00:00","10207","1020702"
"106001","2025/07/31 12:00:00","10207","1020703"
"103001","2025/07/31 12:00:00","10207","1020704"
"129701","2025/07/31 12:00:00","10207","1020705"
"125801","2025/07/31 12:00:00","10207","1020706"
"135501","2025/08/31 12:00:00","10208","1020801"
"135601","2025/09/08 12:00:00","10208","1020802"
"100101","2025/08/31 12:00:00","10208","1020803"
"100301","2025/08/31 12:00:00","10208","1020804"
"135901","2025/10/10 12:00:00","10209","1020901"
"135801","2025/09/30 12:00:00","10209","1020902"
"133101","2025/09/30 12:00:00","10209","1020903"
"133001","2025/09/30 12:00:00","10209","1020904"
"100701","2025/09/30 12:00:00","10209","1020905"
"136001","2025/10/31 12:00:00","10210","1021001"
"101401","2025/10/31 12:00:00","10210","1021002"
"136201","2025/11/14 12:00:00","10210","1021003"
"134901","2025/10/31 12:00:00","10210","1021004"
"129701","2025/10/31 12:00:00","10210","1021005"
"134701","2025/10/31 12:00:00","10210","1021006"
"134801","2025/10/31 12:00:00","10210","1021007"
"118201","2025/11/30 12:00:00","10211","1021101"
"100201","2025/11/30 12:00:00","10211","1021102"
"101201","2025/11/30 12:00:00","10211","1021103"
"104301","2025/11/30 12:00:00","10211","1021104"
"104901","2025/12/31 12:00:00","10212","1021201"
"106801","2025/12/31 12:00:00","10212","1021202"
"101101","2025/12/31 12:00:00","10212","1021203"
"133101","2025/12/31 12:00:00","10213","1021301"
"129701","2025/12/31 12:00:00","10213","1021302"
"105801","2025/12/31 12:00:00","10213","1021303"
"126501","2025/12/31 12:00:00","10213","1021304"
"103801","2026/02/28 12:00:00","10214","1021401"
"130101","2026/02/28 12:00:00","10214","1021402"
"104801","2026/02/28 12:00:00","10214","1021403"
"103401","2026/02/28 12:00:00","10214","1021404"
"103601","2026/03/31 12:00:00","10215","1021501"
"133001","2026/03/31 12:00:00","10215","1021502"
"133101","2026/03/31 12:00:00","10215","1021503"
"139401","2026/05/11 12:00:00","10216","1021601"
"139301","2026/04/30 12:00:00","10216","1021602"
"139201","2026/04/30 12:00:00","10216","1021603"
"106001","2026/04/30 12:00:00","10216","1021604"
"105901","2026/04/30 12:00:00","10216","1021605"
"106401","2026/04/30 12:00:00","10216","1021606"
"105801","2026/04/30 12:00:00","10216","1021607"
"106701","2026/04/30 12:00:00","10216","1021608"
"106801","2026/04/30 12:00:00","10216","1021609"
"126001","2026/05/31 12:00:00","10217","1021701"
"126101","2026/05/31 12:00:00","10217","1021702"
"125801","2026/05/31 12:00:00","10217","1021703"
"118001","2026/06/30 12:00:00","10218","1021801"
"132301","2026/06/30 12:00:00","10218","1021802"
"132401","2026/06/30 12:00:00","10218","1021803"
"132501","2026/06/30 12:00:00","10218","1021804"
"137101","2026/06/30 12:00:00","10218","1021805"
"122601","2026/06/30 12:00:00","10218","1021806"
