92081e818a3e86ace8c24b1abbc9fb27a3b7d712ebb86285f6bb4c6a2e571655,378ce8f2dc12a6e692125519f190c469e49c9835fb0fcf35994030fbec501aad,60e6028d55de39eec8eaf9138c9fa28e2c22152e82f4379a33f22b71a741646f,f9d1e580fbb61109fdd793090012fb1d25a87acc9a38efe9b643dc0c9e0b6b26,236bad9026bd685d25a384a07fec8e5b24d0eea9e1c69bc40b7d6b470c8220cf,4357c6f8235bb81be89249acf88836cfd3bb02714c888191d2ad1477d156da8c,cf7edd8243b270d42394cad1afc664277b187cc58930734a0571300055a667b4,299e0ff291b72eecceeba3c0ba2cd1392ed0efd98d4887cae71c19c736f7fc4d,ae310c941c7648aed866cea63f6228da8bb59263f5b17c73514d82091ed789cc,d8b7b5d5b13575f4857ba2aa4c5445fdc183d6eb7b77f08076b3f00688fab262,29722a4cbce79f88b0a0f030000ab53961da0a0ad5868dae9d0795afc46593c0
"","","","","イ","","1082","","","",""
"","","","","オ","","1107","","","",""
"","","","ツ","","","1176","","","",""
"","ホ","","","ー","","1189","","","","ル"
"","","","","ゥー","","1192","","","",""
"","","","","イ","","1245","","","",""
"","","","","","","1250","","ゃさ","","ちそ"
"ナメア","イ","イトメ","ナ","ト","ナイト","2013","ナイア","ア","トメア","メ"
"ドソル","ソ","ラドソ","ン","ラ","ランド","2014","ランル","ル","ンドル",""
"そのう","","そのと","る","と","そるの","2015","そるう","う","るのと",""
"るのう","な","なのと","る","と","るなう","2016","るなと","の","のとう","う"
"ひてい","","ひうて","く","う","ひくう","2017","ひくて","","くうて","い"
"ふん","","しん","ふ","ゃ","ふゃ","2019","ふゃ","ん","","し"
"むゅわ","わ","むぎし","ゅ","し","むしわ","2020","ぎゅわ","ぎ","ぎしゅ","む"
"","","","","","","2031","E","","S",""
"","","","","","AE","2032","","","",""
"R","","","","","","2033","A","","",""
"I","","","","","","2034","E","","",""
"R","","","","","","2036","UA","","",""
"L","","E","","","Y","2037","E","","",""
"L","","V","","","I","2038","E","","",""
"I","","","","","","2040","L","","",""
"A","","","","","","2041","","","",""
"","","","","","","2042","","","Y",""
"A","","","","","","2043","","","K",""
"A","","","","","","2045","","","",""
"R","","","","","","2046","","","Q",""
"R","","","","","","2047","A","","",""
"A","","","","","","2048","","","KQ",""
"","","","","","","2049","B","","",""
"A","","","","","T","2050","U","","",""
"C","","","","","P","2052","EI","","",""
"A","","","","","T","2053","I","","",""
"","","","","","S","2054","","","",""
"R","","","","","","2055","","","",""
"","","","","","","2056","V","","",""
"WU","","","","","","2058","","","",""
"","","","","","","2059","","","R",""
"","","","","","","2060","","","R",""
"S","","","","","","2062","","","",""
"E","","S","","","S","2063","A","","",""
"A","","","","","A","2064","","","",""
"","","","","","S","2065","A","","",""
"","","","","","","2066","","","C",""
"","","","","","","2067","B","","",""
"","","","","","","2068","I","","L",""
"E","","","","","","2069","","","C",""
"","","D","","","","2070","E","","",""
"","","N","","","I","2071","A","","",""
"C","","","","","A","2074","","","",""
"A","","","","","A","2077","","","",""
"","","","ち","","","2092","","し","",""
"ァ","","ム","","","ト","2130","ン","","フ",""
"","視","","か","聴言","","2200","","聞聴","","わ"
"","","","ー","","","2201","","ビブ","",""
"","","","","","","2202","","ル","",""
"","麦","","","飯","","2216","","","","鯉"
"","し","","","ゅ","","2261","","","","う"
"","","","ぅ","","","2264","","","",""
"","","","","ー","","2266","","","",""
"","ひ","","ん","ふ","","2295","","き","","く"
"","","","","","","2313","","だ","",""
"ナ","","","","","","3020","","","ル",""
"","フ","","","ェ","","3066","","","",""
"","く","","","","","3068","","","",""
"","","","","","","3073","","","","が"
"","","","","","","3084","","生","",""
"","","","","","","3158","","ア","",""
"","","","","","","3165","","","","ひ"
"","","","","","","3187","","か","",""
"","","","オ","","","3191","","シス","","デ"
"","","","ま","","","3193","","さ","",""
"","","","","","","3195","","","ブ",""
"","","","","","","3222","","","","ス"
"","","","","","","3238","","ず","",""
"","","","","","","3271","","帰","",""
"","","","","ク","","3277","","","",""
"","","","","","","3318","","","","ア"
"","","","ち","","","4029","","し","",""
"","","","X","","","4049","","","",""
"","","","","","","4052","","た","",""
"","","","","","","4077","","さ","",""
"","","","帯","","","4154","","","",""
"","","","","","","4157","そ","","",""
"","","","","","","4167","い","","",""
"","","","","","","4171","","","二",""
"小","","","","","倍","4194","","","",""
"大","","","","","約","4195","","","",""
"","高","","","","","4196","","","","底"
"","","","","","","4197","","","半",""
"","","","","","","4203","","く","",""
"","","","","","","4220","","","","ウ"
"","","","","ィ","","4222","","","",""
"","セ","","","","","4247","","","",""
"","","","","","","5010","","","","ー"
"","","","","","","5011","","","","ワ"
"","","テカ","","","ラモ","5030","","","",""
"","","レカ","","","オモ","5031","","","",""
"","","","","","","5051","","","","ー"
"","","","","お","","5066","","ら","","か"
"","","","","","","5100","","","","ぶ"
"つ","","つ","","","じ","5109","","","み",""
"ウ","","ー","","","タ","5140","ン","","カ",""
"","","","ロ","","","5147","","","",""
"","","","","","","5160","","","","と"
"戌酉卯","","卯戌子","","牛","戌酉子","5193","戌卯辰","","卯辰戌","虎"
"","","","ト","","","6060","","","",""
"","","","","","","6065","","","","ほ"
"","","","","","","6157","","ィ","",""
"","","ト","","","","6188","","","",""
"","イ","","","ン","","6203","","","","ド"
"","","","ラ","","","6216","","ジ","","ク"
"ョ","","","","","","6227","ウ","","チ",""
