1d95e6a8c07d3f3f37c19ee7408353de949dfebe37ee8300dc950d1ac55af393,1057ba3fbd25453757c2097b93edde0f323042001e5648092454bbb3a6ef2895,ed0df2b57a20369d5ffe55c00789b8b1c9ea000a59369f57575c42e2090e78d0,8426da92a793c673f99e11aa0895f13ee4257db88de519fdc8178a7a73653fba,6a9c6c8782f6af53aa452b27aa857a3b9fc567e6d0c1c9288ba2d3d001b8e573
"片手剣","#D23232","red","101","90009"
"両手剣","#D23232","red","102","90009"
"短剣","#D23232","red","103","90009"
"槍","#D23232","red","104","90009"
"斧","#D23232","red","105","90009"
"弓","#D23232","red","106","90009"
"拳","#D23232","red","107","90009"
"盾","#D23232","red","108","90009"
"杖","#D23232","red","109","90009"
"本","#D23232","red","110","90009"
"服","#476FD8","blue","201","90010"
"鎧","#476FD8","blue","202","90010"
"白ローブ","#476FD8","blue","203","90010"
"黒ローブ","#476FD8","blue","204","90010"
"指輪","#E5681E","yellow","301","90011"
"腕輪","#E5681E","yellow","302","90011"
"ネックレス","#E5681E","yellow","303","90011"
"宝珠","#E5681E","yellow","304","90011"
"イヤリング","#E5681E","yellow","305","90011"
