3e972c2deffca774549e727a525966b75b7873775dc7884a3897fec42dd30dcf,c65917681dbaa69c18c907ae2d70eec4c7b09f243509b42ae1ec5725736c830f,b182e4dc609b9c4025bd6aef5b57382d5dbde55fe588da131e7e07cd5bc7426e,953b0619133eab31aae97cb72ea9cfff92b2054ad4122e72dbbffb210f955779,b7e2b69390da017d26ec1bdb33a9e44f831498ff7bb85a3ab295d9035ec69aba,7da17a6c8e97b6b562bf2f78edfcdc35e74ec5a06bcc10fbeeab3fc3517da4a5,eb9400a3f8dab8c7e4d372e6671ed758eefeac93fddbd33a4748195f4cdc211b
"924070100","924070105","924070102","924070101","924070104","924070103","2407001"
"924070200","924070205","924070202","924070201","924070204","924070203","2407002"
"924070300","924070305","924070302","924070301","924070304","924070303","2407003"
"924071100","0","0","924071101","0","0","2407004"
"924071200","0","0","924071201","0","0","2407005"
"924071300","0","0","924071301","0","0","2407006"
"924071400","0","0","924071401","0","0","2407007"
"924072100","0","0","924072101","0","0","2407008"
"924072200","0","0","924072201","0","0","2407009"
"924072300","0","0","924072301","0","0","2407010"
"924072400","0","0","924072401","0","0","2407011"
"924073100","0","0","924073101","0","0","2407012"
"924073200","0","0","924073201","0","0","2407013"
"924073300","0","0","924073301","0","0","2407014"
"924073400","0","0","924073401","0","0","2407015"
"924080100","924080105","924080102","924080101","924080104","924080103","2408001"
"924080200","924080205","924080202","924080201","924080204","924080203","2408002"
"924080300","924080305","924080302","924080301","924080304","924080303","2408003"
"924081100","0","0","924081101","0","0","2408004"
"924081200","0","0","924081201","0","0","2408005"
"924081300","0","0","924081301","0","0","2408006"
"924081400","0","0","924081401","0","0","2408007"
"924082100","0","0","924082101","0","0","2408008"
"924082200","0","0","924082201","0","0","2408009"
"924082300","0","0","924082301","0","0","2408010"
"924082400","0","0","924082401","0","0","2408011"
"924083100","0","0","924083101","0","0","2408012"
"924083200","0","0","924083201","0","0","2408013"
"924083300","0","0","924083301","0","0","2408014"
"924083400","0","0","924083401","0","0","2408015"
"924090100","924090105","924090102","924090101","924090104","924090103","2409001"
"924090200","924090205","924090202","924090201","924090204","924090203","2409002"
"924090300","924090305","924090302","924090301","924090304","924090303","2409003"
"924091100","0","0","924091101","0","0","2409004"
"924091200","0","0","924091201","0","0","2409005"
"924091300","0","0","924091301","0","0","2409006"
"924091400","0","0","924091401","0","0","2409007"
"924092100","0","0","924092101","0","0","2409008"
"924092200","0","0","924092201","0","0","2409009"
"924092300","0","0","924092301","0","0","2409010"
"924092400","0","0","924092401","0","0","2409011"
"924093100","0","0","924093101","0","0","2409012"
"924093200","0","0","924093201","0","0","2409013"
"924093300","0","0","924093301","0","0","2409014"
"924093400","0","0","924093401","0","0","2409015"
